"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"BBSRC","BB/V00560X/1","University of Manchester","Earth Atmospheric and Env Sciences","Fellowship","Nixon","Sophie","","http://orcid.org/0000-0003-2914-8386",,,,"","Microbial carbon cycling under geological CO2 storage conditions: understanding the rules of life in the engineered subsurface","01/01/2022","31/12/2026","967405",,,"Active","Carbon Capture & Storage","Environmental Genomics","Environmental Microbiology","Modelling & simul. of IT sys.","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/V00560X/1","E5BB1629-DF80-4FBE-A4F0-A124117BB92F","2512EF1C-401B-4222-9869-A770D4C5FAC7","68D0E3C9-9246-4CFC-B5E9-48584CF82993","251F686E-C291-4643-85A2-DC4B9A24A945"
"BBSRC","BB/S000666/1","Newcastle University","Sch of Natural Sciences & Env Sciences","Research Grant","Sargent","Frank","","http://orcid.org/0000-0002-6841-3624",,,,"","Understanding and harnessing the hydrogen-dependent carbon dioxide reductase activity of E. coli.","01/03/2019","27/06/2022","412387",,,"Active","Biochemical engineering","Biochemistry & physiology","Bioenergy","Carbon Capture & Storage","Metabolic engineering",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/S000666/1","B4A34D11-8A7D-46A3-BE32-A1137907B42E","2512EF1C-401B-4222-9869-A770D4C5FAC7","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","942A3DE4-DB6C-4BBE-8CE0-3A163D4A29DB"
"EPSRC","EP/J019704/1","University of Strathclyde","Chemical and Process Engineering","Research Grant","Sweatman","Martin","Brian","",,,,"","Feasibility of a wetting layer absorption carbon capture process based on chemical solvents","30/09/2012","29/04/2013","568433",,,"Closed","Carbon Capture & Storage","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/J019704/1","F6A1B790-0CA4-456A-9A50-247ACE6869B4","798CB33D-C79E-4578-83F2-72606407192C","5BB4F8BF-B4E0-4EAF-9AF5-885E19D64850","B54FF3E0-3655-4BD8-98D7-AADC1CEDDB4F"
"EPSRC","EP/K034952/1","Newcastle University","Sch of Natural Sciences & Env Sciences","Research Grant","Manning","David","Andrew","",,,,"","Sustainable Urban Carbon Capture: Engineering Soils for Climate Change (SUCCESS)","31/05/2014","29/09/2017","759360",,,"Closed","Carbon Capture & Storage","Ground Engineering","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K034952/1","2BAC3431-9724-4C05-A197-2167D7F4BEA7","798CB33D-C79E-4578-83F2-72606407192C","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","C806DF04-9D1F-4755-94F1-DD41C2944055"
"EPSRC","EP/I010912/1","University of Cambridge","Engineering","Research Grant","Scott","Stuart","Ashley","",,,,"","Multi-scale evaluation of advanced technologies for capturing the CO2: chemical looping applied to solid fuels.","31/03/2011","29/09/2014","578218",,,"Closed","Carbon Capture & Storage","Coal Technology","Combustion","Design of Process systems","Reactor Engineering",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I010912/1","F2C593A5-BE43-4B90-8B48-29ADDC8812CF","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","2B5B0142-7DF5-4B9D-B623-09A97B710845"
"EPSRC","EP/K021869/1","University of Leeds","School of Earth and Environment","Fellowship","Angus","Douglas","Alexander","",,,,"","Reducing uncertainty in predicting the risk of geological storage of CO2 - Improved geomechanical models and calibration using seismic data","30/09/2013","29/09/2018","1013147",,,"Closed","Carbon Capture & Storage","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K021869/1","DA4656E4-6A79-4E8B-B797-7949D82E26D1","798CB33D-C79E-4578-83F2-72606407192C","83D87776-5958-42AE-889D-B8AECF16B468","18447E6A-F780-4D55-A563-E1469021583F"
"EPSRC","EP/M028747/1","University of York","Chemistry","Research Grant","North","Michael","","",,,,"","Newton fund: Waste CO2 and biomass based chemical synthesis for the green economy","01/01/2015","31/12/2015","37798",,,"Closed","Bioenergy","Carbon Capture & Storage","Catalysis & Applied Catalysis","Newton","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/M028747/1","15556EC3-2320-4822-9921-7111E86AAB08","798CB33D-C79E-4578-83F2-72606407192C","8319F78A-DCBD-49F6-BE00-78E1CD75CDA9","678104BA-D54C-4F4B-97C1-ACB6CED198B9"
"EPSRC","EP/M001458/2","University of Sheffield","Chemical & Biological Engineering","Research Grant","Wang","Meihong","","http://orcid.org/0000-0001-9752-270X",,,,"","Process Intensification for Post-combustion Carbon Capture using Rotating Packed Bed through Systems Engineering Techniques","30/09/2016","29/06/2019","727909",,,"Closed","Carbon Capture & Storage","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/M001458/2","81698B82-945A-4A68-9467-628AA5DE877F","798CB33D-C79E-4578-83F2-72606407192C","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","B6CDB175-739A-4D04-BCB3-659B6AF65C26"
"EPSRC","EP/L022958/1","Scottish Association For Marine Science","Scottish Association For Marine Science","Research Grant","Turnewitsch","Robert","","",,,,"","Novel techniques for seabed monitoring of CO2 leakage and monitoring campaigns based on reservoir, cap rock and overburden migration models.","25/11/2013","24/11/2016","169897",,,"Closed","Carbon Capture & Storage","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/L022958/1","10FD758B-362E-4C7C-B6BF-0FA72B994033","798CB33D-C79E-4578-83F2-72606407192C","1ED25A21-FD91-4EC2-A06F-724F9F2CDC3D","58B9981F-FE61-427C-9693-00374D569CED"
"EPSRC","EP/S020357/1","University of Southampton","School of Chemistry","Research Grant","Coles","Simon","John","http://orcid.org/0000-0001-8414-9272",,,,"","An EPSRC National Research Facility to facilitate Data Science in the Physical Sciences: The Physical Sciences Data science Service (PSDS)","11/01/2019","10/01/2024","2996067",,,"Active","Analytical Science","Bioprocess Engineering","Carbon Capture & Storage","Catalysis & Applied Catalysis","Chemical Biology","Chemical Synthetic Methodology,Co-ordination Chemistry,Condensed Matter Physics,Electrochemical Science & Eng.,Fuel Cell Technologies,Gas & Solution Phase Reactions,Materials Characterisation,Materials Processing,Materials Synthesis & Growth,Oil & Gas Extraction,Particle Technology,Physical Organic Chemistry,Separation processes,Surfaces & Interfaces,Sustainable Energy Vectors","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S020357/1","7BEC0230-F4A0-4A33-970A-1DAEFBC24AE3","798CB33D-C79E-4578-83F2-72606407192C","30A429E3-83B7-4E41-99C0-14A144F07DFE","185A0130-5003-45C5-9BC8-23AB1D555817"
