"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"AHRC","AH/V00395X/1","University of Hull","Geography","Research Grant","McDonagh","Briony","","",,,,"","Risky Cities: Living with Water in an Uncertain Future Climate","31/07/2020","29/07/2023","333903",,,"Active","Climate & Climate Change","Education","English Language & Literature","Geohazards","Historical Geography",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/V00395X/1","A44A312B-6EB8-4D9C-9634-962304EB98E8","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","8A0FC07A-04CD-4F7A-9095-1D2E6C1D918F","54D930A9-4559-4FFD-8F7C-DF4B3F9690CD"
"AHRC","AH/P00959X/1","Bath Spa University","College of Liberal Arts","Research Grant","Penrhyn Jones","Sara","","",,,,"","Troubled Waters- Reaching Out","01/02/2017","31/01/2018","67887",,,"Closed","Climate & Climate Change","Environmental Geography","Heritage Management","Media & Communication Studies","Museum & Gallery Studies",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/P00959X/1","4F026E60-CFE5-43CD-8AE7-F8512EAE6B4B","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","1A469850-02BA-4814-81EE-E60C851CABC3","4CF85828-F700-48BE-850E-BB1E5AA16413"
"AHRC","AH/V006398/1","Royal Botanic Gardens Edinburgh","Royal Botanic Garden Edinburgh","Research Grant","Forrest","Alan","","http://orcid.org/0000-0003-2752-4819",,,,"","Mitigating climate change effects through traditional land management practices","01/11/2020","31/12/2022","174057",,,"Active","Climate & Climate Change","Conservation Ecology","Cultural Geography","Nat Resources, Env & Rural Dev","Regional & Extreme Weather",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/V006398/1","1F54DECE-800D-4B05-9336-F92DDD98E651","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","2794C7D9-0FD5-4DC9-848C-0CED200F6D2D","85A13749-BA92-4EFC-8C21-F0BFBFAF1DA2"
"AHRC","AH/K001965/1","Queen Mary, University of London","School of Languages Linguistics and Film","Research Grant","Pick","Anat","","",,,,"","Screening Nature Network: Flora, Fauna, and the Moving Image","31/03/2013","29/06/2014","31269",,,"Closed","Aesthetics","Climate & Climate Change","Community Art inc A & H","Ethics","Film-based media (H, T & P)",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/K001965/1","3115380E-814F-4DE6-81E9-F15B5C0E3EBC","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","D5337A10-AC8A-402A-8164-C5F9CC6B0140","09D8667A-2A7E-4522-BA74-1117056DC3C4"
"AHRC","AH/V006479/1","University of Salford","Sch of the Built Environment","Research Grant","Elkadi","Hisham","","",,,,"","Conservation of Climate Change Endangered Cultural Furniture Industry Heritage in Damietta, Egypt","01/12/2020","29/06/2022","188721",,,"Active","Climate & Climate Change","Economic Geography","Environmental Geography","Heritage Management","Spatial Planning",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/V006479/1","3D6A4787-B6BF-4F1D-B0DD-F684835670F2","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","ED6ACD61-0140-4C05-B93D-2C6A42CA753B","C6E3E814-EA25-46B9-94D1-B9774D141DAE"
"AHRC","AH/T007982/1","University of Warwick","Politics and International Studies","Research Grant","Hyams","Keith","","",,,,"","Inserting Ethics into Deliberation on Adaptation and Resilience Policy","31/01/2020","30/03/2022","83551",,,"Active","Climate & Climate Change","Environmental planning","Ethics","GCRF","Political Philosophy",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/T007982/1","6186BCAE-DEE8-4D8D-96E4-CEF2BE99F6E4","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","B6FB652A-60C3-48DD-9A33-075D1F759B48","5319D80B-A11A-4679-A14B-672CA44FCB99"
"AHRC","AH/R005443/2","University of Edinburgh","Sch of History, Classics and Archaeology","Research Grant","Henderson","Jon","","",,,,"",": Utilising Marine Cultural Heritage in East Africa to help develop sustainable social, economic and cultural benefits","31/08/2020","29/06/2022","860538",,,"Active","Climate & Climate Change","GCRF","Heritage Management","International Law","Maritime Archaeology","Social Anthropology","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/R005443/2","E56208A9-B360-4FA4-AFEE-1C92C2DD8E24","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","2DB7ED73-8E89-457A-A395-FAC12F929C1A","5108F717-CCDF-47FB-B061-AFC579F86567"
"AHRC","AH/S00369X/1","University of the Arts London","Central Saint Martin's College","Research Grant","Corby","Tom","","",,,,"","Materializing Data, Embodying Climate Change","15/02/2019","14/02/2022","705588",,,"Active","Applied Arts HTP","Climate & Climate Change","Digital Art & Design","Digital Arts HTP","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/S00369X/1","1F38EB5F-F0EF-4561-9B8D-8BAA8C97ACF8","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","A037C26F-2172-4927-91DA-921F67B7EF39","737EB87F-9A33-4FDA-B78D-03635EECB444"
"AHRC","AH/L009978/1","University of Sheffield","Information School","Research Grant","Bates","Jo","","",,,,"","The Secret Life of a Weather Datum","01/01/2014","30/03/2015","80185",,,"Closed","Climate & Climate Change","Information & Knowledge Mgmt","New Media/Web-Based Studies","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/L009978/1","EB91A678-26C9-4093-8EFD-4735E828E640","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","9031D46A-A0E3-445F-AF4A-2C419BE464EB"
"AHRC","AH/V006681/1","University of Edinburgh","Sch of Literature Languages & Culture","Research Grant","Frith","Nicola","","",,,,"","Rethinking Reparations for African Enslavement as Cultural, Spiritual and Environmental Repair","31/05/2021","31/12/2022","81366",,,"Active","African Studies","Climate & Climate Change","French Studies","Imperial/Colonial History","Post-Colonial Studies",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/V006681/1","28733E34-E92A-4D2B-9961-836BBFCDC645","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","2DB7ED73-8E89-457A-A395-FAC12F929C1A","2252AE92-F0B0-4D2B-A135-DE78165548C2"
