"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"AHRC","AH/T013621/1","University of Leeds","School of English","Research Grant","Huggan","Graham","","",,,,"","Corridor Talk: Conservation Humanities and the Future of Europe's National parks","01/02/2020","31/01/2023","284558",,,"Active","Comparative Literature","Conservation Ecology","Economic & Social History","Ethnography & Anthropology","Recreation/Tourism Geography",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/T013621/1","E9E9AE4E-C2AE-49C6-A085-3F69916E8FEC","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","83D87776-5958-42AE-889D-B8AECF16B468","6F595082-A9CF-432C-8D5B-B9A575CC9719"
"AHRC","AH/K005863/1","University of Bristol","School of Humanities","Research Grant","Coates","Peter","","",,,,"","The Power and the Water: Connecting Pasts with Futures","30/09/2013","30/03/2017","836169",,,"Closed","Conservation Ecology","Economic & Social History","Environmental Geography","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/K005863/1","43272D94-8472-4B54-8036-72ECDC4057D2","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","4A348A76-B2D0-4DDD-804A-CE735A6D3798","884D7631-8C6F-4B3F-9FCC-4278E325E823"
"AHRC","AH/R004072/1","Open University","Faculty of Arts and Social Sci (FASS)","Research Grant","Hazareesingh","Sandip","","http://orcid.org/0000-0002-6946-2102",,,,"","Changing Farming Lives in South India, Past and Present","15/11/2017","31/01/2019","48327",,,"Closed","Conservation Ecology","Cultural History","Development studies","GCRF","Imperial/Colonial History","Media & Communication Studies","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/R004072/1","D63AEDA1-C61C-430A-A5EE-6A566B292199","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","89E6D9CB-DAF8-40A2-A9EF-B330A5A7FC24","76A13F5C-AF40-472D-9F22-A550A84D0171"
"AHRC","AH/J004995/1","Newcastle University","School of Arts and Cultures","Research Grant","Hogg","Bennett","","",,,,"","Landscape Quartet: Creative Practice and Philosophical Reflexion in Natural Environments","31/03/2012","31/01/2014","104559",,,"Closed","Composition","Conservation Ecology","Epistemology","Installation & Sound Art HTP","Music & Society",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/J004995/1","7FB71F4D-2669-48E4-807F-54729B44DD04","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","CDE45603-8BD6-4665-BD6D-74647E7C6DBF"
"AHRC","AH/W000385/1","National Museums of Scotland","World Cultures","Research Grant","Clark","Alison","","http://orcid.org/0000-0003-3380-100X",,,,"","People and Plants: reactivating ethnobotanical collections as material archives of indigenous ecological knowledge","07/01/2022","06/01/2023","34830",,,"Active","Conservation Ecology","Ethnography & Anthropology","Heritage Management","Imperial/Colonial History","Museum & Gallery Studies",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W000385/1","2F58FCE0-D67E-48BA-B924-909131867042","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","CC8726CC-3BC9-41BE-9A45-1D0063038804","86BBCE50-5092-413A-8AEB-D143716CB8BF"
"AHRC","AH/T012358/1","University of Leeds","School of English","Research Grant","Huggan","Graham","","",,,,"","Tipping Points: Cultural responses to wilding and land sharing in the North of England","01/02/2020","29/04/2021","79405",,,"Closed","Community Art inc A & H","Conservation Ecology","Creative Writing","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/T012358/1","81830816-3844-418E-B7DE-B6D5FDFBF7BD","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","83D87776-5958-42AE-889D-B8AECF16B468","6F595082-A9CF-432C-8D5B-B9A575CC9719"
"AHRC","AH/V006398/1","Royal Botanic Gardens Edinburgh","Royal Botanic Garden Edinburgh","Research Grant","Forrest","Alan","","http://orcid.org/0000-0003-2752-4819",,,,"","Mitigating climate change effects through traditional land management practices","01/11/2020","31/12/2022","174057",,,"Active","Climate & Climate Change","Conservation Ecology","Cultural Geography","Nat Resources, Env & Rural Dev","Regional & Extreme Weather",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/V006398/1","1F54DECE-800D-4B05-9336-F92DDD98E651","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","2794C7D9-0FD5-4DC9-848C-0CED200F6D2D","85A13749-BA92-4EFC-8C21-F0BFBFAF1DA2"
"AHRC","AH/P009158/1","University College London","Institute of Archaeology","Research Grant","Harrison","Rodney","","http://orcid.org/0000-0002-5030-0525",,,,"","Restricted Access Pilot Project: Interdisciplinary perspectives on clean energy production and landscape conservation in North Patagonia","01/11/2016","29/06/2017","119751",,,"Closed","Conservation Ecology","Energy - Nuclear","GCRF","Heritage Management","Industrial Archaeology","Landscape  Architecture","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/P009158/1","8FDFD8F7-E3AE-4740-96AF-C49668430C09","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","3A5E126D-C175-4730-9B7B-E6D8CF447F83","F9FBF8C2-9792-421D-807A-511148E44140"
"AHRC","AH/P009050/1","University of Leeds","Sch of Languages, Cultures and Societies","Research Grant","Watson","Janet","Constance","",,,,"","The Symbiotic Relationship between Language and Nature in Southern and Eastern Arabia","30/09/2017","29/09/2019","36201",,,"Closed","Anthropological Methodology","Conservation Ecology","Environmental Geography","Middle East & African Studies","Social Anthropology",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/P009050/1","79D62FDC-1D83-4E8A-878E-81A5BE7F68BA","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","83D87776-5958-42AE-889D-B8AECF16B468","C7E32ABE-14BD-4A7C-AF8F-964CFCDFF30D"
"AHRC","AH/W002876/1","University of Exeter","English","Research Grant","Clarke","John","Wedgwood","http://orcid.org/0000-0001-9804-1326",,,,"","Filming Cornwall's Red River","15/08/2021","31/08/2022","24108",,,"Active","Community Ecology","Conservation Ecology","Creative Writing","Ecosystem Scale Processes","Film-based media (H, T & P)",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W002876/1","10630C90-051D-426B-B4B3-92DDD0109CEF","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","961756BF-E31F-4A13-836F-0A09BA02385C","F0AAD8BE-2BF0-4681-8141-141FC83CD9C3"
