"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"AHRC","AH/K006002/1","University of the West of Scotland","School of Engineering","Research Grant","Hughes","John","James","",,,,"","Materiality, authenticity and value in the historic environment: a study of the effects of material transformation and scientific intervention","01/02/2013","30/05/2014","79349",,,"Closed","Conservation Science","Heritage Management","Social Anthropology","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/K006002/1","AA3E1730-2E1E-42D4-8EB9-1608C7DD3842","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","6786BBB0-D64D-4D47-B725-7AD417D4ED4F","722ED61B-1C29-4324-86F6-C54B8B4E2693"
"AHRC","AH/T011084/1","The National Gallery","Scientific Department","Research Grant","Padfield","Joseph","","",,,,"","Practical applications of IIIF as a building block towards a digital National Collection","01/02/2020","29/04/2022","220164",,,"Active","Conservation Science","Heritage Management","Image & Vision Computing","Information & Knowledge Mgmt","Networks & Distributed Systems",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/T011084/1","BCEA56FB-88BD-4466-BB01-4D3C2CE5C7FE","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","8862880D-7BAF-40EF-8C8C-F0EE02F55380","2EFECC5B-1108-47D0-B761-9C5B62080323"
"AHRC","AH/H032266/1","University College London","Bartlett Sch of Graduate Studies","Fellowship","Luxford","Naomi","","",,,,"","Change or Damage? Effect of Climate on Decorative Furniture Surfaces in Historic Properties","30/04/2010","29/04/2013","235531",,,"Closed","Conservation Science","Heritage Management","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/H032266/1","C4438D55-FB5F-4970-93F1-572CFAEB6911","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","3A5E126D-C175-4730-9B7B-E6D8CF447F83","D7B0E66F-265D-4ADB-A6CD-25CF76F0E441"
"AHRC","AH/W008998/1","UK Ctr for Ecology & Hydrology fr 011219","Biodiversity (Wallingford)","Research Grant","Peyton","Jodey Mary","","",,,,"","The UK Overseas Territories: colonialism as a cultural and ecological driver and ensuring equity in environmental research and data exchanges","04/01/2022","02/04/2023","116103",,,"Active","Archives","Community Ecology","Computer Graphics & Visual.","Conservation Science","Imperial/Colonial History",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W008998/1","10F549A3-8D5A-4705-AC0D-F290CCB968ED","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","2431A6E2-13D5-40AB-A58A-AC75E6A3654E","43CA6031-1FD0-44AB-B551-51E6B923E7CF"
"AHRC","AH/H032665/1","Nottingham Trent University","School of Science & Technology","Research Grant","Liang","Haida","","",,,,"","The Next Generation of Optical Coherence Tomography (OCT) for Art Conservation - in situ non-invasive imaging of subsurface microstructure of objects","04/07/2010","31/12/2013","661419",,,"Closed","Conservation Of Art & Textiles","Conservation Science","Fine Art HTP","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/H032665/1","79EE1DF8-5322-428F-B9C1-FC3C0E2B7E8A","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","1529782F-9068-4364-888E-46E4FC4881F5","DD7853D6-0095-41C3-8AD1-906BE2A67F31"
"AHRC","AH/H032304/1","University of Reading","Sch of Systems Engineering","Fellowship","Walker","Gillian","Claire","",,,,"","Seeing Through Walls: Discovering Europe's Hidden Mural Paintings","30/04/2010","31/10/2013","281055",,,"Closed","Conservation Of Art & Textiles","Conservation Science","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/H032304/1","E804AC99-A172-449A-A58A-DFB40485D812","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","E89C3602-0FB4-4044-A918-58966B8A10B2","68E47258-E3CA-4DC6-AB01-80AAE919321B"
"AHRC","AH/K006339/1","Nottingham Trent University","School of Science & Technology","Research Grant","Liang","Haida","","",,,,"","Culture and Trade through the Prism of Technical Art History - a study of Chinese export paintings","01/02/2013","31/01/2014","80042",,,"Closed","Art History","Conservation Of Art & Textiles","Conservation Science","Lasers & Optics","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/K006339/1","6CACAB11-4C6A-477D-8CE6-DF78E81EAE73","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","1529782F-9068-4364-888E-46E4FC4881F5","DD7853D6-0095-41C3-8AD1-906BE2A67F31"
"AHRC","AH/H032002/1","Imperial College London","Department of Chemical Engineering","Fellowship","Tanimoto","Satoko","","",,,,"","Advancing heritage science with spectroscopic imaging","30/09/2010","19/09/2013","269978",,,"Closed","Conservation Of Art & Textiles","Conservation Science","Science-Based Archaeology","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/H032002/1","EE936996-A7C3-446E-8215-1EFDB7C50F95","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","46387D84-F71E-4B7D-8C7D-9C288F113510","B316AC2D-4215-41A6-AD27-F2CBC967E14F"
"AHRC","AH/H032606/1","University College London","Bartlett Sch of Graduate Studies","Research Grant","Strlic","Matija","","",,,,"","'Collections Demography' On Dynamic Evolution of Populations of Objects","31/05/2010","30/05/2013","621833",,,"Closed","Conservation Science","Heritage Management","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/H032606/1","0B09E44A-9AC0-448D-85A1-30DF4FB10858","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","3A5E126D-C175-4730-9B7B-E6D8CF447F83","CB4127BA-1D79-467E-A3FF-B93F3239F71F"
"AHRC","AH/T013125/1","University of the Arts London","CCW Grad School","Research Grant","Velios","Athanasios","","http://orcid.org/0000-0002-4654-8675",,,,"","Linked Conservation Data - phase 2","01/02/2020","30/05/2021","80576",,,"Closed","Conservation Science","Heritage Management","Information & Knowledge Mgmt","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/T013125/1","E24FF5DA-ECB1-4EAA-9DD4-33BB6074F420","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","A037C26F-2172-4927-91DA-921F67B7EF39","D0B2A345-C219-4F30-8050-B120ABEB9D31"
"AHRC","AH/W009579/1","University of the Arts London","Social Design Institute","Research Grant","Kaszynska","Patrycja","Karolina","http://orcid.org/0000-0001-9344-3326",,,,"","Scoping Culture and Heritage Capital Research","14/11/2021","12/05/2022","128841",,,"Active","Conservation Science","Econometrics","Economics","Heritage Management","History Of Ideas",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W009579/1","1024BC99-ADAA-49BB-AC58-1AD51D2EEEA5","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","A037C26F-2172-4927-91DA-921F67B7EF39","3C0A5662-86A5-4AE1-BAF0-6FF5EEDCD32C"
"AHRC","AH/S00016X/1","University of Warwick","WMG","Research Grant","Chalmers","Alan","","",,,,"","SCHEDAR: Safeguarding the Cultural HEritage of Dance through Augmented Reality","11/06/2018","30/11/2021","150729",,,"Closed","Conservation Science","Dance Notation","History of Dance","Museum & Gallery Studies","Social Dance",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/S00016X/1","C5CB7D11-71A5-4A74-B276-1CD423265400","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","B6FB652A-60C3-48DD-9A33-075D1F759B48","4E8EB4C1-E188-4F55-BAD5-C8CC9793F508"
