"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"AHRC","AH/K007602/1","University College London","Institute of Archaeology","Research Grant","Lockyear","Kris","","",,,,"","Sensing the late Iron Age and Roman Past: geophysics and the landscape of Hertfordshire.","01/02/2013","31/01/2014","66733",,,"Closed","Archaeology of Literate Soc.","Earth & environmental","Landscape & Environ. Archaeol.","Science-Based Archaeology","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/K007602/1","4F555068-E5BE-477B-B82A-121EEACF348D","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","3A5E126D-C175-4730-9B7B-E6D8CF447F83","338768DD-23BD-4B8F-B78A-7B1EE91FFE4F"
"AHRC","AH/N002393/1","University of Southampton","Faculty of Humanities","Research Grant","Meinhof","Ulrike Hanna","","",,,,"","Madagascar in the World: the impact of music on global concerns","02/12/2015","29/09/2017","80172",,,"Closed","Earth & environmental","Film-based media (H, T & P)","Musical Performance","Policy, Arts Mgmt & Creat Ind","Social Anthropology",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/N002393/1","170EAE45-5837-41F4-810F-E0C71D81A5F9","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","30A429E3-83B7-4E41-99C0-14A144F07DFE","047B30A7-D30E-4A17-B318-BB51A3A45BE8"
"AHRC","AH/S007903/1","School of Oriental & African Studies","Languages, Cultures, and Linguistics","Research Grant","Harrison","Rachel","","http://orcid.org/0000-0001-5005-3272",,,,"","Engaging Grassroots Perspectives on Health and Well Being in Northeast Thailand and Lao PDR","01/02/2019","30/07/2021","38711",,,"Closed","Asiatic & Oriental Studies","Community Ecology","Cultural and Anthrop Geography","Earth & environmental","Environment & Health","Film-based media (H, T & P),GCRF","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/S007903/1","2F953824-54F4-4ACF-BE84-66D3C8B0DD1B","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","427C8A9E-64D8-4940-8911-953B4A177A75","4CADD11F-5644-4FCD-B50D-F5A57B01F1A7"
"AHRC","AH/W009145/1","University of Liverpool","Geography and Planning","Research Grant","Smith","Shelda-Jane","","http://orcid.org/0000-0002-8947-9294",,,,"","Confronting Historical Wrongs in Liverpool and Beyond: Creative Responses and Anticolonial Approaches to Environmental Science","04/01/2022","02/04/2023","99650",,,"Active","Curriculum areas","Earth & environmental","Human Geography (General)","Imperial/Colonial History","Post-Colonial Studies",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W009145/1","372B8FE9-0286-4234-A9FD-C2D2FC0C0951","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","A0A585E0-6B0D-4643-A3A6-47943B4CBFEF","5F3F3A0B-AD4B-4A10-A096-B8EB31055E78"
"AHRC","AH/N006240/1","University of Kent","Sch of European Culture and Languages","Research Grant","Vis","Benjamin","","",,,,"","Pre-Columbian Tropical Urban Life: Placing the past in designs for sustainable urban futures (TruLife)","29/04/2016","31/12/2018","36210",,,"Closed","Earth & environmental","Landscape & Environ. Archaeol.","Urban Design","Urban Geography","Urbanisation",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/N006240/1","F90E869B-1FFB-4C08-844A-7CC72DB7FF29","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","C6D0044A-2CD2-4167-B90B-922AF53E361F","1D044DCE-D244-4DAE-A733-934538B8ACF4"
"AHRC","AH/N00597X/1","University of Wales Trinity St David","School of Fine Art and Photography","Research Grant","Liggins","Andrea","Mahala","",,,,"","Cross-pollination: Re-valuing Pollinators through Arts and Science Collaboration","01/02/2016","30/11/2017","36113",,,"Closed","Applied Linguistics","Conservation Ecology","Earth & environmental","Fine Art HTP","Photography HTP",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/N00597X/1","AF5C5F5A-F5F0-411B-878D-6360246B1BE2","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","7D8346F1-4332-4E10-A513-F2A5B463A923","059EC835-FD25-406D-A849-5BD0D33B0DE7"
"AHRC","AH/J011525/1","Imperial College London","Humanities - Ctr for History of Sci, Tec","Research Grant","Mendelsohn","John","Andrew","",,,,"","Nature, Culture, Conservation: History of science as an integrative framework for analysis of research on environmental problems, 1950-2010","06/02/2012","04/08/2012","23919",,,"Closed","Area & Development Studies","Conservation Ecology","Earth & environmental","History of Sci./Med./Technol.","Research approaches",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/J011525/1","84DD6923-60A2-4717-84F8-93A38736CBF4","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","46387D84-F71E-4B7D-8C7D-9C288F113510","FC5A51CB-810A-48F7-8FCA-BE1E3789158F"
"AHRC","AH/V00574X/1","Roehampton University","Social Science","Research Grant","Gilbert","Jeremie","","",,,,"","The future of the Rights of Nature: an interdisciplinary scoping analysis","11/12/2020","31/01/2022","73389",,,"Active","Earth & environmental","Earth Resources","Jurisprudence/Legal Philosophy","Nat Resources, Env & Rural Dev","Socio Legal Studies",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/V00574X/1","A62799A3-F6C0-468F-8294-D5228A45C2E8","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","0107329B-F086-4C36-8652-5AF6752EC6DC","87DE306C-7B7F-4AA7-92AE-336842ACEC48"
"AHRC","AH/W009056/1","University of Manchester","Arts Languages and Cultures","Research Grant","Ramesh","Aditya","","http://orcid.org/0000-0002-6266-4094",,,,"","Cottonopolis: lessons for environmental science through the hidden histories of Manchester","04/01/2022","02/04/2023","73175",,,"Active","Cartography and GIS","Earth & environmental","Historical Geography","Imperial/Colonial History","Science and Technology Studies",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W009056/1","BF8CF60A-761C-463A-85C5-3E747F5A1B25","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","68D0E3C9-9246-4CFC-B5E9-48584CF82993","191AF408-AB10-402D-A997-9FF07BBD5181"
"AHRC","AH/N007182/1","Falmouth University","The School of Writing and Journalism","Research Grant","Downing","Niamh","Catherine","http://orcid.org/0000-0002-3840-3257",,,,"","Orkney: 'Beside the Ocean of Time'","01/03/2016","01/12/2017","63828",,,"Closed","Anthropological Methodology","Earth & environmental","English Language & Literature","Palaeoenvironments","Science-Based Archaeology",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/N007182/1","70E2084C-0E02-4229-BC22-4FFB28FFB0EA","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","E84FC550-A4CC-4B98-A6F9-D15A33829D83","7D38514D-194E-4512-A0DB-31C14DAAE09D"
