"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"AHRC","AH/K004018/1","Cardiff University","Sch of Social Sciences","Research Grant","Henwood","Karen","","http://orcid.org/0000-0002-4631-5468",,,,"","Homing in: Sensing, sense-making and sustainable place-making (an arts and social sciences collaborative network)","01/02/2013","31/01/2014","32041",,,"Closed","Art Theory & Aesthetics","Cultural Studies","Energy Efficiency","Environment","Social Psychology",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/K004018/1","C16B2CDB-D10E-4FF7-9992-1498EDB47067","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","9C10D78F-6430-4CA7-9528-B96B0762A4C6","C9CA8130-46CD-42BB-B8FB-B413679CB0BB"
"AHRC","AH/K003968/1","Northumbria University","Fac of Arts, Design and Social Sciences","Research Grant","Light","Ann","Maxine","",,,,"","Creative Resilience through Community Imaginings","01/02/2013","30/05/2013","11939",,,"Closed","Aesthetics","Climate & Climate Change","Cultural Studies","Environment","Performance & Live Art",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/K003968/1","BA176D49-D306-42B0-A5FE-1157CCF15562","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","EF390CF0-ECD3-47D8-B9A8-7602AF319BEE","312AE2ED-7DF6-41F9-8AA4-70DE5E0711BD"
"AHRC","AH/W003198/1","Royal College of Art","School of Architecture","Research Grant","Jacoby","Sam","","http://orcid.org/0000-0002-9133-5177",,,,"","Housing Standardisation: The Architecture of Regulations and Design Standards","01/02/2022","30/11/2024","452043",,,"Active","Architecture HTP","Environment","Social Policy","Spatial Planning","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W003198/1","D7397DB6-E32A-4C2F-8EF2-2B2750E824E9","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","952043EA-E747-4132-B064-2CE0F7E61E93","70211136-2460-4D24-B020-A94FA77F2ECC"
"AHRC","AH/L009455/1","University of Leeds","Sch of Philosophy","Research Grant","Radick","Gregory","","",,,,"","Cultivating Innovation: Agroecology, Plant Breeding and the Challenge to Intellectual Property Law","30/06/2014","29/06/2015","79437",,,"Closed","Crop science","Environment","Food processing","History of Sci./Med./Technol.","Science and Technology Studies",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/L009455/1","9C815F49-B17D-4ED2-9CB3-33FB53A1E52A","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","83D87776-5958-42AE-889D-B8AECF16B468","78C96E66-E0FD-46BF-9893-07FB7DDE4F2A"
"AHRC","AH/S005870/1","University of East Anglia","Politics Philosophy Lang & Comms Studies","Research Grant","Marsh","Hazel","","http://orcid.org/0000-0003-1633-6484",,,,"","The Art of Disaster Risk Reduction: an arts-based approach to strengthening community and institutional capacity in Colombia","01/02/2019","31/12/2020","91220",,,"Closed","Community Art inc A & H","Environment","GCRF","Hispanic & Latin American Stud","Nat Resources, Env & Rural Dev",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/S005870/1","B4B1165A-C767-4D35-9C73-DF60303845DE","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","88C5F7F9-8DCC-41C9-BC4F-F37DA01075C7","0CCC183B-7C02-4468-8813-A995CAEB88C7"
"AHRC","AH/S012591/1","University of Sheffield","Geography","Research Grant","Reynolds","Christian","","http://orcid.org/0000-0002-1073-7394",,,,"","AHRC US-UK Food Digital Scholarship network","01/02/2019","31/01/2021","47675",,,"Closed","Cultural History","Cultural and Anthrop Geography","Economic & Social History","Environment","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/S012591/1","5BAC1848-78AA-4912-91D5-198236BF8BF7","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","12B1B20E-5AB0-44B6-BC1E-279F768A7CEB"
"AHRC","AH/P009557/1","Sheffield Hallam University","Faculty of Development and Society","Research Grant","Slater","Jen","","",,,,"","Arts, Architecture, Activism and Access: Taking Around the Toilet to New Spaces","01/02/2017","31/01/2018","82600",,,"Closed","Architecture HTP","Cultural Studies","Environment","Social Geography","Sociology of Education",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/P009557/1","591D68FD-9122-4FB6-90A0-31F41F457CB6","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","52FDE897-E62F-4388-A588-9382D1E7C2D3","DD3846E8-859C-43E6-8DF9-48AD372ED548"
"AHRC","AH/K004077/1","Aberystwyth University","Inst of Geography and Earth Sciences","Research Grant","Jones","Rhys","Alwyn","",,,,"","National sustainabilities in Scotland and Wales: a pilot project","01/02/2013","29/04/2014","32059",,,"Closed","Environment","Environmental Geography","Political Geography","Public Law","Socio Legal Studies",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/K004077/1","765F7B8C-90AF-48C3-9876-46009F690337","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","E4757A6E-7326-472B-9979-B47D77A65446","3E715EA6-75A8-4022-A35F-3C3CAB2F19BA"
"AHRC","AH/N009169/1","Newcastle University","Architecture Planning and Landscape","Research Grant","Hamza","Neveen","","",,,,"","Sustainable Green Markets, regenerating the urban historic core to sustain Socio-Cultural heritage and economic activities","12/02/2016","07/03/2018","39645",,,"Closed","Cultural Studies","Edu Sociocloy/Sociology of Edu","Education","Environment","Newton","Post-Colonial Studies","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/N009169/1","9AFC5A70-CB03-4A08-A3B6-3AA849F12968","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","D8D79294-B79E-440A-9607-C67B78D635CE"
"AHRC","AH/N006445/1","University of Oxford","Zoology","Research Grant","Gosler","Andrew","Graham","",,,,"","The Human Side of Digitized Knowledge: Community Curation of the Ethno-ornithology World Archive","01/01/2016","31/12/2016","79647",,,"Closed","Conservation Ecology","Cultural Studies","Cultural and Anthrop Geography","Environment","Linguistics (General)",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/N006445/1","26905938-5538-42DA-B039-1286285CD78B","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","8F55A5B3-2517-4BB5-B6FE-BDDBAE37D26A"
"AHRC","AH/V00901X/1","University of Reading","Built Enviroment","Research Grant","Samuel","Flora","","",,,,"","Community Consultation for Quality of Life (CCQoL)","30/06/2021","31/12/2023","731191",,,"Active","Architecture HTP","Community Art inc A & H","Design Processes","Environment","Urban Design",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/V00901X/1","3454C503-9507-4B29-A814-4E5327C2EC80","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","E89C3602-0FB4-4044-A918-58966B8A10B2","35AFE606-4369-4D3B-A1BA-EFBB1A09BC7C"
"AHRC","AH/S004114/1","Open University","Faculty of Arts and Social Sci (FASS)","Research Grant","Czajka","Agnes","","http://orcid.org/0000-0003-3045-5156",,,,"","Picturing Climate: Participatory Photography and Narrative Storytelling for Climate Change Education","01/01/2019","30/03/2020","51541",,,"Closed","Community Art inc A & H","Environment","GCRF","Globalism and Development","Photography HTP","Sociology and Development","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/S004114/1","9E3F8AA2-75B6-459C-8540-B161D4FA2744","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","89E6D9CB-DAF8-40A2-A9EF-B330A5A7FC24","C72139F6-2C42-462E-84C4-7422DDDDA059"
"AHRC","AH/T00410X/1","University of Nottingham","Sch of Biosciences","Research Grant","Lark","Richard","Murray","",,,,"","Towards transdisciplinary understanding of inherited soil surveys: an exploratory case study in Zambia.","11/11/2019","09/05/2021","175135",,,"Closed","Environment","GCRF","Imperial/Colonial History","Post-Colonial Studies","Social Geography","Soil science","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/T00410X/1","569DFD74-D1AE-4D5C-8214-D63F09343607","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","936D002F-A8D1-4A93-AE5D-825ED0903D8D","B226F129-E6D2-4A38-9E28-EA4AFF59A776"
"BBSRC","BB/L012308/1","Imperial College London","The Centre for Environmental Policy","Research Grant","Potter","Clive","Anthony","",,,,"","Understanding Public Risk Concerns: An investigation into the social perception, interpretation and communication of tree health risks","01/12/2014","31/01/2018","615058",,,"Closed","Environment","Environmental Geography","Media Studies","Rural Geography","Social Psychology",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/L012308/1","8974593B-DA48-45EA-8069-FF877D7AFA6C","2512EF1C-401B-4222-9869-A770D4C5FAC7","46387D84-F71E-4B7D-8C7D-9C288F113510","05ED21F5-AE0E-4A84-8F4D-03A3DECEA9C0"
"BBSRC","BB/R022879/1","University of Glasgow","School of Geographical & Earth Sciences","Research Grant","Barrett","Brian","","",,,,"","RCUK-CIAT Newton Fund Advancing sustainable forage-based livestock production systems using multi-source remote sensing and social science approaches","01/04/2018","31/03/2019","109190",,,"Closed","Agricultural systems","Environment","Environmental Informatics","Newton","Technol. for Environ. Appl.",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/R022879/1","01FE414F-D891-414D-81B3-EEDBD902604E","2512EF1C-401B-4222-9869-A770D4C5FAC7","AE58F21F-3622-4382-97BB-1359BD183E9F","2279C50D-154F-4250-8FDD-E7B6D6DA3F64"
"BBSRC","BB/V011561/1","UK Ctr for Ecology & Hydrology fr 011219","Soils and Land Use (Bangor)","Research Grant","Evans","Christopher","David","",,,,"","Greenhouse Gas Removal by Accelerated Peat Formation","09/05/2021","09/11/2025","4383971",,,"Active","Agricultural systems","Biogeochemical Cycles","Ecosystem Scale Processes","Environment","Soil science",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/V011561/1","673218C4-CA65-4A60-9366-20D5F038C350","2512EF1C-401B-4222-9869-A770D4C5FAC7","2431A6E2-13D5-40AB-A58A-AC75E6A3654E","369D99D0-1807-4011-928C-6398DF0B5CE0"
"BBSRC","BB/W017997/1","Middlesex University","Business School","Research Grant","Lyon","Fergus","","",,,,"","Social enterprise as a catalyst for sustainable and healthy local food systems","31/03/2022","31/03/2024","306853",,,"Active","Diet & health","Environment","Sustainability Management","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/W017997/1","9CE665BB-4B2D-4C48-988E-75A57E3442A8","2512EF1C-401B-4222-9869-A770D4C5FAC7","AB979D25-DDBE-4C82-9D51-F38618FE37BD","CB18706C-112D-47D1-B02E-7072E69011D6"
"BBSRC","BB/R00580X/1","University of Reading","Sch of Agriculture Policy and Dev","Research Grant","Potts","Simon","","",,,,"","Modelling Landscapes for Resilient Pollination Services in the UK","01/11/2017","30/03/2021","601108",,,"Closed","Agricultural systems","Environment","Environmental economics","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/R00580X/1","E440FC83-464E-40F1-9DAD-FC6FD67583EA","2512EF1C-401B-4222-9869-A770D4C5FAC7","E89C3602-0FB4-4044-A918-58966B8A10B2","5153BAEA-B607-404D-8876-2F2BAEAB8F6B"
"BBSRC","BB/R005680/1","Newcastle University","Sch of Natural Sciences & Env Sciences","Research Grant","Reed","Mark","S.","",,,,"","Resilient dairy: socio-technical innovation for dairy resilience and sustainability","01/01/2018","30/11/2020","673306",,,"Closed","Animal Diseases","Ecosystem Scale Processes","Environment","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/R005680/1","708FA7D7-682D-4DD3-8D0C-0A793AFBE4D0","2512EF1C-401B-4222-9869-A770D4C5FAC7","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","1FACFE33-87E8-437F-83CE-C59293BDDFE3"
"BBSRC","BB/T009020/1","City, University of London","Sch of Social Sciences","Research Grant","Hawkes","Corinna","","http://orcid.org/0000-0002-5091-878X",,,,"","Urban food systems for healthy diets in South Africa: Addressing the double burden of malnutrition through a coherent systems approach","14/02/2020","30/03/2022","498805",,,"Closed","Anthropology and Development","Diet & health","Environment","Food processing","Geography and Development",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/T009020/1","16DB1766-1C04-4F70-8551-0E2238A84D97","2512EF1C-401B-4222-9869-A770D4C5FAC7","CD35D908-C2AF-4C14-9BC4-519C775CDB6E","5E89F501-55F1-4055-89B0-03946C7755C6"
"BBSRC","BB/R005680/2","Sruc","Research","Research Grant","Reed","Mark","S.","",,,,"","Resilient dairy: socio-technical innovation for dairy resilience and sustainability","07/12/2020","06/01/2022","191423",,,"Closed","Animal Diseases","Ecosystem Scale Processes","Environment","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/R005680/2","BA4B14F6-6174-466E-95E2-40843704D5A1","2512EF1C-401B-4222-9869-A770D4C5FAC7","ADA27054-A467-49BE-A71E-358C6062A9E3","1FACFE33-87E8-437F-83CE-C59293BDDFE3"
"EPSRC","EP/T02397X/1","University of Leeds","School of Earth and Environment","Research Grant","Whitfield","Stephen","","",,,,"","African Food Systems Transformation and Justice Challenge Cluster","31/05/2020","30/11/2021","127354",,,"Active","Agricultural systems","Development studies","Environment","GCRF","Internat. Studies & Relations","Womens and Gender Studies","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/T02397X/1","4B798402-5946-4475-9F33-82A98EDA6D0C","798CB33D-C79E-4578-83F2-72606407192C","83D87776-5958-42AE-889D-B8AECF16B468","B1847252-2919-43CF-A99C-2880FF00679A"
"ESRC","ES/T015330/1","Rhodes University","Institute for Water Research","Research Grant","Palmer","Carolyn","Gay","",,,,"","Unlocking resilient benefits from African water resources","31/03/2020","31/12/2023","1947848",,,"Active","Complexity Science","Conservation Ecology","Earth & environmental","Environment","Nat Resources, Env & Rural Dev",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/T015330/1","6C08A3E1-ED7D-462C-B554-17796EEBA0D0","924BE15C-91F2-4AAD-941A-3F338324B6AE","0EF87432-74E6-4F8B-8D35-D405AC20C164","60A6276F-FD40-4B65-B694-A2C7EB55E622"
"ESRC","ES/P002501/1","University of Aberdeen","University of Aberdeen Business School","Research Grant","Phimister","Euan","","",,,,"","Improving Organic Resource use in rural Ethiopia (IPORE)","30/06/2016","31/10/2017","150288",,,"Closed","Agricultural systems","Area & Development Studies","Development economics","Environment","GCRF","Soil science","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/P002501/1","B1092E06-4D46-4BC8-A5A6-0D97E20FB1C3","924BE15C-91F2-4AAD-941A-3F338324B6AE","F7E13617-2678-475B-99E4-31479C92038D","E9F3C794-6725-4251-917F-B62420EDAF42"
"ESRC","ES/L001594/1","University of Essex","Essex Business School","Research Grant","Boehm","Steffen","","",,,,"","The Future of our Food: Resilience, Security and Justice in a Global Context","01/11/2013","31/10/2015","30267",,,"Closed","Agricultural systems","Climate & Climate Change","Environment","Environmental Geography","Geography and Development",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/L001594/1","F2EB16CC-C28C-4D41-9AC5-6642A6CB09A5","924BE15C-91F2-4AAD-941A-3F338324B6AE","ED6A6B32-663C-4A62-A33B-2C6A68E2E102","FFBE7AC9-A1C5-4A56-856C-B93E93B6A338"
"ESRC","ES/L00514X/1","University of Manchester","Social Sciences","Research Grant","Evans","David","","",,,,"","Households, Retailers and Food Waste Transitions","31/12/2013","29/06/2015","161295",,,"Closed","Environment","Political Sociology","Sociology","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/L00514X/1","23C96C77-6251-4A9B-9CB6-68957873FB1A","924BE15C-91F2-4AAD-941A-3F338324B6AE","68D0E3C9-9246-4CFC-B5E9-48584CF82993","C408F305-C207-494C-A93B-F53E7EED1A5D"
"ESRC","ES/T003073/1","University of Aberdeen","University of Aberdeen Business School","Research Grant","Phimister","Euan","","",,,,"","Reducing land degradation and carbon loss from Ethiopia's soils to strengthen livelihoods and resilience (RALENTIR)","01/11/2019","31/10/2023","920774",,,"Active","Agricultural systems","Development economics","Environment","Environmental economics","GCRF","Soil science","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/T003073/1","79F390F8-009D-4BA3-8721-2B73AE8D0FD7","924BE15C-91F2-4AAD-941A-3F338324B6AE","F7E13617-2678-475B-99E4-31479C92038D","E9F3C794-6725-4251-917F-B62420EDAF42"
"ESRC","ES/M00306X/1","University of Hertfordshire","School of Health and Social Work","Research Grant","Wills","Wendy","","",,,,"","Older people's perceptions and experiences of strengths and vulnerabilities across the UK food system","30/09/2014","01/02/2017","268029",,,"Closed","Cultural and Anthrop Geography","Demography (General)","Environment","Marketing","Sociology",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/M00306X/1","11D57CAB-25AD-429A-9E48-7C83B5637404","924BE15C-91F2-4AAD-941A-3F338324B6AE","5E589D68-A73C-42BB-892C-BC508C7B60CA","50F9E861-7993-4818-9DE9-11AF9668178B"
"ESRC","ES/T008679/1","University of Glasgow","College of Social Sciences","Research Grant","Long","Emily","","",,,,"","WWCW_Loneliness and Wellbeing Among Adolescents and Young Adults","31/03/2020","29/04/2022","247771",,,"Active","Developmental psychology","Environment","Health Psychology","Med Soc/Soc Health & Illness","Social Psychology",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/T008679/1","675D9AE3-B07E-4681-97F4-5B75218F110B","924BE15C-91F2-4AAD-941A-3F338324B6AE","AE58F21F-3622-4382-97BB-1359BD183E9F","302ED69C-3A0A-4BB6-8AB4-2687EDD703DE"
"ESRC","ES/X001121/1","University of Glasgow","School of Interdisciplinary Studies","Research Grant","Renaud","Fabrice","","http://orcid.org/0000-0002-0830-1196",,,,"","Towards a green and inclusive post-pandemic recovery of the Blue Economy and coastal communities (RRR-Coast)","30/04/2022","29/04/2025","251869",,,"Active","Environment","Environmental planning","Geography and Development","Nat Resources, Env & Rural Dev","Sociology",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/X001121/1","CD671010-BDC4-4027-9774-D6CDA0563270","924BE15C-91F2-4AAD-941A-3F338324B6AE","AE58F21F-3622-4382-97BB-1359BD183E9F","99AE3084-B234-4743-93ED-04A9FBA68755"
"ESRC","ES/M010163/1","University of Surrey","Centre for Environment & Sustainability","Research Grant","Jackson","Tim","","",,,,"","Sustainable Prosperity: Centre for the Understanding of Sustainable Prosperity","11/01/2016","09/07/2021","4854312",,,"Closed","Environment","Environmental economics","Political Science","Social Geography","Social Psychology",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/M010163/1","D370006E-AEC3-4073-9E8C-C3B49AD491B6","924BE15C-91F2-4AAD-941A-3F338324B6AE","67B34D05-3A52-4A09-8FF9-F2398D60E246","99EFBCFF-FAF1-48B2-9C4F-CF4C6BCD8632"
