"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"AHRC","AH/K006592/1","Sheffield Hallam University","Faculty of Arts Computing Eng and Sci","Research Grant","Dearden","Andy","","",,,,"","Create, Connect and Sustain","01/02/2013","29/06/2014","99504",,,"Closed","Design Processes","Entrepreneurship","Policy, Arts Mgmt & Creat Ind","Sustainability Management","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/K006592/1","DD044EB1-79F9-4C27-A73D-8EFFAFC89A35","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","52FDE897-E62F-4388-A588-9382D1E7C2D3","EBB1C086-A0B9-4866-9DCA-79E3B7AD3D02"
"AHRC","AH/P009581/1","University of York","Theatre Film and TV","Research Grant","Maxwell","Deborah","","",,,,"","Hacking the Bees","01/02/2017","27/09/2018","82166",,,"Closed","Design Processes","Economic & Social History","Human-Computer Interactions","Performance & Live Art","Sustainability Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/P009581/1","1906B7BA-32E1-4363-A504-BCD84AD05784","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","8319F78A-DCBD-49F6-BE00-78E1CD75CDA9","CD36B4E9-18E9-46A2-8F41-E432EEE1C106"
"AHRC","AH/W008327/1","Brunel University","Brunel Design School","Research Grant","Pei","Eujin","","",,,,"","A Double-Diamond Approach towards Sustainable Manufacturing for Repair and Reduction of Waste","30/09/2021","29/06/2022","20161",,,"Active","Design Processes","Manufact. Business Strategy","Manufact. Enterprise Ops& Mgmt","Manufacturing Machine & Plant","Sustainability Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W008327/1","DD51584D-104F-416D-92E5-E254B3FC47ED","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","BECA2763-0902-40AA-8DB2-836A5731CF58","AAD43212-BBAC-4072-960C-25D3D36ADBB8"
"AHRC","AH/S003401/1","Queen Mary, University of London","Sch of Electronic Eng & Computer Science","Research Grant","Bryan-Kinns","Nicholas","Johnathan","",,,,"","Digital Platforms for Craft in the UK and China","01/02/2019","29/09/2020","193050",,,"Closed","Dev Informatics & Technology","Development economics","Development studies","Newton","Sustainability Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/S003401/1","361DF288-1396-444B-8C2B-B5A560108E3F","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","D5337A10-AC8A-402A-8164-C5F9CC6B0140","058B7945-94E9-450F-A970-E88BA39F33D9"
"AHRC","AH/S010793/1","University of Warwick","Centre for Cultural Policy Studies","Research Grant","Kaapa","Pietari Esa","","http://orcid.org/0000-0003-1616-2058",,,,"","The Global Green Media Production Network","31/07/2019","30/07/2022","36428",,,"Active","Econ, Pol & Env Anthropology","Environmental planning","Management & Bus Studies & Dev","Media & Communication Studies","Sustainability Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/S010793/1","2330FD18-77AF-4B4F-8FA5-CBDFD8F15B07","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","B6FB652A-60C3-48DD-9A33-075D1F759B48","C03214E1-3A1C-41D7-80DF-6428CBAE93E4"
"AHRC","AH/R006768/1","University of the Arts London","London College of Fashion","Research Grant","Black","Sandy","","",,,,"","Rethinking Fashion Design Entrepreneurship: Fostering Sustainable Practices","30/09/2018","30/03/2021","451685",,,"Closed","Design HTP","Economic Development","Entrepreneurship","Sustainability Management","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/R006768/1","EC0A3EFE-BC8D-40EF-996F-46E83E18394B","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","A037C26F-2172-4927-91DA-921F67B7EF39","6135B71C-103B-4A92-9F7B-F32D09A5AE3A"
"AHRC","AH/K004093/1","University of Bristol","Sch for Policy Studies","Research Grant","Porter","Susan","Mary","",,,,"","Walking interconnections: Performing conversations of sustainability","01/02/2013","31/01/2014","31642",,,"Closed","Climate & Climate Change","Research approaches","Social Policy","Sustainability Management","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/K004093/1","07DF1362-66B8-47EC-BFD0-30FAE15E3F91","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","4A348A76-B2D0-4DDD-804A-CE735A6D3798","1E385E65-E906-4EAF-B603-6F18BED3C4AB"
"AHRC","AH/V009206/1","University of Leeds","Sch of Design","Research Grant","Sumner","Mark","Paul","",,,,"","Impact of Covid-19 on management to eradicate modern slavery from global supply chains: A case study of Indian fashion supply chains","01/11/2020","29/04/2021","108571",,,"Closed","Retail Management","Sustainability Management","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/V009206/1","7ED792C1-1514-4442-A216-F353A4EA6496","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","83D87776-5958-42AE-889D-B8AECF16B468","65BE4C92-A77A-4F52-8446-0FF4DBADBBB0"
"AHRC","AH/W00142X/1","University of Liverpool","Management School","Fellowship","Pinnington","Bruce","Douglas","http://orcid.org/0000-0002-2738-0002",,,,"","Translating modern slavery supply chain policy ambitions into practice: activating behavioural triggers","01/01/2022","31/12/2023","202275",,,"Active","Human Rights","Operations Management","Public Administration","Sustainability Management","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W00142X/1","6B40EAFF-25A9-4B7A-92DE-2EC84E147452","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","A0A585E0-6B0D-4643-A3A6-47943B4CBFEF","B8F86BD3-D6D1-4936-9EA5-130734F8B0FD"
"AHRC","AH/W008297/1","Glasgow School of Art","The Innovation School","Research Grant","Smith","Paul","","",,,,"","The Value of Nature-Based Enterprise","30/09/2021","30/05/2022","19471",,,"Active","Design Processes","Entrepreneurship","Innovation","Sustainability Management","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W008297/1","1F4D48D4-AA1B-4E31-8649-FD649FB7505E","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","A334C885-B5AA-4A42-8CDD-EB6A11B853A2","A21EFCAF-3CEB-4E2B-8FD6-AED80BF9336B"
