"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"AHRC","AH/T00830X/1","University of Leeds","School of Media & Communication","Research Grant","Armitage","Joanne Louise","","http://orcid.org/0000-0002-7806-6064",,,,"","Sus_NET: Sustainable Making for Feminist Action","01/02/2020","30/03/2022","48510",,,"Active","GCRF","New Media/Web-Based Studies","Science and Technology Studies","Social Anthropology","Sociology of Education","Sustainable Energy Networks","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/T00830X/1","4D040FD9-4213-40CF-9584-3F58A7B635B8","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","83D87776-5958-42AE-889D-B8AECF16B468","42A56C06-4740-44E2-B1B4-278BED6407DF"
"AHRC","AH/K004069/1","Open University","Geography","Research Grant","Smith","Joe","","http://orcid.org/0000-0002-7674-6699",,,,"","Journeys through environmental change: narratives by and for communities","27/02/2013","10/07/2013","11994",,,"Closed","Architecture HTP","Comparative Literature","Environmental Geography","New Media/Web-Based Studies","Sustainable Energy Networks",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/K004069/1","585DB489-91E2-454A-8334-1686433B37E8","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","89E6D9CB-DAF8-40A2-A9EF-B330A5A7FC24","B2E6FCDE-58E6-49A3-B736-6945B8946152"
"AHRC","AH/T008342/1","University of Cambridge","Architecture","Research Grant","Sunikka-Blank","Minna","Marjaana","",,,,"","Building a film database to support decision-making for energy infrastructure in low income housing in India and South Africa","01/02/2020","30/07/2022","75350",,,"Active","Energy Efficiency","Film-based media (H, T & P)","GCRF","Sustainable Energy Networks","Womens and Gender Studies",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/T008342/1","898B721E-A8DE-4BEB-A117-BCE9DFE6DC62","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","D1774113-D5D2-4B7C-A412-66A90FE4B96F","935B3E94-F883-4535-AEF8-8E7B8A714750"
"EPSRC","EP/S001905/1","University of Warwick","Sch of Engineering","Fellowship","Zhao","Xiaowei","","http://orcid.org/0000-0002-1182-4502",,,,"","Data-driven Intelligent Energy Management System for a Micro Grid","27/06/2018","26/06/2022","609659",,,"Active","Sustainable Energy Networks","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S001905/1","56D391EA-C762-4522-B9FF-3671EA5168A3","798CB33D-C79E-4578-83F2-72606407192C","B6FB652A-60C3-48DD-9A33-075D1F759B48","BEE5024B-5C7F-4BB6-B18F-CE7F027D311C"
"EPSRC","EP/T021985/1","Cardiff University","Sch of Engineering","Research Grant","Liang","Jun","","",,,,"","Sustainable urban power supply through intelligent control and enhanced restoration of AC/DC networks","31/03/2020","30/03/2023","604561",,,"Active","Energy Storage","Sustainable Energy Networks","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/T021985/1","DFD57E57-8BF9-495D-8819-24C3453AD0D1","798CB33D-C79E-4578-83F2-72606407192C","9C10D78F-6430-4CA7-9528-B96B0762A4C6","163EFD0E-469B-4FB8-98CC-6EE5A3286E90"
"EPSRC","EP/L001004/1","University of Southampton","Faculty of Engineering & the Environment","Research Grant","Cruden","Andrew","","http://orcid.org/0000-0003-3236-2535",,,,"","Battery Characterisation and Management - the key to Smart Grids and the Integration of Electric Vehicles","10/07/2013","27/04/2017","1338719",,,"Closed","Energy Storage","Sustainable Energy Networks","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/L001004/1","9A91CC70-2920-4D9B-9FAA-4FD53B8A4FEA","798CB33D-C79E-4578-83F2-72606407192C","30A429E3-83B7-4E41-99C0-14A144F07DFE","2F2A8AFB-ACE6-4B04-9907-E8BF151984F0"
"EPSRC","EP/W003732/1","University of Plymouth","Sch of Engineering","Research Grant","Greaves","Deborah","","http://orcid.org/0000-0003-3906-9630",,,,"","High efficiency reversible solid oxide cells for the integration of offshore renewable energy using hydrogen","31/03/2022","30/03/2025","288304",,,"Active","Energy - Marine & Hydropower","Energy Efficiency","Sustainable Energy Networks","Sustainable Energy Vectors","Wind Power",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/W003732/1","E171BC66-9CAD-41FD-A5F0-49BCDF0B19B2","798CB33D-C79E-4578-83F2-72606407192C","7801F008-7C77-45E7-90E9-4345B47D138E","A7C25F8B-21DA-472E-9A69-BEF0996F89CE"
"EPSRC","EP/L021463/1","University of Manchester","Electrical and Electronic Engineering","Research Grant","Barnes","Mike","","",,,,"","MTVN: Multi-Terminal VSC-HVDC Networks - Grid Control","30/10/2014","28/10/2017","534862",,,"Closed","Sustainable Energy Networks","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/L021463/1","D174A7E7-BDE1-4A6E-B402-08154B3EA6B2","798CB33D-C79E-4578-83F2-72606407192C","68D0E3C9-9246-4CFC-B5E9-48584CF82993","4C18EFCD-8381-489D-A4AE-6C2F115978B8"
"EPSRC","EP/P017363/1","University of Warwick","Sch of Engineering","Fellowship","Shah","Vishal Ajit","","",,,,"","Ultra-high voltage (&gt;30KV) power devices through superior materials for HVDC transmission","30/06/2017","20/01/2021","726523",,,"Closed","Electric Motor & Drive Systems","Sustainable Energy Networks","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P017363/1","46447115-095F-4153-80D8-580BBC74F15A","798CB33D-C79E-4578-83F2-72606407192C","B6FB652A-60C3-48DD-9A33-075D1F759B48","12ADC696-8AC9-4063-BA0D-13C98D162B07"
"EPSRC","EP/K006487/1","Brunel University","Electronic and Computer Engineering","Research Grant","Taylor","Gareth","","http://orcid.org/0000-0003-0867-2365",,,,"","Developing Scalable Smart Grid Infrastructure to Enable Secure Transmission System Control","01/03/2013","29/02/2016","670922",,,"Closed","Sustainable Energy Networks","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K006487/1","CBECE794-145D-44CF-8E50-613926D6CEFB","798CB33D-C79E-4578-83F2-72606407192C","BECA2763-0902-40AA-8DB2-836A5731CF58","3F9C59B6-4734-4767-B845-EBA80FC76E75"
"EPSRC","EP/T00522X/1","University of Southampton","Sch of Engineering","Research Grant","James","Patrick","Alexander","",,,,"","Demand Side Renewables for Agricultural Base Load Energy (DeSiRABLE)","30/07/2019","10/08/2020","207469",,,"Closed","Energy Efficiency","Sustainable Energy Networks","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/T00522X/1","D2570BE5-D911-4C03-8656-72703E082A86","798CB33D-C79E-4578-83F2-72606407192C","30A429E3-83B7-4E41-99C0-14A144F07DFE","B4B4C85A-EB39-4E58-AEE9-50EE18BAD4DE"
