"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"BBSRC","BB/K010220/1","University of Cambridge","Chemistry","Research Grant","Reisner","Erwin","","",,,,"","Advancing Biotechnologies for Fuel Generation: Exploiting Transmembrane Cytochromes for Solar Energy Conversion","29/06/2013","29/12/2016","297489",,,"Closed","Co-ordination Chemistry","Sustainable Energy Vectors","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/K010220/1","8C79B2AA-2AC3-4455-8DD3-4B557C6CB374","2512EF1C-401B-4222-9869-A770D4C5FAC7","D1774113-D5D2-4B7C-A412-66A90FE4B96F","F9205963-2A3D-4C5D-86CB-7C1E9C0576E8"
"BBSRC","BB/S011439/1","University of Leeds","Chemical and Process Engineering","Research Grant","Ross","Andrew","Barry","",,,,"","BEFWAM-BIOENERGY, FERTILISER AND CLEAN WATER FROM INVASIVE AQUATIC MACROPHYTES","31/01/2019","30/03/2022","1708769",,,"Closed","Bioenergy","GCRF","Microorganisms","Sustainable Energy Vectors","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/S011439/1","45D8ADBE-B6C8-4C55-92F9-8A961820589A","2512EF1C-401B-4222-9869-A770D4C5FAC7","83D87776-5958-42AE-889D-B8AECF16B468","8C02BA21-405B-4691-9E1B-B62F87C28C33"
"EPSRC","EP/E044468/2","City, University of London","Sch of Engineering and Mathematical Sci","Research Grant","Pullen","Keith","Robert","http://orcid.org/0000-0001-8501-9226",,,,"","SCORE - (S)tove for (CO)oking, (R)efrigeration and (E)lectricity supply: an affordable appliance for remote and rural communities","01/01/2008","17/09/2012","229345",,,"Closed","Bioenergy","Heat & Mass Transfer","Sustainable Energy Vectors","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/E044468/2","F0ED9763-1C0C-4A89-A77D-171204669D47","798CB33D-C79E-4578-83F2-72606407192C","CD35D908-C2AF-4C14-9BC4-519C775CDB6E","421851EC-3C5E-41C6-A92E-D5D8C76C7FB4"
"EPSRC","EP/F007132/1","University of Manchester","Chem Eng and Analytical Science","Research Grant","Azapagic","Adisa","","",,,,"","Pollutants in the Urban Environment: An Integrated Framework for Improving Sustainability of the Indoor Environment (PUrE Intrawise)","31/05/2008","30/11/2011","2247704",,,"Closed","Building Ops & Management","Sustainable Energy Vectors","Urban & Land Management","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F007132/1","A0879AA2-A9C0-4876-9390-00E506A41E5D","798CB33D-C79E-4578-83F2-72606407192C","68D0E3C9-9246-4CFC-B5E9-48584CF82993","6CF674DD-6F09-47CF-AB85-4EBC7AAC5A23"
"EPSRC","EP/W033178/1","The Robert Gordon University","School of Engineering","Research Grant","Faisal","Nadimul","Haque","http://orcid.org/0000-0001-5033-6336",,,,"","Scalable metamaterial thermally sprayed catalyst coatings for nuclear reactor high temperature solid oxide steam electrolysis (METASIS)","31/03/2022","30/03/2023","240882",,,"Active","Sustainable Energy Vectors","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/W033178/1","3137DBBD-FC18-4FE6-AC62-0BA8DB86EAE8","798CB33D-C79E-4578-83F2-72606407192C","2F26B195-F498-4990-934B-D53B09569D15","CBA9A1CA-1AEE-435A-BC9E-DE3459ED19E9"
"EPSRC","EP/W003732/1","University of Plymouth","Sch of Engineering","Research Grant","Greaves","Deborah","","http://orcid.org/0000-0003-3906-9630",,,,"","High efficiency reversible solid oxide cells for the integration of offshore renewable energy using hydrogen","31/03/2022","30/03/2025","288304",,,"Active","Energy - Marine & Hydropower","Energy Efficiency","Sustainable Energy Networks","Sustainable Energy Vectors","Wind Power",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/W003732/1","E171BC66-9CAD-41FD-A5F0-49BCDF0B19B2","798CB33D-C79E-4578-83F2-72606407192C","7801F008-7C77-45E7-90E9-4345B47D138E","A7C25F8B-21DA-472E-9A69-BEF0996F89CE"
"EPSRC","EP/F06151X/1","Newcastle University","Electrical, Electronic & Computer Eng","Research Grant","Tian","Gui Yun","","http://orcid.org/0000-0002-7563-1523",,,,"","Future reliable renewable energy conversion systems &amp; networks: A collaborative UK-China project.","30/09/2008","15/12/2012","230170",,,"Closed","Energy Efficiency","Sustainable Energy Vectors","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F06151X/1","8284E40A-46F9-4A63-ABB0-6F78CE6BB39C","798CB33D-C79E-4578-83F2-72606407192C","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","00112908-612A-497B-8C22-1F7DB944020D"
"EPSRC","EP/S020357/1","University of Southampton","School of Chemistry","Research Grant","Coles","Simon","John","http://orcid.org/0000-0001-8414-9272",,,,"","An EPSRC National Research Facility to facilitate Data Science in the Physical Sciences: The Physical Sciences Data science Service (PSDS)","11/01/2019","10/01/2024","2996067",,,"Active","Analytical Science","Bioprocess Engineering","Carbon Capture & Storage","Catalysis & Applied Catalysis","Chemical Biology","Chemical Synthetic Methodology,Co-ordination Chemistry,Condensed Matter Physics,Electrochemical Science & Eng.,Fuel Cell Technologies,Gas & Solution Phase Reactions,Materials Characterisation,Materials Processing,Materials Synthesis & Growth,Oil & Gas Extraction,Particle Technology,Physical Organic Chemistry,Separation processes,Surfaces & Interfaces,Sustainable Energy Vectors","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S020357/1","7BEC0230-F4A0-4A33-970A-1DAEFBC24AE3","798CB33D-C79E-4578-83F2-72606407192C","30A429E3-83B7-4E41-99C0-14A144F07DFE","185A0130-5003-45C5-9BC8-23AB1D555817"
"EPSRC","EP/D039673/1","University of Bath","Chemical Engineering","Research Grant","Lapkin","Alexei","","",,,,"","Feasibility of hydrogen storage and sensing on novel TiO2 nanotube materials","27/02/2006","25/05/2007","63305",,,"Closed","Materials Characterisation","Sustainable Energy Vectors","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/D039673/1","A5AE9A1C-1737-4D9C-8EDA-56291C83461F","798CB33D-C79E-4578-83F2-72606407192C","EAAD4D43-BD15-432B-9385-2DBD0C65958D","84DA84EE-AC20-412E-B03F-E9EF6F522C78"
"EPSRC","EP/W032589/1","Imperial College London","Earth Science and Engineering","Research Grant","Brandon","Nigel","Peter","",,,,"","Improved hydrogen-steam electrodes for solid oxide electrolysers","31/05/2022","30/11/2023","227505",,,"Active","Sustainable Energy Vectors","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/W032589/1","818B9FF4-7AA9-45F5-90BB-5232E5B2812D","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","27F465FC-A65B-4FE2-8269-654BC72B7CBB"
