"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"AHRC","AH/V00638X/1","Nottingham Trent University","Sch of Archit Design and Built Env","Research Grant","Devilat","Bernadette","Marie","http://orcid.org/0000-0002-2679-9629",,,,"","'A sustainable re-construction method for seismic-prone heritage areas of India based on advanced recording technologies'","01/11/2020","28/07/2022","203200",,,"Active","Architecture HTP","Environmental planning","Heritage Management","Technol. for Environ. Appl.","Urban Design",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/V00638X/1","5ACEBC37-FBC5-44E0-80DB-1A52F806DEBC","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","1529782F-9068-4364-888E-46E4FC4881F5","04F7FBA5-3CF5-4C2F-B2B0-E3305B94E238"
"AHRC","AH/W008173/1","De Montfort University","LMS – Leicester Media School","Research Grant","Harwood","Tracy","Gaynor","http://orcid.org/0000-0002-2128-3121",,,,"","Designing and evaluating carbon neutral / negative development options for Leicester Outdoor Pursuits Centre","15/11/2021","13/07/2022","16043",,,"Active","Architecture HTP","New Media/Web-Based Studies","Technol. for Environ. Appl.","Technology and method dev","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W008173/1","E0D17D4F-F579-4CC4-8E3F-92CA541F4140","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","DF259B19-FD17-4588-BFEF-AD08F1193451","53D241EE-F24B-4F79-A886-23049030C741"
"AHRC","AH/R009104/1","University of Glasgow","College of Arts","Research Grant","Pittock","Murray","","",,,,"","Scottish Heritage Partnership: Immersive Experiences","11/04/2018","10/04/2019","60484",,,"Closed","Cultural History","Digital Arts HTP","Heritage Management","Policy, Arts Mgmt & Creat Ind","Technol. for Environ. Appl.",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/R009104/1","D3C16F0E-357F-48F1-8F9A-BBC227C13015","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","AE58F21F-3622-4382-97BB-1359BD183E9F","885C631C-9867-43D4-97BA-EB48C93A35AC"
"BBSRC","BB/R005664/1","University of Leeds","Sch of Geography","Research Grant","Ziv","Guy","","",,,,"","Transitions to resilience and sustainability through UK dairy systems and supply chain innovation","01/01/2018","31/12/2022","424757",,,"Active","Agricultural systems","Community Ecology","Soil science","Technol. for Environ. Appl.","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/R005664/1","4D634B86-B4ED-4A93-9CC6-2DC08FFD7C74","2512EF1C-401B-4222-9869-A770D4C5FAC7","83D87776-5958-42AE-889D-B8AECF16B468","D51FB28B-74F7-4AB1-9646-F01B169426D1"
"BBSRC","BB/T016329/1","The Rosalind Franklin Institute","Research","Research Grant","Davis","Benjamin","","",,,,"","Understanding a Mutant that Disregulates Trehalose 6-Phosphate Action in Plants","30/09/2020","29/09/2023","798573",,,"Active","Agricultural systems","Chemical Biology","Plant physiology","Plant responses to environment","Technol. for Environ. Appl.",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/T016329/1","2B806CF0-8FEB-4959-9551-71FF13312F3B","2512EF1C-401B-4222-9869-A770D4C5FAC7","9CC338AF-A8AB-4D3F-9740-4401535C2FD6","EF20884F-1419-4BC5-BFAB-70530EBA02D5"
"BBSRC","BB/R021600/1","University of Greenwich","Natural Resources Institute, FES","Research Grant","Colgan","Richard","","",,,,"","ISCF WAVE 1 AGRI TECH: Low cost sensors to reduce storage losses","03/01/2018","31/03/2019","64022",,,"Closed","Agricultural systems","Analytical Science","Crop protection","Technol. for Environ. Appl.","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/R021600/1","FA4661C0-8994-4F62-A7F8-78596F24114F","2512EF1C-401B-4222-9869-A770D4C5FAC7","2F667752-ABE0-4914-9C97-82F42CC11C60","EDBDC8B2-CD23-4052-AD3F-72EAC235E2DD"
"BBSRC","BB/R022879/1","University of Glasgow","School of Geographical & Earth Sciences","Research Grant","Barrett","Brian","","",,,,"","RCUK-CIAT Newton Fund Advancing sustainable forage-based livestock production systems using multi-source remote sensing and social science approaches","01/04/2018","31/03/2019","109190",,,"Closed","Agricultural systems","Environment","Environmental Informatics","Newton","Technol. for Environ. Appl.",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/R022879/1","01FE414F-D891-414D-81B3-EEDBD902604E","2512EF1C-401B-4222-9869-A770D4C5FAC7","AE58F21F-3622-4382-97BB-1359BD183E9F","2279C50D-154F-4250-8FDD-E7B6D6DA3F64"
"BBSRC","BB/M025837/1","National Oceanography Centre","Science and Technology","Research Grant","Mowlem","Matt","","http://orcid.org/0000-0001-7613-6121",,,,"","Quantification and Viability of &quot;Indicator&quot; E. coli by Lab on a Chip Isothermal Nucleic Acid Amplification for Biosecurity in Sustainable Aquaculture","31/05/2015","30/05/2017","245987",,,"Closed","Environmental Microbiology","Food microbiology","System on Chip","Technol. for Environ. Appl.","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/M025837/1","DA92E528-CB41-483C-A024-CBEDC3113134","2512EF1C-401B-4222-9869-A770D4C5FAC7","4DB630C7-7E13-4610-A1C3-29601903CEE3","E6C3B8A7-A437-4F7B-9DA7-722E6CB0CBD1"
"BBSRC","BB/M026698/1","Plymouth Marine Laboratory","Remote Sensing Group","Research Grant","Miller","Peter","Ian","http://orcid.org/0000-0002-5292-8789",,,,"","ShellEye: Satellite-based water quality bulletins for shellfish farms to support management decisions","14/05/2015","13/06/2017","250851",,,"Closed","Agricultural systems","Earth & environmental","Environmental Microbiology","Food microbiology","Technol. for Environ. Appl.",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/M026698/1","3F5CBF72-AF82-45BF-A65D-63B43485C7EB","2512EF1C-401B-4222-9869-A770D4C5FAC7","EEF9EA95-341D-48C2-8A68-B838D35497C8","CD7E60B1-87CC-430D-A263-943A69E59F86"
"BBSRC","BB/P027458/1","National Inst of Agricultural Botany","Genetics and Breeding","Research Grant","Ober","Eric","","",,,,"","BioLaser: Establishing a High-Resolution Laser Ablation Tomography Platform for UK Bioimaging Research","01/11/2017","30/10/2019","138037",,,"Closed","Crop science","Instrumentation Eng. & Dev.","Plant cell biology","Technol. for Environ. Appl.","Tools for the biosciences",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/P027458/1","F9A892F7-F35A-4720-AFB8-60F16918EDBF","2512EF1C-401B-4222-9869-A770D4C5FAC7","8618366A-CDAC-48A6-A508-BB81142C640F","B8237F07-13FA-45B2-B407-9FC9246C0801"
