"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"AHRC","AH/R014183/1","University of Salford","Sch of Science,Engineering & Environment","Research Grant","Udeaja","Chika","Emmanuel","http://orcid.org/0000-0002-6405-9664",,,,"","IT INDIAN HERITAGE PLATFORM: Enhancing cultural resilience in India by applying digital technologies to the Indian tangible and intangible heritage","14/02/2018","30/11/2020","148277",,,"Closed","Asian & Middle Eastern Studies","Building Ops & Management","Heritage Management","Newton","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/R014183/1","EBA90E28-C69E-4A29-80F9-B257054AA31E","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","ED6ACD61-0140-4C05-B93D-2C6A42CA753B","739373BE-3483-44B0-8A86-920A5C0F5061"
"AHRC","AH/K006711/1","Open University","Engineering & Innovation","Research Grant","Zamenopoulos","Theodore","","",,,,"","Scaling Up Co-Design research and practice: building community-academic capacity and extending reach","01/02/2013","29/06/2014","99298",,,"Closed","Design Processes","Media & Communication Studies","Urban & Land Management","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/K006711/1","B82CB02C-A5C1-477E-BF71-FF48F362C0AF","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","89E6D9CB-DAF8-40A2-A9EF-B330A5A7FC24","60DA6BD3-C1C0-4CEF-BA7C-43E8635ED403"
"AHRC","AH/W00965X/1","University of Reading","Built Enviroment","Research Grant","Vasilikou","Carolina","","http://orcid.org/0000-0001-6909-8112",,,,"","ZeroCity+ an urban game","03/11/2021","01/07/2022","17040",,,"Active","Design Processes","Urban & Land Management","Urban Design","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W00965X/1","E5198C41-FCE8-41F5-8EF6-DEDACB90D52D","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","E89C3602-0FB4-4044-A918-58966B8A10B2","8FCECCB1-A1C9-4BAD-8C48-4C2D60294323"
"AHRC","AH/W008270/1","University of Hertfordshire","School of Creative Arts","Research Grant","Carta","Silvio","","http://orcid.org/0000-0002-7586-3121",,,,"","Sustainability Visualised - Net-Zero at a District Council Level","01/11/2021","29/06/2022","19932",,,"Active","Design Processes","Urban & Land Management","Urban Design","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W008270/1","939CB51F-A932-43AD-80A3-0E09BB4D2A95","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","5E589D68-A73C-42BB-892C-BC508C7B60CA","5F363B55-2A37-4009-9CA2-37AFC4B8C1F2"
"AHRC","AH/K004093/1","University of Bristol","Sch for Policy Studies","Research Grant","Porter","Susan","Mary","",,,,"","Walking interconnections: Performing conversations of sustainability","01/02/2013","31/01/2014","31642",,,"Closed","Climate & Climate Change","Research approaches","Social Policy","Sustainability Management","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/K004093/1","07DF1362-66B8-47EC-BFD0-30FAE15E3F91","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","4A348A76-B2D0-4DDD-804A-CE735A6D3798","1E385E65-E906-4EAF-B603-6F18BED3C4AB"
"AHRC","AH/R009392/1","University of Sheffield","Archaeology","Research Grant","Hadley","Dawn","Marie","http://orcid.org/0000-0001-5452-5265",,,,"","Digital Engagement for Heritage-led Urban Regeneration","15/01/2018","13/07/2018","60393",,,"Closed","Archaeology of Literate Soc.","Architecture HTP","Heritage Management","Policy, Arts Mgmt & Creat Ind","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/R009392/1","9B44AE79-DD4E-4646-A2C8-2454DDE20BDA","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","FF1391E6-8FC9-47A6-95B3-5AFC7A0D8332"
"AHRC","AH/V008390/1","Cardiff University","Welsh School of Architecture (ARCHI)","Research Grant","Inam","Aseem","","http://orcid.org/0000-0003-1345-9067",,,,"","&quot;Designing Publics&quot; Research Network","14/01/2021","31/01/2023","36277",,,"Active","Architecture HTP","Design HTP","Design Processes","Urban & Land Management","Urban Design",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/V008390/1","474CEC68-E66F-4DFD-B324-114773851D02","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","9C10D78F-6430-4CA7-9528-B96B0762A4C6","2018B4DB-485B-493E-8EE8-F5D38382F91C"
"AHRC","AH/J011711/1","Birmingham City University","BIAD Sch of Architecture","Research Grant","Prytherch","David","","",,,,"","Hidden Connections, Shared Environments and Environmental Flows - how local walking interventions induce community positivity in urban locations.","09/02/2012","07/08/2012","31981",,,"Closed","Architecture HTP","Human Geography","Social Policy","Urban & Land Management","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/J011711/1","9A160ED6-9FCD-4A10-A7BC-495F9612A380","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","A022BD3A-2A7B-4E64-8877-A2E381C4CCB5","34A743A0-79F0-49E0-BA3A-8719380B14F3"
"AHRC","AH/M001296/1","Lancaster University","Lancaster Inst for the Contemporary Arts","Research Grant","Cruickshank","Leon","","",,,,"","Leapfrog: Transforming Public Service Consultation by Design","05/01/2015","31/10/2018","999923",,,"Closed","Computer Sys. & Architecture","Design Processes","Pol.,International Rel.&Dev.","Urban & Land Management","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/M001296/1","C0D94F0F-EE90-4FCD-9F93-AEA1878B9ABE","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","44160F04-5CBF-4E8E-A6C6-C0EF61A5865C","3535DDAC-E8D5-49B6-89F8-9D4585B72B80"
"AHRC","AH/J006580/1","University of Birmingham","Sch of Geography, Earth & Env Sciences","Research Grant","Jones","Phil","Ian","http://orcid.org/0000-0001-6455-1184",,,,"","Localism and connected neighbourhood planning","01/02/2012","30/07/2012","31980",,,"Closed","Human Geography","Mobile Computing","Socio Legal Studies","Urban & Land Management","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/J006580/1","035C9CF9-8503-463D-9BB5-F537EF5EDE71","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","818CD6C9-61EE-41F2-9F37-0C7A8F43E25D","882561FD-1D18-4B12-9911-0BBE7A37BACC"
"AHRC","AH/K002651/1","University of Sheffield","Architectural Studies","Research Grant","Samuel","Flora","","",,,,"","Home Improvements: Improving quality and value in the provision of volume house building through architectural knowledge exchange","07/01/2013","05/06/2014","197026",,,"Closed","Architecture HTP","Building Ops & Management","Construction Ops & Management","Urban & Land Management","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/K002651/1","4334FBF8-8745-44BA-8FD4-297ECBED3D95","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","35AFE606-4369-4D3B-A1BA-EFBB1A09BC7C"
"AHRC","AH/J013706/1","University College London","Bartlett Sch of Planning","Research Grant","Carmona","Matthew","Peter","",,,,"","Evaluating the governance of design in the built environment - the CABE experiment and beyond","07/01/2013","05/09/2014","252509",,,"Closed","Architecture HTP","Design HTP","Design Processes","Environmental planning","Urban & Land Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/J013706/1","8C846D2D-E672-40B1-B00B-511B65A9B9C2","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","3A5E126D-C175-4730-9B7B-E6D8CF447F83","5C4F1320-7EFF-4A00-8F86-51B75676F027"
"BBSRC","BB/L012510/1","University of Hertfordshire","School of Engineering and Technology","Research Grant","Tracey","Mark","Christopher","",,,,"","New approaches for the early detection of tree health pests and pathogens","31/05/2014","30/11/2017","352750",,,"Closed","Agricultural systems","Instrumentation Eng. & Dev.","Urban & Land Management","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/L012510/1","22FB489C-80C9-4686-9038-76919F58F868","2512EF1C-401B-4222-9869-A770D4C5FAC7","5E589D68-A73C-42BB-892C-BC508C7B60CA","B21FEBB2-4B73-45E3-A2CD-54F10DC37206"
