"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"AHRC","AH/N005767/1","Bangor University","Sch of Social Sciences","Research Grant","Plows","Alexandra Jane","","",,,,"","&quot; smART cities and waste: Developing an arts-led interdisciplinary network for waste management and treatment innovation&quot;","01/02/2016","31/01/2018","37733",,,"Closed","Community Art inc A & H","Science and Technology Studies","Urban Design","Waste Management","Waste Minimisation",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/N005767/1","4598A97D-F879-4A7B-BBDD-100EF72446D2","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","F9F1D136-12E3-4BE4-9668-0C9BC4A7C1BF","3E97B5BB-74F1-4747-930C-40EC11445919"
"AHRC","AH/W007134/1","De Montfort University","School of Design","Research Grant","Sung","Kyungeun","","http://orcid.org/0000-0001-9570-7225",,,,"","International Upcycling Research Network","01/03/2022","29/02/2024","34229",,,"Active","Design Engineering","Design Processes","Entrepreneurship","Manufact. Enterprise Ops& Mgmt","Waste Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W007134/1","5404527E-048F-4A0F-8E94-A6E5007B3F2E","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","DF259B19-FD17-4588-BFEF-AD08F1193451","96BCBE90-C88D-4B3B-8527-CFD443AA3974"
"BBSRC","BB/S009795/1","University of Southampton","Faculty of Engineering & the Environment","Research Grant","Heaven","Sonia","","",,,,"","Environmental Biotechnology Network","19/03/2019","18/03/2024","1352311",,,"Active","Environmental Genomics","Environmental Microbiology","Pollution","Waste Management","Water Engineering",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/S009795/1","76E1D3AA-8493-42E1-A9A5-3F47934579A9","2512EF1C-401B-4222-9869-A770D4C5FAC7","30A429E3-83B7-4E41-99C0-14A144F07DFE","6072278D-5429-4B54-A4C2-37D76452CA7D"
"BBSRC","BB/W014351/1","Durham University","Biosciences","Research Grant","Chivers","Peter","","http://orcid.org/0000-0002-8779-1452",,,,"","21EBTA - Engineering Microbial Metal Recovery (EMMR)","31/01/2022","30/01/2024","282126",,,"Active","Environmental biotechnology","Responses to environment","Waste Management","Waste Minimisation","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/W014351/1","3B65C43E-11C7-4DDA-8CC6-29511E024314","2512EF1C-401B-4222-9869-A770D4C5FAC7","46B41008-0EB4-4E28-BBFB-E98366999EC5","36BB4A04-A267-4F93-808A-AF5CB2C3AD13"
"BBSRC","BB/W014165/1","Quadram Institute Bioscience","Food Innovation and Health","Research Grant","Warren","Martin","James","",,,,"","21EBTA: Engineering Microbial Metal Recovery (EMMR)","31/01/2022","30/01/2024","291594",,,"Active","Environmental biotechnology","Responses to environment","Waste Management","Waste Minimisation","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/W014165/1","95CDA2A0-1FD0-402E-BAB9-FD80554A0BDC","2512EF1C-401B-4222-9869-A770D4C5FAC7","2D8E82C0-85D1-4809-90FC-4716F4AF5865","B1F4B9F3-B079-4543-8B11-C2E3B1C43729"
"BBSRC","BB/W01467X/1","University of Manchester","Earth Atmospheric and Env Sciences","Research Grant","Lloyd","Jonathan","Richard","",,,,"","Engineering Microbial Metal Recovery (EMMR)","31/01/2022","30/01/2024","844637",,,"Active","Environmental biotechnology","Metabolic engineering","Responses to environment","Waste Management","Waste Minimisation",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/W01467X/1","AAF06BB1-EA37-4213-93A2-FB3CBF9DE7BE","2512EF1C-401B-4222-9869-A770D4C5FAC7","68D0E3C9-9246-4CFC-B5E9-48584CF82993","A117B902-467A-4743-8695-0F41D36D18CB"
"BBSRC","BB/T002522/1","University of Exeter","Biosciences","Research Grant","Buckling","Angus","","",,,,"","Rational design of microbial community mixtures for biogas production","01/01/2020","31/12/2022","437275",,,"Active","Bioenergy","Community Ecology","Environmental Microbiology","Metabolomics / Metabonomics","Waste Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/T002522/1","78A02EAF-0D53-4340-8C9A-656DAD83F7AE","2512EF1C-401B-4222-9869-A770D4C5FAC7","961756BF-E31F-4A13-836F-0A09BA02385C","56B3F887-C4BD-4C3A-9835-B1D0C7A1FAA8"
"BBSRC","BB/T008296/1","Newcastle University","Sch of Natural Sciences & Env Sciences","Research Grant","Head","Ian","","http://orcid.org/0000-0002-5373-162X",,,,"","PRO-BES / Pioneering Real-time Observations with BioElectrochemical Systems","12/04/2020","31/12/2022","262232",,,"Active","Environmental biotechnology","Pollution","Survey & Monitoring","Technol. for Environ. Appl.","Waste Management",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/T008296/1","C3E62C1F-F62A-41FA-BE7A-65979BC999BF","2512EF1C-401B-4222-9869-A770D4C5FAC7","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","80124A2A-08C3-46A2-A5A0-D72B826B29F3"
"BBSRC","BB/P027709/1","Newcastle University","Sch of Engineering","Research Grant","Werner","David","","",,,,"","NEWTON SEA: Valorisation of agricultural wastes in the Thai rural economy for bioenergy production, nutrient recycling and water pollution control","13/02/2017","11/08/2018","72015",,,"Closed","Agricultural systems","Bioenergy","Newton","Pollution","Waste Management","Waste Minimisation","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/P027709/1","CC670B34-1628-4E49-B13D-AA14648803F7","2512EF1C-401B-4222-9869-A770D4C5FAC7","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","8795BA13-3923-49C3-9333-05E6A7E3AA45"
"EPSRC","EP/G029946/1","University of Sheffield","Civil and Structural Engineering","Research Grant","Boxall","Joby","","http://orcid.org/0000-0002-4681-6895",,,,"","Pipe Dreams","26/06/2009","26/12/2014","904117",,,"Closed","Civil Engineering Materials","Ground Engineering","Waste Management","Water Engineering","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G029946/1","F48A47B3-061D-4292-BE9A-08F9D53B56BC","798CB33D-C79E-4578-83F2-72606407192C","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","4194AD80-4F2F-4E4A-BB92-8192A92481CE"
"EPSRC","EP/V000012/1","University of Manchester","Mathematics","Research Grant","Landel","Julien","Remy","http://orcid.org/0000-0003-3159-8749",,,,"","Workshop on Roadmapping of Quantitative Understanding of Cleaning and Decontamination","01/12/2020","29/09/2021","2408",,,"Closed","Design of Process systems","Ground Engineering","Waste Management","Water Engineering","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/V000012/1","BEB500F0-318A-43E3-AE82-0957F0795F17","798CB33D-C79E-4578-83F2-72606407192C","68D0E3C9-9246-4CFC-B5E9-48584CF82993","2D5EDEB8-A467-4BBB-8CEB-CC8D4D457783"
"EPSRC","EP/K026429/1","Loughborough University","Civil and Building Engineering","Research Grant","Glass","Jacqueline","","http://orcid.org/0000-0003-4961-3943",,,,"","CORE: Creative outreach for resource efficiency","03/06/2013","30/03/2017","302311",,,"Closed","Manufact. Business Strategy","Waste Management","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K026429/1","B6D3D8C9-5B15-4535-BCD0-5A0A8D56F008","798CB33D-C79E-4578-83F2-72606407192C","CAA9A40D-0226-4A4F-AC0D-D8299E30A1EF","6C2138E1-B9D6-43DA-9216-3BEDD252F9E5"
"EPSRC","EP/S029427/1","University of Surrey","Civil and Environmental Engineering","Research Grant","Bond","Tom","","http://orcid.org/0000-0002-5546-0210",,,,"","Predicting the Polymer-specific Fate of Aquatic Plastic Litter","06/12/2019","05/11/2022","260881",,,"Active","Pollution","Waste Management","Waste Minimisation","Water Engineering","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S029427/1","0C77F07E-BD77-494D-9FB2-608A4880B8FC","798CB33D-C79E-4578-83F2-72606407192C","67B34D05-3A52-4A09-8FF9-F2398D60E246","AFDF7B90-648C-41BF-8A78-B6468B7330E7"
"EPSRC","EP/P004504/1","Imperial College London","Materials","Research Grant","Payne","David","James","",,,,"","Reduced Energy Recycling of Lead Acid Batteries (RELAB)","01/12/2016","30/11/2021","1295518",,,"Active","Electrochemical Science & Eng.","Reactor Engineering","Separation processes","Waste Management","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P004504/1","15DDA669-78AC-4520-8C09-8794417205D6","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","FE9619BC-8934-41E1-A26F-D3BB3BA61529"
"EPSRC","EP/T03100X/1","Cardiff University","Sch of Engineering","Research Grant","Sapsford","Devin","James","",,,,"","ASPIRE - Accelerated Supergene Processes in Repository Engineering","01/03/2021","29/02/2024","592345",,,"Active","Waste Management","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/T03100X/1","86A9BD99-F7E3-4042-B581-A4A68F8ACF44","798CB33D-C79E-4578-83F2-72606407192C","9C10D78F-6430-4CA7-9528-B96B0762A4C6","9514AC66-2E1F-43EE-8ED7-4989D72BCA4D"
"EPSRC","EP/H009620/1","University of Edinburgh","Sch of Engineering","Research Grant","Crapper","Martin","","",,,,"","Study Visit to University of Western Ontario","24/06/2009","23/09/2009","15811",,,"Closed","Waste Management","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/H009620/1","C43B9959-6E16-46E3-AF1E-BEA44C15449A","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","2313FA6A-10D4-4655-B2C5-8C011F150EC4"
"EPSRC","EP/F04819X/1","University of Exeter","Engineering Computer Science and Maths","Research Grant","Butler","David","","",,,,"","Ashford's Integrated Alternatives","31/03/2009","30/03/2011","502742",,,"Closed","Sustainable Energy Networks","Urban & Land Management","Waste Management","Water Engineering","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F04819X/1","DCE9C48A-7DB4-4B49-88AE-19333B4E0E2F","798CB33D-C79E-4578-83F2-72606407192C","961756BF-E31F-4A13-836F-0A09BA02385C","0D977C2C-AB48-4FD2-8846-CC0D07827E91"
"EPSRC","EP/I012206/1","University of Southampton","Faculty of Engineering & the Environment","Research Grant","Powrie","William","","",,,,"","Processes, mechanics and management of wastes","04/01/2011","02/07/2016","961107",,,"Closed","Waste Management","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I012206/1","B3296F5F-901D-4C46-ADD0-26426ECEEFC4","798CB33D-C79E-4578-83F2-72606407192C","30A429E3-83B7-4E41-99C0-14A144F07DFE","389A3135-6CF2-41C4-B4FD-FD3CE0D400C9"
