"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"AHRC","AH/N005767/1","Bangor University","Sch of Social Sciences","Research Grant","Plows","Alexandra Jane","","",,,,"","&quot; smART cities and waste: Developing an arts-led interdisciplinary network for waste management and treatment innovation&quot;","01/02/2016","31/01/2018","37733",,,"Closed","Community Art inc A & H","Science and Technology Studies","Urban Design","Waste Management","Waste Minimisation",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/N005767/1","4598A97D-F879-4A7B-BBDD-100EF72446D2","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","F9F1D136-12E3-4BE4-9668-0C9BC4A7C1BF","3E97B5BB-74F1-4747-930C-40EC11445919"
"AHRC","AH/R007527/1","University of the West of England","Fac of Arts Creative Ind and Education","Research Grant","Dillon","Teresa","","http://orcid.org/0000-0002-5076-7723",,,,"","Network for Repair, Reuse &amp; Maintenance (RRM) Cultures","19/02/2018","31/03/2019","34598",,,"Closed","Design Processes","Digital Arts HTP","Economic Development","Human Geography (General)","Waste Minimisation",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/R007527/1","7124C52F-2F38-4BEC-8B37-BAC1F403416E","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","2A80FFDA-3B8B-43BA-80C3-3AA850B49BA1","CCFA6037-E0C1-4231-BE1D-632D5DD954C9"
"AHRC","AH/L01582X/1","Royal Central Sch of Speech and Drama","Faculty","Research Grant","Ploeger","Daniel","","",,,,"","Bodies of Planned Obsolescence: Digital performance and the global politics of electronic waste","30/09/2014","29/09/2015","35148",,,"Closed","Digital Arts HTP","Performance & Live Art","Waste Minimisation","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/L01582X/1","1B21152E-F699-4438-AA12-BFB5FE21880D","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","11FECE84-7672-4809-88F2-FEB786E20A70","1A979551-B70F-4B93-9B5C-EAB80F40B310"
"AHRC","AH/T008423/1","University of Surrey","School of Law","Research Grant","Malcolm","Rosalind","","",,,,"","The Wicked Problem of Plastics and the Discourse Surrounding its Governance","01/02/2020","31/01/2022","54157",,,"Active","GCRF","Governance","Jurisprudence/Legal Philosophy","Waste Minimisation","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/T008423/1","FBA2A4C0-626D-4AF5-B32B-779499E048DC","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","67B34D05-3A52-4A09-8FF9-F2398D60E246","08E70D58-A528-4C4C-9DB0-457403FD2C43"
"BBSRC","BB/W014351/1","Durham University","Biosciences","Research Grant","Chivers","Peter","","http://orcid.org/0000-0002-8779-1452",,,,"","21EBTA - Engineering Microbial Metal Recovery (EMMR)","31/01/2022","30/01/2024","282126",,,"Active","Environmental biotechnology","Responses to environment","Waste Management","Waste Minimisation","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/W014351/1","3B65C43E-11C7-4DDA-8CC6-29511E024314","2512EF1C-401B-4222-9869-A770D4C5FAC7","46B41008-0EB4-4E28-BBFB-E98366999EC5","36BB4A04-A267-4F93-808A-AF5CB2C3AD13"
"BBSRC","BB/N024087/1","University of the West of England","Faculty of Health and Life Sciences","Research Grant","Reynolds","Darren","Michael","http://orcid.org/0000-0002-7002-1320",,,,"","Management and use of beneficial bacterial biofilms to control aquatic pathogens, for reliable chemical-free sanitisation of swimming pools","30/04/2016","29/05/2017","35084",,,"Closed","Microbiology","Microorganisms","Waste Minimisation","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/N024087/1","0812DD55-6FA4-4181-A887-DD199A4D62BE","2512EF1C-401B-4222-9869-A770D4C5FAC7","2A80FFDA-3B8B-43BA-80C3-3AA850B49BA1","4C967AF8-9A8A-499A-92B6-B4BAFEEA27CD"
"BBSRC","BB/V011596/1","University of Nottingham","Faculty of Engineering","Research Grant","Snape","Colin","Edward","",,,,"","Biochar Demonstrator Addressing Key Deployment Barriers for Carbon Sequestration","30/04/2021","31/10/2025","4389133",,,"Active","Assess/Remediate Contamination","Earth & environmental","Environmental Microbiology","Waste Minimisation","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/V011596/1","7989CC70-3215-4A5D-900E-931C354898E9","2512EF1C-401B-4222-9869-A770D4C5FAC7","936D002F-A8D1-4A93-AE5D-825ED0903D8D","A6204095-EFFA-4756-9FB1-B5DEF5462014"
"BBSRC","BB/S020950/1","University of Leeds","School of Food Science and Nutrition","Research Grant","Orfila","Caroline","","http://orcid.org/0000-0003-2564-8068",,,,"","UK-China Agritech Challenge- CITRUSAFE","01/02/2019","30/07/2021","422328",,,"Closed","Biomaterials","Diet & health","Food microbiology","Food processing","Newton","Waste Minimisation","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/S020950/1","F3D448B9-C2BD-4B57-A7E5-5A42A7961B41","2512EF1C-401B-4222-9869-A770D4C5FAC7","83D87776-5958-42AE-889D-B8AECF16B468","A7DA6AB7-6BB8-438E-B46B-66BEDFFC09EC"
"BBSRC","BB/S020993/1","Sheffield Hallam University","College of Business, Technology & Eng","Research Grant","Howarth","Martin","","",,,,"","Next generation rice processing","31/03/2019","30/03/2021","544435",,,"Closed","Behavioural & experimental eco","Food processing","Multiphase Flow","Newton","Robotics & Autonomy","Waste Minimisation","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/S020993/1","B84500BE-7E44-4AEA-9912-DC19882A48EB","2512EF1C-401B-4222-9869-A770D4C5FAC7","52FDE897-E62F-4388-A588-9382D1E7C2D3","DF903350-C280-48EA-815E-CB60E0D8B86E"
"BBSRC","BB/R010412/1","University of Manchester","Earth Atmospheric and Env Sciences","Research Grant","Lloyd","Jonathan","Richard","",,,,"","Molecular engineering of high activity multifunctional biometallic catalysts for clickable chemistries","01/03/2018","01/12/2022","724952",,,"Active","Catalysis & Applied Catalysis","Metabolomics / Metabonomics","Novel industrial products","Proteomics","Waste Minimisation",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/R010412/1","CE410E29-26DD-468D-A7B4-0A6505FC120C","2512EF1C-401B-4222-9869-A770D4C5FAC7","68D0E3C9-9246-4CFC-B5E9-48584CF82993","A117B902-467A-4743-8695-0F41D36D18CB"
"BBSRC","BB/W014165/1","Quadram Institute Bioscience","Food Innovation and Health","Research Grant","Warren","Martin","James","",,,,"","21EBTA: Engineering Microbial Metal Recovery (EMMR)","31/01/2022","30/01/2024","291594",,,"Active","Environmental biotechnology","Responses to environment","Waste Management","Waste Minimisation","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/W014165/1","95CDA2A0-1FD0-402E-BAB9-FD80554A0BDC","2512EF1C-401B-4222-9869-A770D4C5FAC7","2D8E82C0-85D1-4809-90FC-4716F4AF5865","B1F4B9F3-B079-4543-8B11-C2E3B1C43729"
"BBSRC","BB/W01467X/1","University of Manchester","Earth Atmospheric and Env Sciences","Research Grant","Lloyd","Jonathan","Richard","",,,,"","Engineering Microbial Metal Recovery (EMMR)","31/01/2022","30/01/2024","844637",,,"Active","Environmental biotechnology","Metabolic engineering","Responses to environment","Waste Management","Waste Minimisation",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/W01467X/1","AAF06BB1-EA37-4213-93A2-FB3CBF9DE7BE","2512EF1C-401B-4222-9869-A770D4C5FAC7","68D0E3C9-9246-4CFC-B5E9-48584CF82993","A117B902-467A-4743-8695-0F41D36D18CB"
"BBSRC","BB/P027709/1","Newcastle University","Sch of Engineering","Research Grant","Werner","David","","",,,,"","NEWTON SEA: Valorisation of agricultural wastes in the Thai rural economy for bioenergy production, nutrient recycling and water pollution control","13/02/2017","11/08/2018","72015",,,"Closed","Agricultural systems","Bioenergy","Newton","Pollution","Waste Management","Waste Minimisation","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/P027709/1","CC670B34-1628-4E49-B13D-AA14648803F7","2512EF1C-401B-4222-9869-A770D4C5FAC7","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","8795BA13-3923-49C3-9333-05E6A7E3AA45"
"EPSRC","EP/S018204/2","Imperial College London","Department of Chemical Engineering","Research Grant","Titirici","Magdalena","","",,,,"","Sustainable Processing of Energy Materials from Waste","30/04/2019","31/10/2022","812805",,,"Active","Energy Storage","Manufacturing Machine & Plant","Materials Processing","Waste Minimisation","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S018204/2","79940467-82F8-4ABF-B99A-1E787AE51F61","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","DEA49F4B-EFBF-4331-B0BE-697198283BB1"
"EPSRC","EP/S029427/1","University of Surrey","Civil and Environmental Engineering","Research Grant","Bond","Tom","","http://orcid.org/0000-0002-5546-0210",,,,"","Predicting the Polymer-specific Fate of Aquatic Plastic Litter","06/12/2019","05/11/2022","260881",,,"Active","Pollution","Waste Management","Waste Minimisation","Water Engineering","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S029427/1","0C77F07E-BD77-494D-9FB2-608A4880B8FC","798CB33D-C79E-4578-83F2-72606407192C","67B34D05-3A52-4A09-8FF9-F2398D60E246","AFDF7B90-648C-41BF-8A78-B6468B7330E7"
"EPSRC","EP/S036237/1","University of Warwick","WMG","Research Grant","Kirwan","Kerry","Emmett Arthur","",,,,"","Circular Economy Network+ in Transportation Systems (CENTS)","01/12/2019","30/11/2022","1015575",,,"Active","Waste Minimisation","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S036237/1","1A268601-F46A-498F-9AED-21B2B825FA64","798CB33D-C79E-4578-83F2-72606407192C","B6FB652A-60C3-48DD-9A33-075D1F759B48","F81B0A1A-DF18-4DC6-93A3-220E0836B696"
"EPSRC","EP/P510336/1","Cranfield University","School of Water, Energy and Environment","Research Grant","Wagland","Stuart Thomas","","",,,,"","Pre-commercial technology validation of a clean cold renewable syngas production plant.","31/05/2016","30/05/2017","81246",,,"Closed","Bioenergy","Waste Minimisation","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P510336/1","5E07C22B-A7CB-44B6-85A2-A678B421357C","798CB33D-C79E-4578-83F2-72606407192C","F45A4578-F962-4EFA-9CC1-9F2FF4F760AE","2921A6D1-1B34-4E84-B14E-4ADC70614334"
"EPSRC","EP/I002154/1","Newcastle University","Civil Engineering and Geosciences","Research Grant","Bell","Margaret","Carol","http://orcid.org/0000-0001-8822-8437",,,,"","SECURE: SElf Conserving URban Environments","01/02/2011","30/07/2015","2244041",,,"Closed","Bioenergy","Construction Ops & Management","Energy Efficiency","Urban & Land Management","Waste Management","Waste Minimisation","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I002154/1","4021AEEF-A0C6-4E5B-A4C4-F28C10AD10EC","798CB33D-C79E-4578-83F2-72606407192C","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","519CF60E-996E-4A92-BB64-273C274CEB54"
"EPSRC","EP/S019111/1","University of Cambridge","Engineering","Research Grant","Allwood","Julian","Mark","",,,,"","UK FIRES: Locating Resource Efficiency at the heart of Future Industrial Strategy in the UK","31/03/2019","31/03/2024","5176327",,,"Active","Design Engineering","Manufact. Enterprise Ops& Mgmt","Materials Processing","Waste Minimisation","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S019111/1","58D0B5F1-6C80-4EFC-85B3-FC4466A70841","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","A424C3E8-EFBD-473A-BF99-82581C39469F"
