"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"AHRC","AH/W009099/1","University of Strathclyde","History","Research Grant","Wilson","David","","http://orcid.org/0000-0002-7992-901X",,,,"","British Colonialism, Marine Sciences, and Fisheries Governance: Lessons from Lake Malawi in the Mid-Twentieth Century","04/01/2022","02/04/2023","107932",,,"Active","Animal organisms","History of Sci./Med./Technol.","Imperial/Colonial History","Nat Resources, Env & Rural Dev","Water Quality",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/W009099/1","6C331233-60A3-432E-AA77-BC4E72681BDB","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","5BB4F8BF-B4E0-4EAF-9AF5-885E19D64850","B2892D51-0ED7-46D6-B01D-414A5BF1F7C1"
"AHRC","AH/P013627/1","University of Hull","Histories","Research Grant","Bankoff","Greg","","",,,,"","Local Governance and Community Resilience: How Internal Drainage Boards (IDBs) and Communities Managed Flooding in England","01/11/2017","29/04/2022","370359",,,"Active","Economic & Social History","Environmental Geography","Water Quality","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/P013627/1","6F08B567-3720-446F-9B8B-5D800144C91D","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","8A0FC07A-04CD-4F7A-9095-1D2E6C1D918F","751BB874-D5BB-4288-B0F3-094EEBB74CF1"
"AHRC","AH/T008482/1","Lancaster University","Lancaster Inst for the Contemporary Arts","Research Grant","Tsekleves","Emmanuel","","",,,,"","WASHable: Participatory design and community engagement Network on WASH in Lusophone and Francophone African Countries","01/02/2020","30/03/2022","54643",,,"Active","Community Art inc A & H","Design Processes","GCRF","Geography and Development","Nat Resources, Env & Rural Dev","Water Quality","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/T008482/1","BBD67331-40B0-4703-9576-CEEDBF061E46","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","44160F04-5CBF-4E8E-A6C6-C0EF61A5865C","AA0B7D66-0C34-4A32-BCEA-587A49F9C9C3"
"BBSRC","BB/N004248/1","Rothamsted Research","Sustainable Agriculture Sciences-NW","Research Grant","Collins","Adrian","Loric","",,,,"","Impacts of different vegetation in riparian buffer strips on hydrology and water quality","01/01/2016","31/12/2020","559861",,,"Closed","Pollution","Water Quality","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/N004248/1","A4FD513C-1C12-4BDC-A65C-81E0C1C52366","2512EF1C-401B-4222-9869-A770D4C5FAC7","ACD5F1CF-266C-4CDE-A399-43DC93429CF9","0A7B05D6-2482-4426-88F3-0DF11C6FEDC3"
"BBSRC","BB/S004424/2","National Oceanography Centre (WEF011019)","Science and Technology","Research Grant","Schaap","Allison","","http://orcid.org/0000-0001-5391-0516",,,,"","PhytoMOPS: Phytoplankton Morphology and Optical Properties Sensor","01/11/2019","29/09/2021","62735",,,"Closed","Agricultural systems","Environment & Health","Environmental biotechnology","Instrumentation Eng. & Dev.","Water Quality",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/S004424/2","57B22FE6-7CCB-4EB4-805B-CE90F7194768","2512EF1C-401B-4222-9869-A770D4C5FAC7","333FAC7F-030F-4A9C-87FD-78DB66107E58","CF51FAA9-2F82-4EA9-B62D-509D30B62FF8"
"BBSRC","BB/P023150/1","Bangor University","Sch of Natural Sciences","Research Grant","Chadwick","David","Robert","",,,,"","Sustainable futures for the Costa Rica dairy sector: optimising environmental and economic outcomes","30/04/2017","31/01/2020","440064",,,"Closed","Agricultural systems","Climate & Climate Change","GCRF","Soil science","Water Quality",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/P023150/1","213A021A-4751-4166-B1A6-4D0EF9178F83","2512EF1C-401B-4222-9869-A770D4C5FAC7","F9F1D136-12E3-4BE4-9668-0C9BC4A7C1BF","1B87189D-61B7-4AA8-96C4-9F3870A984BE"
"BBSRC","BB/S004424/1","National Oceanography Centre","Science and Technology","Research Grant","Schaap","Allison","","http://orcid.org/0000-0001-5391-0516",,,,"","PhytoMOPS: Phytoplankton Morphology and Optical Properties Sensor","30/09/2018","31/10/2019","114052",,,"Closed","Agricultural systems","Environment & Health","Environmental biotechnology","Instrumentation Eng. & Dev.","Water Quality",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/S004424/1","35B7F714-3D9D-4558-81BA-2EA42F405A46","2512EF1C-401B-4222-9869-A770D4C5FAC7","4DB630C7-7E13-4610-A1C3-29601903CEE3","CF51FAA9-2F82-4EA9-B62D-509D30B62FF8"
"BBSRC","BB/R005842/1","Lancaster University","Lancaster Environment Centre","Research Grant","Withers","Paul","","",,,,"","The role of Phosphorus in the Resilience and Sustainability of the UK food system","30/04/2018","30/03/2022","975756",,,"Closed","Agricultural systems","Earth Resources","Environmental economics","Soil science","Water Quality",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/R005842/1","A4AC812C-9A0B-4B1D-A2E6-E4C1D6D23F49","2512EF1C-401B-4222-9869-A770D4C5FAC7","44160F04-5CBF-4E8E-A6C6-C0EF61A5865C","05821E34-5DC7-428E-844C-7E628828B068"
"BBSRC","BB/R005656/1","University of Leeds","School of Earth and Environment","Research Grant","Martin-Ortega","Julia","","",,,,"","The role of Phosphorus in the Resilience and Sustainability of the UK food system","01/03/2018","31/12/2021","562818",,,"Closed","Agricultural systems","Earth Resources","Environmental economics","Soil science","Water Quality",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/R005656/1","55B611F3-7FFA-4F47-AFF1-E6DB77BA4CDA","2512EF1C-401B-4222-9869-A770D4C5FAC7","83D87776-5958-42AE-889D-B8AECF16B468","63DAD34E-164F-4D12-99CB-DDAB7307715B"
"EPSRC","EP/T015586/1","Royal Holloway, University of London","Physics","Research Grant","Boogert","Stewart","Takashi","",,,,"","PlomBoxear: A Device for Open Source Metrology to Fight Lead Contamination in Drinking Water","30/09/2019","31/12/2021","882085",,,"Active","Chemical Biology","Environmental Geography","GCRF","Part. Phys/Astron. Instrument.","Water Quality",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/T015586/1","BDBBD10D-12FC-416F-834B-58A3091817B1","798CB33D-C79E-4578-83F2-72606407192C","7A0397DD-E0C6-4EA3-8031-B841D2503C4D","367E5581-70C2-4495-95D3-C760A8F5F856"
"ESRC","ES/T003561/1","University of Stirling","Applied Social Science","Research Grant","Swanson","Dalene","","",,,,"","Water and Fire: Enhancing capacity and reducing risk through 15 'Best Bets' for transformative adaptation with vulnerable residents on the Cape Flats","01/11/2019","31/10/2022","914274",,,"Active","Environmental planning","GCRF","Geography and Development","Social policy and Development","Sociology of Education","Water Quality","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/T003561/1","340A37D7-E33D-46DC-9B5C-8ABB0A5614E1","924BE15C-91F2-4AAD-941A-3F338324B6AE","C7510606-A36F-4725-A89B-9D592374972A","FBE1D119-1C2F-4A88-B0A1-F48AFBC913A6"
"ESRC","ES/M011593/1","School of Oriental & African Studies","Ctr for Development Environment & Policy","Research Grant","Smith","Laurence","Edward","",,,,"","Participative governance and collaborative integrated management at catchment scale for sustainable intensification of smallholder family farming.","01/01/2015","30/03/2016","28226",,,"Closed","Economic Development","Environmental planning","Hispanic & Latin American Stud","Nat Resources, Env & Rural Dev","Newton","Water Quality","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/M011593/1","71F49910-F4F4-4BA9-974F-E5EB511ACDE8","924BE15C-91F2-4AAD-941A-3F338324B6AE","427C8A9E-64D8-4940-8911-953B4A177A75","D3813349-5F64-4A5B-AE5C-BCBF4F361A83"
"ESRC","ES/P010857/1","Lancaster University","Lancaster Environment Centre","Research Grant","Semple","Kirk","Taylor","",,,,"","RECIRCULATE: Driving eco-innovation in africa: capacity-building for a safe circular water economy","30/09/2017","30/03/2022","5926058",,,"Active","Agricultural systems","Area & Development Studies","Climate & Climate Change","GCRF","Knowledge Management","Pollution,Water Quality","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/P010857/1","038B2AB0-5CDA-449B-96CA-08EA17ADC7F7","924BE15C-91F2-4AAD-941A-3F338324B6AE","44160F04-5CBF-4E8E-A6C6-C0EF61A5865C","4B401E57-7F8A-4E29-8B78-D08991385E6E"
