"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"EPSRC","EP/T00424X/1","City, University of London","Sch of Engineering and Mathematical Sci","Research Grant","Yan","Shiqiang","","http://orcid.org/0000-0001-8968-6616",,,,"","Extreme Loading on FOWT under Complex Environmental Conditions","31/03/2020","30/03/2023","332158",,,"Active","Aerodynamics","Eng. Dynamics & Tribology","Wind Power","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/T00424X/1","0C57565C-B290-4C73-AA6C-008D810FC391","798CB33D-C79E-4578-83F2-72606407192C","CD35D908-C2AF-4C14-9BC4-519C775CDB6E","5386084A-9ED1-4A82-97B8-8F46F0A7BD57"
"EPSRC","EP/R007497/1","Cranfield University","School of Water, Energy and Environment","Research Grant","Collu","Maurizio","","http://orcid.org/0000-0001-7692-4988",,,,"","Investigation of the novel challenges of an integrated offshore multi-purpose platform","02/07/2017","30/07/2018","766237",,,"Closed","Energy - Marine & Hydropower","Newton","Wind Power","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/R007497/1","93C80699-0BD0-4CF7-8E8C-1F90F258E920","798CB33D-C79E-4578-83F2-72606407192C","F45A4578-F962-4EFA-9CC1-9F2FF4F760AE","C62EBAA6-7579-45D5-9892-589D1E8EA0C5"
"EPSRC","EP/W003732/1","University of Plymouth","Sch of Engineering","Research Grant","Greaves","Deborah","","http://orcid.org/0000-0003-3906-9630",,,,"","High efficiency reversible solid oxide cells for the integration of offshore renewable energy using hydrogen","31/03/2022","30/03/2025","288304",,,"Active","Energy - Marine & Hydropower","Energy Efficiency","Sustainable Energy Networks","Sustainable Energy Vectors","Wind Power",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/W003732/1","E171BC66-9CAD-41FD-A5F0-49BCDF0B19B2","798CB33D-C79E-4578-83F2-72606407192C","7801F008-7C77-45E7-90E9-4345B47D138E","A7C25F8B-21DA-472E-9A69-BEF0996F89CE"
"EPSRC","EP/S017224/1","University of Manchester","Electrical and Electronic Engineering","Research Grant","ZHANG","LONG","","http://orcid.org/0000-0001-7877-7993",,,,"","Development and demonstration of methods and tools for large scale wind turbine pitch bearing condition assessment (DemoBearing)","28/05/2019","31/12/2021","169123",,,"Active","Wind Power","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S017224/1","60790130-EDE5-4DBF-89B5-6DBAF1B0B274","798CB33D-C79E-4578-83F2-72606407192C","68D0E3C9-9246-4CFC-B5E9-48584CF82993","4708EA36-0DC7-42CD-A611-FF1A11498DD0"
"EPSRC","EP/W001071/1","University of Brighton","Sch of Environment and Technology","Research Grant","Tombari","Alessandro","","http://orcid.org/0000-0001-8218-7400",,,,"","STRUCTURAL LIFE-CYCLE ENHANCEMENT OF NEXT-GENERATION ONSHORE AND OFFSHORE WIND FARMS","31/08/2021","29/02/2024","220947",,,"Active","Ground Engineering","Structural Engineering","Wind Power","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/W001071/1","BA3DAF75-FBC3-4936-9362-0DD84968A9FF","798CB33D-C79E-4578-83F2-72606407192C","5904176C-7486-4E2B-959A-94C29ADE4D96","CBDF7077-C751-4D07-B747-493955D0315F"
"EPSRC","EP/G003734/1","University of Salford","Unlisted","Research Grant","von Hunerbein","Sabine Uta Maria","","",,,,"","ADVANCED SIGNAL PROCESSING METHODS APPLIED TO ACOUSTIC WIND PROFILING FOR USE IN WIND FARM ASSESSMENT","05/01/2009","03/07/2012","326260",,,"Closed","Acoustics","Digital Signal Processing","Wind Power","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G003734/1","4C9EBF1F-1BCC-4F49-A374-326CE6B67FBB","798CB33D-C79E-4578-83F2-72606407192C","ED6ACD61-0140-4C05-B93D-2C6A42CA753B","70316AEE-3065-4821-B3F5-8744897A0BA0"
"EPSRC","EP/F001614/1","University of Edinburgh","Sch of Chemistry","Other Grant","Stevenson","Elizabeth","","",,,,"","The Renewable Energy Roadshow!","02/09/2007","01/05/2009","109732",,,"Closed","Energy - Marine & Hydropower","Solar Technology","Wind Power","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F001614/1","58021E57-2DE8-4992-A97F-6ACDDD591547","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","BC969F2B-1428-494D-916E-CCD7D0AA667A"
"EPSRC","EP/K029940/1","University of Cambridge","Engineering","Research Grant","Coombs","Timothy","Arthur","",,,,"","Superconducting fault current limiter to enable grid integration of wind power","01/01/2014","29/04/2017","282013",,,"Closed","Sustainable Energy Networks","Wind Power","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K029940/1","ECC79B75-4F56-4D79-92F2-AF6D65A6163C","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","3926464C-CFB3-400B-B414-02EEAAE99B42"
"EPSRC","EP/P019250/1","University of Oxford","Engineering Science","Research Grant","Chana","Kamaljit Singh","","",,,,"","Transmission heAlth Monitoring (TAM)","30/09/2016","30/03/2018","100997",,,"Closed","Instrumentation Eng. & Dev.","Wind Power","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P019250/1","C3C345AF-24DC-451E-B188-C0B6C0A3BEB5","798CB33D-C79E-4578-83F2-72606407192C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","F4F6569F-9D95-485B-9358-CFF7227705A3"
"EPSRC","EP/E058051/1","University of Sheffield","Mechanical Engineering","Research Grant","Tomlinson","Geof","","",,,,"","Energy project officer","17/06/2007","16/06/2009","80190",,,"Closed","Bioenergy","Coal Technology","Combustion","Electric Motor & Drive Systems","Energy - Conventional","Energy - Marine & Hydropower,Energy - Nuclear,Energy Efficiency,Energy Storage,Fuel Cell Technologies,Fusion,Heat & Mass Transfer,Mining & Minerals Extraction,Oil & Gas Extraction,Power Electronics,Power Sys Man, Prot & Control,Power Systems Plant,Solar Technology,Sustainable Energy Networks,Sustainable Energy Vectors,Wind Power","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/E058051/1","F5D6A81A-0C51-4D23-B352-F6168DC14D9C","798CB33D-C79E-4578-83F2-72606407192C","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","179D1E5B-77B7-468F-B798-459CF476C9CC"
