"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Description","Type of Art","Year Produced","Impact","Url","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"NERC","NE/R013489/1","Fellowship","Artistic and Creative Products","Lancaster University","Lancaster Environment Centre","Armstrong","Alona","","Sustainable energy transition","7 min professionally made film on energy -ecosystems. Features:
Chris Stark, CEO, Climate Change Committee
Prof Kathy Willis, Prof at University of Oxford and Natural Capital Committee
Chris Hewlett, Chief Exec, Solar Energy UK","Film/Video/Animation","2021","To early to quantify impacts.","https://www.youtube.com/watch?v=HtUJJ7yRMOo&feature=youtu.be","604511591e0869.72271957","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=604511591e0869.72271957&grantRef=NE%2FR013489%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/R013489/1","FCF34E04-C157-4FC3-8BFC-655A7C9CA3BB","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","44160F04-5CBF-4E8E-A6C6-C0EF61A5865C","B1BF97D5-29C4-46D9-9CBF-364C6A625D63"
"NERC","NE/N016912/1","Research Grant","Artistic and Creative Products","University of York","Environment","White","Piran","","Sustainable energy transition","7 min professionally made film on energy -ecosystems. Features:
Chris Stark, CEO, Climate Change Committee
Prof Kathy Willis, Prof at University of Oxford and Natural Capital Committee
Chris Hewlett, Chief Exec, Solar Energy UK","Film/Video/Animation","2021","To early to quantify impacts.","https://www.youtube.com/watch?v=HtUJJ7yRMOo&feature=youtu.be","604511591e0869.72271957","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=604511591e0869.72271957&grantRef=NE%2FN016912%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/N016912/1","251D1E8A-B2FD-4E7F-80A7-6F5F67DD4256","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","8319F78A-DCBD-49F6-BE00-78E1CD75CDA9","F799D730-5009-4C42-BA92-37BBCE88EB5A"
"NERC","NE/R009449/1","Research Grant","Artistic and Creative Products","Lancaster University","Lancaster Environment Centre","Armstrong","Alona","","Sustainable energy transition","7 min professionally made film on energy -ecosystems. Features:
Chris Stark, CEO, Climate Change Committee
Prof Kathy Willis, Prof at University of Oxford and Natural Capital Committee
Chris Hewlett, Chief Exec, Solar Energy UK","Film/Video/Animation","2021","To early to quantify impacts.","https://www.youtube.com/watch?v=HtUJJ7yRMOo&feature=youtu.be","604511591e0869.72271957","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=604511591e0869.72271957&grantRef=NE%2FR009449%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/R009449/1","93609D64-6B8B-44A7-B639-043BAC4FC817","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","44160F04-5CBF-4E8E-A6C6-C0EF61A5865C","B1BF97D5-29C4-46D9-9CBF-364C6A625D63"
"NERC","NE/N016955/1","Research Grant","Artistic and Creative Products","Lancaster University","Lancaster Environment Centre","Armstrong","Alona","","Sustainable energy transition","7 min professionally made film on energy -ecosystems. Features:
Chris Stark, CEO, Climate Change Committee
Prof Kathy Willis, Prof at University of Oxford and Natural Capital Committee
Chris Hewlett, Chief Exec, Solar Energy UK","Film/Video/Animation","2021","To early to quantify impacts.","https://www.youtube.com/watch?v=HtUJJ7yRMOo&feature=youtu.be","604511591e0869.72271957","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=604511591e0869.72271957&grantRef=NE%2FN016955%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/N016955/1","631098F4-451F-4C74-BCC7-C41C2AFF804A","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","44160F04-5CBF-4E8E-A6C6-C0EF61A5865C","B1BF97D5-29C4-46D9-9CBF-364C6A625D63"
"NERC","pml010009","Other Grant","Artistic and Creative Products","Plymouth Marine Laboratory",,"Allen","Icarus","","Ocean acidification animation","A new animation on ocean acidification, entitled &quot;Oceans in Peril&quot; was recently launched, produced by students at the University of the West of England, supported by Falmouth University and the Shark and Coral Conservation Trust with PML providing scientific guidance.","Film/Video/Animation","2014","This video will have helped to increase knowledge and understanding in the field of ocean acidification, making the causes and challenges of acidification easily accessible and simple to understand.","https://www.youtube.com/watch?v=bJOY50wbixQ","54636c259d2950.69425636","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=54636c259d2950.69425636&grantRef=pml010009","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=pml010009","948A5562-6BE1-48FE-B392-64D39C010339","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","EEF9EA95-341D-48C2-8A68-B838D35497C8","7300F58C-5309-42D5-A146-F806C5FA7814"
"ESRC","ES/S013547/1","Research Grant","Artistic and Creative Products","De Montfort University","Institute of Energy and Sustainable Dev","Bhattacharyya","Subhes","http://orcid.org/0000-0002-1196-496X","2020-03- Integration of sustainable development goals in climate action plans in the city of Glasgow","This presentation discusses a sustainability assessment of Glasgow city in terms of environmental, social, and economic quality aspects as well as greenhouse gas emissions using an available sustainability assessment tool. The performed sustainability analysis using the CASBEE-City assessment tool. Results of the analysis are discussed.",,"2021",,"https://figshare.dmu.ac.uk/articles/presentation/2020-03-_Integration_of_sustainable_development_goals_in_climate_action_plans_in_the_city_of_Glasgow/14134796","61ebf0a82a3817.13621047","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=61ebf0a82a3817.13621047&grantRef=ES%2FS013547%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/S013547/1","C457E6E1-5A81-4922-B05F-39F1E917317A","924BE15C-91F2-4AAD-941A-3F338324B6AE","DF259B19-FD17-4588-BFEF-AD08F1193451","9CCF9567-8CCB-4431-A06F-7298F78563B4"
"ESRC","ES/S013547/1","Research Grant","Artistic and Creative Products","De Montfort University","Institute of Energy and Sustainable Dev","Bhattacharyya","Subhes","http://orcid.org/0000-0002-1196-496X","2020-03- Integration of sustainable development goals in climate action plans in the city of Glasgow","This presentation discusses a sustainability assessment of Glasgow city in terms of environmental, social, and economic quality aspects as well as greenhouse gas emissions using an available sustainability assessment tool. The performed sustainability analysis using the CASBEE-City assessment tool. Results of the analysis are discussed.",,"2021",,"https://figshare.dmu.ac.uk/articles/presentation/2020-03-_Integration_of_sustainable_development_goals_in_climate_action_plans_in_the_city_of_Glasgow/14134796/1","61ebf0ab704490.52700678","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=61ebf0ab704490.52700678&grantRef=ES%2FS013547%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/S013547/1","C457E6E1-5A81-4922-B05F-39F1E917317A","924BE15C-91F2-4AAD-941A-3F338324B6AE","DF259B19-FD17-4588-BFEF-AD08F1193451","9CCF9567-8CCB-4431-A06F-7298F78563B4"
"NERC","NE/R002649/1","Fellowship","Artistic and Creative Products","University of Oxford","Zoology","Seddon","Nathalie","","Communicating the importance of nature-based solutions to climate change","We have created a beautiful animation to communicate the importance of nature-based solutions to climate change to the general public. It will be used in workshops with stakeholders (e.g. in Bangladesh in May, and at the UNFCCC SB48 meeting in Bonn in May), part of public lectures (e.g. Plymouth Linnaen Society in June), part of undergraduate lectures and at schools, and will be promoted as part of the launch of the nature-based solutions initiative later this year.","Film/Video/Animation","2018","None yet, as the work has not yet been released.",,"5aa7ddad703fd4.64850877","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=5aa7ddad703fd4.64850877&grantRef=NE%2FR002649%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/R002649/1","B9E49242-9CAF-4E2B-98B5-23561D0EDEDA","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","B72BD448-E0DE-415B-9C48-6E108BE4BC25"
"UKRI","MR/S015299/1","Fellowship","Artistic and Creative Products","University of Leeds","Sch of Geography","McQuaid","Katie","http://orcid.org/0000-0003-4919-2958","Sustainable building in response to climate change and gender (in)justice in the city by DOREEN ARINAITWE","The impacts of climate change; poverty plays a major role. Due to the living conditions of the poor, they are often more exposed to hazards, and have fewer options to avoid, or cope with the impacts. As, according to UNDP, more than 70 per cent of the world's poor are female, the share of women among the most vulnerable is dis-proportionably high. Moreover, there are additional factors indicating that vulnerability involves heavy gender differentials that need to be taken into consideration.
At the local level, a range of inequalities and injustices are directly apparent and tangible. In most cities around the world, the divide between the privileged and underprivileged is as large as
the global divide between developed and least developed countries. While a small proportion of citizens claim the major share of land for housing, mobility and recreation, the majority of others are crowded together in slums yet the carbon footprint is mostly caused by the rich with luxurious houses building with concrete and other materials that emit carbon in the air. The size of the carbon footprints of different citizens ranges from very large to virtually zero. The poorest groups, such as slum dwellers, usually have the smallest carbon footprint, and, moreover, they often live in areas most exposed to climate hazards, such as landslide or flood prone areas.
These inequalities are related to income, class, age, race, ethnicity, health status, etc. Within all this inequalities, gender leads to a further differentiation, and in most cases, leads to different impacts of climate change on women and men. Within low-income populations, women often have particular vulnerabilities as a result of gender-related inequalities.
Vulnerability depends on exposure to the negative effects of climate variability, and the capacity to avoid these effects or cope with them. This capacity depends on income, assets, education and knowledge, and here again, there is a gender bias all over the world, and women have lower incomes.
In some countries facing constraints due to cultural patterns and norms, women are responsible for the bulk of unpaid care work. They are responsible for climatically sensitive tasks such as securing food, water and energy which ensures the well-being of a household. When climate related disasters strike the poorest families living in slums, the workload for women and girls increases and they tend to miss out on opportunities.
The effects of climate change such as drought and floods and rising temperatures in the city put greater pressure on women to shoulder the adverse consequences on the household.
The building construction industry too is mostly dominated by men; therefore women have a lower chance of creating solutions to climate change problems that affect them.
The Project
Deriving inspiration from the Northern Ugandan People's way of construction, where families construct their hats next to each other and using mad, I created a modern house with circles inter-connecting with each other from one space to another.
The material and technique used for this sample house is rammed earth (same material that was used to construct the great wall of china, still standing strong) which is stronger, faster, cheaper and more aesthetically pleasing than concrete buildings. Concrete is the most commonly used material in cities yet the most destructive. As a material that creates the majority of the world's bridges, roads, dams, and construction, concrete releases an extreme amount CO2 each year, has a way shorter life span than rammed earth and cannot be recycles. It's the highest consumed product on earth besides water. Until the overall emissions are cut worldwide, the environment will continue to be polluted with over 4 billion tons of carbon dioxide annually due to this industry. Rammed earth walls are constructed by the compacting (ramming) of moistened subsoil into place between temporary formwork panels. When dried, the result is a dense, hard monolithic wall. A vernacular green building material as well as in more recent 'Eco houses', rammed earth is an ancient form of construction. There remain plentiful examples of the form around the world, evidence that rammed earth is a successful and durable way of building. A few historical rammed earth buildings are to be found in the UK. The green roof on the house has many benefits at economic, ecological and societal levels. A green roof provides ? a rainwater buffer ? purifies the air ? reduces the ambient temperature ? regulates the indoor temperature ? saves energy ? and encourages biodiversity in the city. Green roofs are part of climate-proof construction. Therefore; addressing climate change issues through building and construction will improve on the environment and peoples well-being thus women will be affected less or not at all by the effects of climate change.","Artwork","2021","Building a creative community of practice around climate actions and sustainable architecture in Uganda",,"62286223557f88.44512412","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=62286223557f88.44512412&grantRef=MR%2FS015299%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/S015299/1","C07ABA12-38CD-4110-87F4-80C176EC5254","5807F429-7BF0-4E42-917E-D4ADF5399E7B","83D87776-5958-42AE-889D-B8AECF16B468","EECFB85C-8835-4446-A089-B5E71DA0F278"
"BBSRC","BB/P028098/1","Research Grant","Artistic and Creative Products","Earlham Institute","Research Faculty","Di Palma","Federica","","Videos from the training ""workshop methods and tools for biodiversity and ecosystem services valuation and management""","We developed 8 videos from each of the talks presented during the training workshop (Sep 2019). This is going to be a training material available for participants and non participants. The videos have spanish and english translation. The video topics are: environmental and ecological economics, natural capital and ecosystems services, economic valuation (price vs. value), economic valuation in Colombia, cost-benefit analysis in the real world, policy of environmental decision making (the balance sheet approach), pricing methods and production function, revealed preference methods, state preference methods (contingent valuation and choice experiments).","Film/Video/Animation","2020","The videos and all the workshop materials will be available online for any person interested in the basics of economic valuation of biodiversity and ecosystem services, and different tools and methods.",,"5e5d37d9b37429.06190384","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=5e5d37d9b37429.06190384&grantRef=BB%2FP028098%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/P028098/1","7C4103F1-1B40-4C05-BFA6-FA4B425D03E6","2512EF1C-401B-4222-9869-A770D4C5FAC7","B7B056A3-95CE-4F90-9F31-708B4612610D","7265F3F7-8FCD-4CF8-99E4-1845378E40ED"
