"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Description","Further Funding Org","Further Funding Dept","Sector","Country","Currency","Amount","Fund Start Date","Fund End Date","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"EPSRC","EP/P001173/1","Research Grant","Further Funding","Newcastle University","Sch of Engineering","Walker","Sara","http://orcid.org/0000-0002-2653-7792","BF2RA (Biomass & Fossil Fuel Research Alliance) - Energy storage for large biomass plant flexibility","BF2RA",,"Charity/Non Profit","United Kingdom","GBP","47000.0","08/2019","09/2022","603e80137459a1.78318056","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=603e80137459a1.78318056&grantRef=EP%2FP001173%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P001173/1","B311F68F-09E5-46D9-8CA5-1B6959BAF4B5","798CB33D-C79E-4578-83F2-72606407192C","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","641DCB26-9511-4E33-ABD7-85E2F24B9698"
"EPSRC","EP/N001745/1","Research Grant","Further Funding","University of Leeds","Chemical and Process Engineering","Taylor","Peter","","BF2RA (Biomass & Fossil Fuel Research Alliance) - Energy storage for large biomass plant flexibility","BF2RA",,"Charity/Non Profit","United Kingdom","GBP","47000.0","08/2019","09/2022","603e80137459a1.78318056","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=603e80137459a1.78318056&grantRef=EP%2FN001745%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/N001745/1","6E40E71E-451A-436B-8890-B3D7326F2C0B","798CB33D-C79E-4578-83F2-72606407192C","83D87776-5958-42AE-889D-B8AECF16B468","3D1F2DC2-1939-49AE-AAF0-573F6DE5FBA7"
"EPSRC","EP/I004882/1","Fellowship","Further Funding","University of Surrey","Chemistry","Varcoe","John","","Multidisciplinary research into linking renewable energy with utilising atmospheric carbon dioxide and with water desalination","Engineering and Physical Sciences Research Council (EPSRC)",,"Public","United Kingdom","GBP","232943.0","03/2012","03/2014","5ed82c345ed82c48","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=5ed82c345ed82c48&grantRef=EP%2FI004882%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I004882/1","F96166FC-C1C8-4AAA-B5DE-855840E4DF1E","798CB33D-C79E-4578-83F2-72606407192C","67B34D05-3A52-4A09-8FF9-F2398D60E246","46E56FEE-12E5-4CB8-959E-B088C372FC3B"
"EPSRC","EP/F027524/1","Research Grant","Further Funding","University of Surrey","Chemistry","Varcoe","John","","Multidisciplinary research into linking renewable energy with utilising atmospheric carbon dioxide and with water desalination","Engineering and Physical Sciences Research Council (EPSRC)",,"Public","United Kingdom","GBP","1200000.0","08/2010","12/2015","54413942243691.38925772","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=54413942243691.38925772&grantRef=EP%2FF027524%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F027524/1","B53C71C9-4EE8-413A-A41C-B1359A32CCD0","798CB33D-C79E-4578-83F2-72606407192C","67B34D05-3A52-4A09-8FF9-F2398D60E246","46E56FEE-12E5-4CB8-959E-B088C372FC3B"
"EPSRC","EP/H025340/1","Research Grant","Further Funding","University of Surrey","Chemistry","Varcoe","John","","Multidisciplinary research into linking renewable energy with utilising atmospheric carbon dioxide and with water desalination","Engineering and Physical Sciences Research Council (EPSRC)",,"Public","United Kingdom","GBP","1200000.0","08/2010","12/2015","54413942243691.38925772","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=54413942243691.38925772&grantRef=EP%2FH025340%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/H025340/1","992BC650-52BF-4A9C-B0E1-5FF62E14ACD9","798CB33D-C79E-4578-83F2-72606407192C","67B34D05-3A52-4A09-8FF9-F2398D60E246","46E56FEE-12E5-4CB8-959E-B088C372FC3B"
"NERC","NE/S008926/1","Research Grant","Further Funding","Newcastle University","Geography Politics and Sociology","Large","Andrew","","Newton BhaBha Fund: Building Ecological Resilience in Vulnerable Mangroves of the Indian Sundarbans: Sustainable and Equitable Management of Biodiversity and Ecosystem Services in the era of Climate Change","British Council",,"Charity/Non Profit","United Kingdom","GBP","35000.0","08/2021","09/2021","603fc0dc753611.80114655","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=603fc0dc753611.80114655&grantRef=NE%2FS008926%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/S008926/1","4DA40D6F-0474-4FE9-B96C-8EF2C3158362","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","6BF200ED-3EB4-4E7A-9209-B2D9DA4F8C13"
"NERC","NE/J014710/1","Research Grant","Further Funding","Cranfield University","School of Water, Energy and Environment","Graves","Anil","","Biodiversity and Ecosystem Services Sustainability (BESS) research studentships","Natural Environment Research Council",,"Public","United Kingdom","GBP","66463.0","02/2013","02/2016","5457bb35552171.48313081","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=5457bb35552171.48313081&grantRef=NE%2FJ014710%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/J014710/1","E926E096-3559-44B7-B1A5-5A2421D989C3","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","F45A4578-F962-4EFA-9CC1-9F2FF4F760AE","811C3155-9451-4387-B6F9-EEDE0417EBEB"
"NERC","NE/J014710/1","Research Grant","Further Funding","Cranfield University","School of Water, Energy and Environment","Graves","Anil","","Biodiversity and Ecosystem Services Sustainability (BESS) working groups and workshops","Natural Environment Research Council",,"Public","United Kingdom","GBP","7164.0","09/2013","03/2014","5451177a1f1002.21494150","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=5451177a1f1002.21494150&grantRef=NE%2FJ014710%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/J014710/1","E926E096-3559-44B7-B1A5-5A2421D989C3","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","F45A4578-F962-4EFA-9CC1-9F2FF4F760AE","811C3155-9451-4387-B6F9-EEDE0417EBEB"
"EPSRC","EP/G062374/1","Research Grant","Further Funding","University of Sheffield","Chemical & Biological Engineering","Sharifi","V","","Biomass and Fossil Fuel research Allianc","Biomass and Fossil Fuel Research Alliance",,"Charity/Non Profit","United Kingdom","GBP","24000.0","09/2011","12/2014","5ebd530a5ebd531e","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=5ebd530a5ebd531e&grantRef=EP%2FG062374%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G062374/1","EF887DB6-F13C-40F8-A1CF-EC5C10EB0A18","798CB33D-C79E-4578-83F2-72606407192C","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","B5F18673-431C-481D-8761-D1CAF12AFC81"
"NERC","NE/J014745/1","Research Grant","Further Funding","Aberystwyth University","IBERS","Christie","Mike","","Irish EPA - Water Research Call 2014 - theme 2 Ecosystem services and sustainability","Government of Ireland","Environmental Protection Agency (EPA)","Public","Ireland","EUR","417828.0","01/2015","12/2017","54649848f42020.55809910","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=54649848f42020.55809910&grantRef=NE%2FJ014745%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/J014745/1","D493CEA7-45FF-40BE-948A-5DC193D10E53","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","E4757A6E-7326-472B-9979-B47D77A65446","8D876934-0220-4838-9A83-C8DC9287842C"
"EPSRC","EP/G057133/1","Research Grant","Further Funding","University of Sheffield","Chemical & Biological Engineering","Sharifi","V","","Biomass and Fossil Fuel research Allianc","Biomass and Fossil Fuel Research Alliance",,"Charity/Non Profit","United Kingdom","GBP","24000.0","01/2012","12/2014","r-3525865872.880318606872db4","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=r-3525865872.880318606872db4&grantRef=EP%2FG057133%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G057133/1","D126E1EC-D012-42DB-B0F1-ABC670A99EC5","798CB33D-C79E-4578-83F2-72606407192C","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","B5F18673-431C-481D-8761-D1CAF12AFC81"
"EPSRC","EP/G063214/1","Research Grant","Further Funding","University of Kent","Sch of Engineering & Digital Arts","Yan","Yong","http://orcid.org/0000-0001-7135-5456","Biomass and Fossil Fuel Research Alliance (BF2RA)","Biomass and Fossil Fuel Research Alliance",,"Charity/Non Profit","United Kingdom","GBP","40000.0","09/2015","09/2018","56d5798030b6e5.20040524","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=furtherfunding&outcomeId=56d5798030b6e5.20040524&grantRef=EP%2FG063214%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G063214/1","C6CC598B-440F-4DEB-94CA-CB78FDE07D8E","798CB33D-C79E-4578-83F2-72606407192C","C6D0044A-2CD2-4167-B90B-922AF53E361F","73B8F94F-FF0C-4751-8836-5907A4F86C50"
