"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Description","Protection","IP Reference","Year Protection Granted","Licensed?","Impact","Url","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"NERC","NE/L014246/1","Research Grant","Intellectual Property","University of Surrey","Centre for Environment & Sustainability","Sadhukhan","Jhuma","","The University of Surrey's licensed software TESARREC","The University of Surrey Team invents: TESARREC™ UK Trademark: UK00003321198 includes Goods and Services under the Class: 9, 40 and 42. A few of this exhaustive list include: Computer software for use in evaluating the economic, environmental, social and policy implications of organic compounds productions from waste; Computer software for use in accessing datasets of metal and organic pollutant concentrations in residential, municipal and industrial wastewater streams; Computer software for use in optimising the operational, economic and environmental performances of biorefinery processes and resource recovery technologies.","Trade Mark",,"2020","Yes","TESARREC™ can outperform much proprietary software in this space which costs several grand. By being non-profit open-source, less wealthy organizations and countries can participate in this critical research to net-zero circular economies. They can readily deploy bioenergy-biorefinery-bioeconomy modules for systemic sustainability evaluations. TESARREC™ can be used to develop and evaluate renewable and biorefinery technologies with carbon capture and sequestration. There are several best practices inherent to TESARREC™, quality control through peer-reviewed modules, and consensus-building in technological innovations. The new features of TESARREC™ are of particular interest to stakeholders (designers, practitioners, policy-makers): 1) mathematical models of renewable and biomass transformation units 2) readily deployable bioenergy, biorefinery and bioeconomy modules, 3) life cycle sustainability assessment to quantitatively analyse sustainability trilemma. With several thousand unique users, TESARREC™ offers in-built standardised modules of biorefinery systems for biofuel, green hydrogen, chemical and energy co-productions. Its expanded capability can attract the broadest range of users, industries, businesses, government, non-governmental and research organisations. The project is especially timely because the atmospheric CO2 level is increasing and the organisations need to jump-start their environmental, social and governance performances. Thus, it is essential to invest in the effective TESARREC™ tool to manage resource scarcity and increasing demand for net-zero transitioning",,"5fc20ec1a39731.80928086","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5fc20ec1a39731.80928086&grantRef=NE%2FL014246%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/L014246/1","B45DB07A-A707-4005-A8ED-D1F564C28853","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","67B34D05-3A52-4A09-8FF9-F2398D60E246","989E82E7-7E33-4A80-99D4-57158703E3C1"
"EPSRC","EP/N009746/1","Research Grant","Intellectual Property","Newcastle University","Sch of Engineering","Yu","Eileen","http://orcid.org/0000-0002-6872-975X","The University of Surrey's licensed software TESARREC","The University of Surrey Team invents: TESARREC™ UK Trademark: UK00003321198 includes Goods and Services under the Class: 9, 40 and 42. A few of this exhaustive list include: Computer software for use in evaluating the economic, environmental, social and policy implications of organic compounds productions from waste; Computer software for use in accessing datasets of metal and organic pollutant concentrations in residential, municipal and industrial wastewater streams; Computer software for use in optimising the operational, economic and environmental performances of biorefinery processes and resource recovery technologies.","Trade Mark",,"2020","Yes","TESARREC™ can outperform much proprietary software in this space which costs several grand. By being non-profit open-source, less wealthy organizations and countries can participate in this critical research to net-zero circular economies. They can readily deploy bioenergy-biorefinery-bioeconomy modules for systemic sustainability evaluations. TESARREC™ can be used to develop and evaluate renewable and biorefinery technologies with carbon capture and sequestration. There are several best practices inherent to TESARREC™, quality control through peer-reviewed modules, and consensus-building in technological innovations. The new features of TESARREC™ are of particular interest to stakeholders (designers, practitioners, policy-makers): 1) mathematical models of renewable and biomass transformation units 2) readily deployable bioenergy, biorefinery and bioeconomy modules, 3) life cycle sustainability assessment to quantitatively analyse sustainability trilemma. With several thousand unique users, TESARREC™ offers in-built standardised modules of biorefinery systems for biofuel, green hydrogen, chemical and energy co-productions. Its expanded capability can attract the broadest range of users, industries, businesses, government, non-governmental and research organisations. The project is especially timely because the atmospheric CO2 level is increasing and the organisations need to jump-start their environmental, social and governance performances. Thus, it is essential to invest in the effective TESARREC™ tool to manage resource scarcity and increasing demand for net-zero transitioning",,"5fc20ec1a39731.80928086","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5fc20ec1a39731.80928086&grantRef=EP%2FN009746%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/N009746/1","09120C40-14CF-44BF-BDC9-632E956A043C","798CB33D-C79E-4578-83F2-72606407192C","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","858A3AF3-4E29-4BCE-BBD0-D234CDC525CE"
"NERC","NE/R013306/1","Fellowship","Intellectual Property","University of Surrey","Chemical Engineering","Gadkari","Siddharth","http://orcid.org/0000-0001-5228-8534","TESARREC","TESARREC™ (Tool for techno-economic and sustainability analysis of resource recovery technologies for Circular economy) developed as an offshoot of our ongoing projects helps to address the challenges of sustainable development of technical systems at the human-environment interface for a circular economy.","Copyrighted (e.g. software)",,"2018","No","Our team has received sub-contract from a US organisation to study the sustainability of their chemical plant using TESARREC™.",,"5e3ea1d0701e39.88441300","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5e3ea1d0701e39.88441300&grantRef=NE%2FR013306%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/R013306/1","50DE883C-F3A7-42ED-B6A3-2C58D5CBEC44","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","67B34D05-3A52-4A09-8FF9-F2398D60E246","E4598407-7D40-4788-834B-473DD887C2EE"
"MRC","G113/18","Fellowship","Intellectual Property","University of Dundee","Unlisted","Stavridis","Marios","","Sustained Erk","Discovered that mouse ES cell differentiation requires sustained activation of Erk1/2 MAPKinase","Protection not required",,"","No","Publication Stavridis et al 2007",,"4F76FE6C056","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=4F76FE6C056&grantRef=G113%2F18","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=G113/18","12F82C2E-74AB-45B3-9E00-D3DE7BA2C963","C008C651-F5B0-4859-A334-5F574AB6B57C","90051600-6EF2-4093-BA8C-2B4B6F550895","1A9D0AB7-E1B3-4BC0-A53F-CDEB40F8206A"
"NERC","NE/N016955/1","Research Grant","Intellectual Property","Lancaster University","Lancaster Environment Centre","Armstrong","Alona","","Solar Park Impacts on Ecosystem Services Decision Support Tool (SPIES DST)","We (Lancaster University and University of York) have claimed the copyright for the solar park impacts in ecosystem services (SPIES) decision support tool (DST), with SimOmics, the company paid to develop a web-based version of the DST, claiming the copyright for that aspect.","Copyrighted (e.g. software)",,"2018","No","None as yet",,"5c84f6b4043d27.57917877","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5c84f6b4043d27.57917877&grantRef=NE%2FN016955%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/N016955/1","631098F4-451F-4C74-BCC7-C41C2AFF804A","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","44160F04-5CBF-4E8E-A6C6-C0EF61A5865C","B1BF97D5-29C4-46D9-9CBF-364C6A625D63"
"NERC","NE/R009449/1","Research Grant","Intellectual Property","Lancaster University","Lancaster Environment Centre","Armstrong","Alona","","Solar Park Impacts on Ecosystem Services Decision Support Tool (SPIES DST)","We (Lancaster University and University of York) have claimed the copyright for the solar park impacts in ecosystem services (SPIES) decision support tool (DST), with SimOmics, the company paid to develop a web-based version of the DST, claiming the copyright for that aspect.","Copyrighted (e.g. software)",,"2018","No","None as yet",,"5c84f6b4043d27.57917877","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5c84f6b4043d27.57917877&grantRef=NE%2FR009449%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/R009449/1","93609D64-6B8B-44A7-B639-043BAC4FC817","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","44160F04-5CBF-4E8E-A6C6-C0EF61A5865C","B1BF97D5-29C4-46D9-9CBF-364C6A625D63"
"BBSRC","BB/G023581/2","Fellowship","Intellectual Property","University of Nottingham","Div of Process and Environmental Eng","Stephens","Gillian","","A PROCESS FOR PRODUCTION OF METHACRYLIC ACID AND DERIVATIVES THEREOF","The present invention provides a process for the biological production of the key industrial chemical methacrylic acid and various derivatives thereof including methyl methacrylate. The method comprises using biological pathways to produce mesaconic acid or citraconic acid or citramalic acid, which acids are then decarboxylated to produce methacrylic acid. The acids are substantially non-toxic to cells allowing a viable biobased route to key monomers to be realised. Therefore the invention potentially alleviates the problem of using fossil fuel resources in that it provides an alternative method to form methacrylic acid.","Patent application published","WO2015022496","2015","No","None yet",,"58c2f1275323d0.09206191","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=58c2f1275323d0.09206191&grantRef=BB%2FG023581%2F2","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/G023581/2","4D32DAC5-4469-4137-A9D9-8F464D5F7D9C","2512EF1C-401B-4222-9869-A770D4C5FAC7","936D002F-A8D1-4A93-AE5D-825ED0903D8D","D5488AA4-57C7-4C4B-82D2-8DFFC459C522"
"BBSRC","BB/G023581/1","Fellowship","Intellectual Property","University of Manchester","Chem Eng and Analytical Science","Stephens","Gillian","","A PROCESS FOR PRODUCTION OF METHACRYLIC ACID AND DERIVATIVES THEREOF","The present invention provides a process for the biological production of the key industrial chemical methacrylic acid and various derivatives thereof including methyl methacrylate. The method comprises using biological pathways to produce mesaconic acid or citraconic acid or citramalic acid, which acids are then decarboxylated to produce methacrylic acid. The acids are substantially non-toxic to cells allowing a viable biobased route to key monomers to be realised. Therefore the invention potentially alleviates the problem of using fossil fuel resources in that it provides an alternative method to form methacrylic acid.","Patent application published","WO2015022496","2015","No","None yet",,"58c2f1275323d0.09206191","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=58c2f1275323d0.09206191&grantRef=BB%2FG023581%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/G023581/1","D3923BE2-5A19-4757-B57B-D69E5DD974C0","2512EF1C-401B-4222-9869-A770D4C5FAC7","68D0E3C9-9246-4CFC-B5E9-48584CF82993","D5488AA4-57C7-4C4B-82D2-8DFFC459C522"
"BBSRC","BB/N023838/1","Research Grant","Intellectual Property","University of Exeter","Biosciences","Littlechild","Jennifer","http://orcid.org/0000-0002-7649-3986","DETERGENT COMPOSITIONS WITH LIPASE AND BIOSURFACTANT","Compositions comprising lipases and biosurfactants, especially psychrophilic lipases and biosurfactants.","Patent granted","WO2017036902","2017","No","Not at the moment but being incorporated into new detergent formulation at Unilever. Using cold sensitive enzyme for washing at reduced temperature for energy conservation. Sustainable use of enzymes rather than chemicals.",,"5aa94b9b475cd5.79509399","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5aa94b9b475cd5.79509399&grantRef=BB%2FN023838%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/N023838/1","0D030AC2-A1E8-4C87-A618-92961BC61750","2512EF1C-401B-4222-9869-A770D4C5FAC7","961756BF-E31F-4A13-836F-0A09BA02385C","197C7611-B3DA-4F60-819E-12C4A44D7D0A"
"EPSRC","EP/M008088/1","Research Grant","Intellectual Property","Newcastle University","Sch of Engineering","Roskilly","Anthony Paul","","ENERGY STORAGE SYSTEM","There is disclosed an energy storage system. In particular, there is disclosed a chemisorption based energy storage system, able to provide electricity, heating or cooling depending on the desired energy output. The energy storage system includes a first chemical reactor containing a first sorbent material and a second chemical reactor containing a second sorbent material. The first and second chemical reactors are in mutual fluid connection such that a refrigerant fluid can flow from the first chemical reactor to the second chemical reactor, and from the second chemical reactor to the first chemical reactor. The first and second chemical reactors are further provided with means for putting heat in to, or taking heat out of, the first and/or the second chemical reactors. A heat exchanger module is also provided. The heat exchanger module is configured to select from a plurality of available heat sources, a heat source having the highest temperature and an expander module selectively connected to the first chemical reactor and the second chemical reactor via the heat exchanger module. The heat source is arranged to heat the refrigerant fluid prior to the refrigerant fluid passing through the expander module, and the heat exchanger is configured to recover a surplus heat from the highest temperature heat source. The expander module is configured to expand the refrigerant fluid. The means for putting heat in to, or taking heat out of, the first and/or the second chemical reactors provides a flow of refrigerant fluid between the expander module and the first and second chemical reactors, and wherein the expander module is operable to expand the refrigerant fluid to provide a variable work output depending on energy storage requirements.","Patent granted","WO2017118851","2017","No","InnovateUK project aiming at developing commercial prototype",,"5c8a6c82b6cec6.76928221","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=5c8a6c82b6cec6.76928221&grantRef=EP%2FM008088%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/M008088/1","B7CCDA6B-86FF-412F-8953-B923B2C0CD81","798CB33D-C79E-4578-83F2-72606407192C","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","F82F8F2D-B624-4B19-ABBC-CB0D581A4D87"
"NERC","NE/K005472/1","Research Grant","Intellectual Property","University of Reading","Meteorology","Cornforth","Rosalind","","Game for brokering dialogue around complex climate issues","The CAULDRON (Climate Attribution Under Loss and Damage: Risking, Observing, Negotiating) Game Suarez, P, Parker, HR, Cornforth, RJ, Otto, FEL, James, R and Boyd, E. (2014). Open access material published under a Creative Commons License","Copyrighted (e.g. software)",,"2014","Yes","Creative Commons approved
Stakeholders from Africa and Europe have requested copies of the game for game play and then fed back comments for potential improvements
Game has been developed - v3 now available
Oxfam blogs drew attention to it: https://oxfamblogs.org/fp2p/are-serious-games-a-better-way-to-prepare-for-climate-change-than-scenario-planning/
Also at CC Expo: http://www.climate-services.org/wp-content/uploads/2015/05/ToolsExpo_circular_FINAL.pdf
Games used most recently to enhance understanding of attribution of extreme weather events and application to Loss and Damage negotiations for the Senegal National Climate Change Committee",,"r-9140627523.0838243d6b23d0","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=r-9140627523.0838243d6b23d0&grantRef=NE%2FK005472%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K005472/1","3C1BEE45-C9CC-4795-8AAE-A0C58D70C2E8","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","E89C3602-0FB4-4044-A918-58966B8A10B2","8052BB87-7123-4292-9517-F284DD425B3E"
"MRC","MC_U105559837","Intramural","Intellectual Property","MRC Cognition and Brain Sciences Unit",,"Manly","Tom","","Sustained Attention to Response Test","This is a computerised cognitive test that our research has shown sensitive to attentional problems following brain injury and other conditions. The test is well described in methods sections and we have recently worked with MRCtech to negotiate an agreement whereby Dutch colleagues can make the test available for download under specified conditions","Protection not required",,"","Yes","N/A",,"269974033A5","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=269974033A5&grantRef=MC_U105559837","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MC_U105559837","1C9C7FC1-06DB-4DB1-AFA0-964BFA1FE9AE","C008C651-F5B0-4859-A334-5F574AB6B57C","EB2BFDD0-C30A-494F-B6C1-96B85F5AE40E","AB9180E1-5975-4D3D-BFAB-C797B3A29EAE"
"EPSRC","EP/M507830/1","Research Grant","Intellectual Property","University of Hull","Engineering","Zhao","Xudong","","Heat exchange apparatus","The invention relates to a heat exchanger apparatus comprising at least one metal sheet 10 (e.g. aluminium), and preferably a plurality in a stack. Each metal sheet 10 has a corrugated surface, with fabric (e.g. Coolmax-2) covering at least a portion of one surface of the metal sheet to promote evaporation. A wetting agent (e.g. LiCl/Polyvinyl-Alcohol (PVA) solution) is provided in the fabric to promote wetting of the fabric, and 10 also acts as an anti-microbial agent. The fabric preferably covers all of the corrugated surface, and two planar portions are provided above and below the corrugated surface respectively. In use, the heat exchanger apparatus is disposed with a long side vertical and the corrugated surface is disposed on a middle portion, the upper planar portion is contiguous with an air outlet, and/or the lower planar portion is contiguous with an air 15 inlet. In a preferred embodiment, the corrugated surface has in cross-section a profile of a periodic waveform, wherein the peak-to-peak distance is 11.6 mm, the amplitude is 2.5 mm, and corrugations intersect the plane of the heat exchanger apparatus at an angle to that plane of 50 degrees. Also disclosed are a cooling system incorporating the heat exchanger apparatus and methods of operating the cooling system, involving 20 intermittently operating a water supply system for the application of water to the fabric, and/or, recirculating water from a water sump using the water supply system.","Patent application published","GB1617362.7","2016","Commercial In Confidence","The novel dew point air conditioner was developed through a research project entitled &quot;Key Technologies for Enhancing Energy Efficiency of the Dew Point Air Cooler and its Manufacturing&quot;, which is funded by Engineering and Physical Sciences Research Council (EPSRC), Innovate UK and Ministry of Science and Technology of China (EP/M507830/1). The novel dew point cooling technology will bring about enormous economic, environmental and sustainability benefits to the UK, China and worldwide. 
 
Air conditioning is an enormous world-wide business with the global market of around &pound;55 billion per annum. The new type of dew point air conditioner, owing to its significantly higher COP over the traditional ones (10 to 16 times higher), will overcome the difficulties remaining with the existing dew point air conditioners, i.e. larger size, larger flow rate and higher cost, and thus can have its sizes and capital cost reduced to a level comparable to the traditional vapour compression air conditioners. 

Built on the above advantages and the joint venture developed by the UK and China partners, the new air conditioner business is high likely to achieve around &pound;120 million of global annual sales and &pound;24 million of annual interest by 2026. It should be addressed that the joint venture is part of the project targets and the initial plan is to place its head-quarter in the UK and manufacturing base in China, based on the industrial partners (Sinogreen and ebm-papst)' existing facilities and spaces. In the meantime, around &pound;20 million of annual market size will be established on the fan/control-system manufacturing &amp; sale, which are based in an independent UK ebm-papst business and would attract around &pound;4 million of annual interest. 

After 2026, the market sizes of the air conditioner and fan/control system would continue to grow at a rate of 15% to 20% per annum. The project partners, relevant material/components suppliers and unit installers, will directly benefit from the air conditioner and fan/control businesses through product sale/installation, as well as knowledge/technology transfers on the global scale. The UK industry as a whole will benefit by the enhanced competitiveness, increased sale and improved employment opportunities. The end users will benefit by reduced energy costs and improved internal environments. 

This business will also bring about enormous environmental and sustainability benefits that are identified by the reduced CO2 emission and waste dumping, as well as controlled air pollution. Giving an estimated annual installation volume of 0.5 million kW cooling capacity (derived from &pound;120 million of annual sale), the new air conditioners, as replacements to conventional vapour compression air conditioners, would save around 55 million kWh of electricity during a single year operation, thus resulting in reduction in CO2 emission by around 30,000 tonnes. The new air conditioner manufacturing process, owing to around 20% of electrical energy saving potential over the traditional processes, will lead to around 20,000 tonnes of reduced CO2 emission (for 0.5 million kW cooling capacity production). Recycling of the materials (fibres, aluminium foils, plastics, and fluids) during the cooler manufacturing would lead to the reduced waste dumping; while the unit's water flushing and filtering functions against the inlet and discharging air will effectively mitigate the pollution level of the ambient air. This issue is particularly important to China as air contamination (e.g. PM2.5) in China has reached dangerous levels.",,"58be8fb2724261.82117795","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=intellectualproperty&outcomeId=58be8fb2724261.82117795&grantRef=EP%2FM507830%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/M507830/1","B7B26315-0B3D-4722-A10A-23F49335C63A","798CB33D-C79E-4578-83F2-72606407192C","8A0FC07A-04CD-4F7A-9095-1D2E6C1D918F","F4E15AE2-BFA2-4F54-9239-E4BD06B8588F"
