"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Influence","Type of Influence","Guideline Title","Geographic Reach","Impact","Url","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"ESRC","ES/S012257/1","Research Grant","Policy Influence","Cardiff University","Sch of Psychology","Whitmarsh","Lorraine","","We need health warning labels on points of sale of fossil fuels","Implementation circular/rapid advice/letter to e.g. Ministry of Health",,"Multiple continents/international","Our article in the British Medical Journal argues we need health warnings on fuel pumps, energy bills and airline tickets because of the air quality and climate change impacts of fossil fuels. This recommendation has now been taken up by leaders in Cambridge, Massachusetts, who have just passed a law requiring that any fossil fuel pumps carry 'a clear warning label explaining that burning gasoline, diesel and ethanol has major consequences on human health and on the environment, including contributing to climate change.' Welsh Government is also considering this.","https://emagazine.com/pumping-gas-hazardous-to-your-health-and-the-planet/","5e6a331788dee7.93447137","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=5e6a331788dee7.93447137&grantRef=ES%2FS012257%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/S012257/1","8A482C42-D021-4C9B-9997-A2A0D268001E","924BE15C-91F2-4AAD-941A-3F338324B6AE","9C10D78F-6430-4CA7-9528-B96B0762A4C6","CA804527-F81E-4D4E-9E42-0A16805FA9D2"
"ESRC","ES/L016028/1","Research Grant","Policy Influence","University of East Anglia","International Development","Guan","Dabo","http://orcid.org/0000-0003-3773-3403","Data accuracy and transparency in Paris Agreement for Climate Change","Citation in other policy documents",,"Multiple continents/international","The Dragon project results have already made international impact in the field of climate change. The WP1 aims for developing robust and transparent carbon emission accountings for China and its regions. One of Dragon publications in Nature, entitled of &quot;Reduced carbon emission estimates from fossil fuel combustion and cement production in China&quot;, have received great public and policy attention. It has been media reports by over 200 outlets worldwide in different languages. IPCC and global climate change community have been advocated emission data accuracy and transparencies. The Paris Adoption (so called Paris Agreement for Climate Change) formally wrote in the Article 4.1 as &quot;&quot;Parties shall account for their nationally determined contributions. In accounting for anthropogenic emissions and removals corresponding to their nationally determined contributions, Parties shall promote environmental integrity, transparency, accuracy, completeness, comparability and consistency, and ensure the avoidance of double counting, in accordance with guidance adopted by the Conference of the Parties serving as the meeting of the Parties to the Paris Agreement&quot;.",,"56dec61feccf05.66776046","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=56dec61feccf05.66776046&grantRef=ES%2FL016028%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/L016028/1","B0E4261F-6C42-41A4-9333-BC77AAB8EB40","924BE15C-91F2-4AAD-941A-3F338324B6AE","88C5F7F9-8DCC-41C9-BC4F-F37DA01075C7","CC0380D1-91DD-4AAB-9805-DBDAF639E25D"
"NERC","NE/N018036/1","Research Grant","Policy Influence","National Oceanography Centre","Science and Technology","Popova","Ekaterina","","Global Warming of 1.5&deg;C Cited by World Meteorological Organization (WMO) on 01 Jan 2018 (citing Pecl et al., 2017)","Citation in other policy documents",,"Multiple continents/international","World Meteorological Organization (WMO) ; Intergovernmental Panel on Climate Change ; United Nations Environment Programme

An IPCC special report on the impacts of global warming of 1.5 &deg;C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty.","https://library.wmo.int/index.php?id=21536&lvl=notice_display#.YEI_92j7Q2w","604240a66646b2.17124814","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=604240a66646b2.17124814&grantRef=NE%2FN018036%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/N018036/1","15A45F29-3D73-4652-ABE4-D8ADEB56AACA","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","4DB630C7-7E13-4610-A1C3-29601903CEE3","813F6E5A-7C55-44B1-BC26-C77FF12DBD2C"
"NERC","NE/L008750/1","Research Grant","Policy Influence","National Oceanography Centre","Science and Technology","Popova","Ekaterina","","Global Warming of 1.5&deg;C Cited by World Meteorological Organization (WMO) on 01 Jan 2018 (citing Pecl et al., 2017)","Citation in other policy documents",,"Multiple continents/international","World Meteorological Organization (WMO) ; Intergovernmental Panel on Climate Change ; United Nations Environment Programme

An IPCC special report on the impacts of global warming of 1.5 &deg;C above pre-industrial levels and related global greenhouse gas emission pathways, in the context of strengthening the global response to the threat of climate change, sustainable development, and efforts to eradicate poverty.","https://library.wmo.int/index.php?id=21536&lvl=notice_display#.YEI_92j7Q2w","604240a66646b2.17124814","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=604240a66646b2.17124814&grantRef=NE%2FL008750%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/L008750/1","3793BD7F-091A-45D4-9111-57CCEC4F5539","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","4DB630C7-7E13-4610-A1C3-29601903CEE3","813F6E5A-7C55-44B1-BC26-C77FF12DBD2C"
"NERC","NE/R001782/1","Research Grant","Policy Influence","University of Leeds","School of Earth and Environment","Chipperfield","Martyn","","Montreal Protocol Scientific Assessment Steering Committee","Membership of a guideline committee",,"Multiple continents/international","Reduction in stratospheric ozone depletion and in surface climate change",,"5a9851913d5ef1.05137175","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=5a9851913d5ef1.05137175&grantRef=NE%2FR001782%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/R001782/1","7DD21717-9C63-4AC9-B20F-727EA38C7AB6","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","83D87776-5958-42AE-889D-B8AECF16B468","EAAAAD7A-0B6F-4C8B-B7A6-C7F1804FECB2"
"NERC","noc010012","Intramural","Policy Influence","National Oceanography Centre",,"Bacon","Sheldon","","Sustainability and health of UK national seas: now and the future","Citation in other policy documents",,"National","NOC was pivotal in providing advice and evidence feeding into UK assessments on &quot;clean, healthy, safe, productive and biologically diverse oceans and seas&quot;. These underpin legislation aimed at achieving this vision, specifically the EU Marine Strategy Framework Directive. In the UK this took the form of the report: &quot;Charting Progress 2: The State of UK Seas&quot;, and the on-going Evidence Groups. Alongside this, the Marine Climate Change Impacts Partnership (MCCIP) and UKCP09 provide assessments of potential future conditions. NOC is the leading UK organisation for providing this evidence, advice, information and future projections for physical oceanography. Its scientists were lead / co-authors for CP2 &quot;Ocean Processes&quot; chapter, most MCCIP science reviews, and the UKCP09 (UK Climate Predictions) Marine Section. 
o The UK vision for &quot;clean, healthy, safe, productive and biologically diverse oceans and seas&quot; (Defra, 2002) is reinforced by international obligations, e.g. the Oslo-Paris Convention. Especially, the EU Marine Strategy Framework Directive (MSFD, 2008) lists 11 aspects of &quot;Good Environmental Status&quot; (GES) to be achieved by 2020, and monitored on a six-yearly cycle. Costs of neglecting such Directives can be severe but avoided through good scientific knowledge; NOC's role has been to provide this knowledge in appropriate and timely forms.
o In pursuit of the UK vision and more recently the implementation of MSFD, Defra leads the UK Marine Monitoring and Assessment Strategy (UKMMAS), a &quot;community&quot; of more than 40 member organisations. Through UKMMAS Defra sponsored &quot;Charting Progress 2: The State of UK Seas&quot; (CP2, 2010) a comprehensive report on the state of the UK seas. CP2 &quot;provides a considerably improved assessment of the productivity of our seas, and the extent to which human uses and natural pressures are affecting their quality - addressing the specific species, habitats and economic issues of the eight UK Marine regions. It helps to show whether current environmental protection measures are working, and aims to provide policy makers, planners and the public with a clear evaluation of our progress towards the vision&quot; (Defra introduction therein). CP2 forms the primary evidence base for the Defra 2012 UK Initial Assessment of the state of UK seas under MSFD; this Initial Assessment needed little other evidence than that in CP2 (2010). The CP2 experience has enabled the UK to take the lead across Europe in many aspects of MSFD refinement of GES, defining indicators and targets.
o Annual gross value added by UK marine economic activity is estimated as ?47bn, including ?37bn oil and gas extraction (CP2, 2010) MSFD poses a challenge to sustain this activity while achieving and maintaining GES. An aspect of this challenge is delivering science to distinguish human from climatic factors in change. The distinction helps to develop an effective Programme of Measures for GES, saving UK plc and Government money. An example is the successful defence of Infraction Proceedings under the Urban Waste Water Treatment Directive. Science refutation of this alleged eutrophication in nearshore UK waters (due to nitrate etc. in waste-water) avoided a cost to the UK water industry of ?6 bn(of ineffective measures).
o The UK Marine Climate Change Impacts Partnership (MCCIP) brings together scientists, government, its agencies and NGOs to provide co-ordinated advice on climate change impacts around our coast and in our seas. The UK marine science strategy states that, &quot;Ocean information will be essential and integral to the development and continual improvement of climate information. In this context, MCCIP, in which many organisations contribute to regular assessments of current and future changes, is an example of good practice that the Strategy will seek to support and encourage&quot;. Beneficiaries include all those handling marine impacts of climate change. These include Defra and &quot;UK plc&quot;: UK business performance vis ? vis environmental sustainability and environmental operating conditions. 
o UKCP09 is the fifth generation of climate change information for the UK, reflecting significant advances in climate science and computer modelling. For the first time, marine and coastal projections for NW European Seas are included (for sea level rise, storm surge, sea surface and sub-surface temperature, salinity, currents, and waves), including freely available model data sets. MEECE5 and QUEST_FISH projects followed this up by exploring climate and direct anthropogenic effects on planktonic ecosystems and fish/fisheries. 
o The potential relevance of climate change impacts on fish production to food security are immense, particularly when considered on a global scale, as in QUEST-FISH: about 400 million people rely on fish for &gt;50% of their animal protein. 
o UKCP09 and MEECE provide a future look at potential changes to GES under MSFD, specifically relevant to the following GES Descriptors: 1, Biological diversity; 3, Population of commercial fish / shell fish; 4, Elements of marine food webs; 5, Eutrophication; 6, Sea floor integrity; 7, Alteration of hydrographical conditions.","http://chartingprogress.defra.gov.uk/","5460f945048c13.41532266","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=5460f945048c13.41532266&grantRef=noc010012","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=noc010012","6D6B1518-6B3A-4ABD-B79A-C4E92D7BE4CB","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","4DB630C7-7E13-4610-A1C3-29601903CEE3","F99A9B4B-CB30-424B-8584-46AB9B1CD166"
"NERC","NE/K002473/1","Research Grant","Policy Influence","University of Exeter","Geography","Watson","Andrew","","Greenhouse Gases Summer School","Influenced training of practitioners or researchers",,"National","The summer school was based at the National Oceanography Centre (NOC) in Southampton and offered a combination of lectures, practical exercise, seminars and field/lab work. Organised by international experts in oceanography, atmospheric science and terrestrial biogeochemistry, the course provided educational support in the following areas:
•theoretical background on the role of greenhouse gases in the Earth System
•practical training in how to measure and model fluxes
•interaction with leading experts in the field
•the opportunity to network with other early-career scientists with similar interests.

Topics covered:
•Greenhouse gases in ocean, atmosphere and biosphere, with a focus on carbon dioxide (CO2), methane (CH4) and nitrous oxide (N2O)
•Instrumentation for measuring GHGs: theory and practice
•Process modelling of GHG fluxes
•Satellite observations of GHGs
•Measuring and up-scaling fluxes in the terrestrial biosphere

Researchers within the UK Greenhouse Gas Emissions and Feedback Programme, and researchers from the Universities of Edinburgh, Exeter, Bristol, York, Leicester, Manchester, and dedicated UK research centres including Forest Research, Plymouth Marine Laboratory (PML), National Oceanography Centre (NOC) were involved.","http://www.greenhouse-gases.org.uk/news/68-announcing-the-ghg-summer-school-2016","58c7e478d60ff1.78124347","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=58c7e478d60ff1.78124347&grantRef=NE%2FK002473%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K002473/1","948AB856-A977-4E14-8321-27AA6F75B40A","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","961756BF-E31F-4A13-836F-0A09BA02385C","42391614-350E-4783-9FBF-46F9D67CC682"
"NERC","NE/J008621/1","Research Grant","Policy Influence","University of Leeds","School of Earth and Environment","Chipperfield","Martyn","","Montreal Protocol Scientific Assessment Steering Committee","Membership of a guideline committee",,"Multiple continents/international","Reduction in stratospheric ozone depletion and in surface climate change",,"5a9851913d5ef1.05137175","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=5a9851913d5ef1.05137175&grantRef=NE%2FJ008621%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/J008621/1","6B35D808-80C3-4C07-9532-AD0702FC77D5","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","83D87776-5958-42AE-889D-B8AECF16B468","EAAAAD7A-0B6F-4C8B-B7A6-C7F1804FECB2"
"NERC","nceo020005","Other Grant","Policy Influence","National Centre for Earth Observation",,"Boesch","Hartmut","http://orcid.org/0000-0003-3944-9879","Montreal Protocol Scientific Assessment Steering Committee","Membership of a guideline committee",,"Multiple continents/international","Reduction in stratospheric ozone depletion and in surface climate change",,"5a9851913d5ef1.05137175","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=5a9851913d5ef1.05137175&grantRef=nceo020005","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=nceo020005","C847A902-91FF-4EF6-9894-23CD0073FDBF","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","8B4F5DD7-E8D3-4F2C-B513-F7623AD25E1D","DA7E8549-F89C-4B30-B3DE-AA68A42DC686"
"EPSRC","EP/P022820/1","Fellowship","Policy Influence","Imperial College London","The Centre for Environmental Policy","Skea","Jim","","Direct input into the Talanoa Dialogue concluded at the 24th Conference of the Parties of the UN Framework Convention on Climate Change.","Citation in other policy documents",,"Multiple continents/international","UK intention to set net zero target for greenhouse gas emissions; hence improved environmental sustainability 

Informs next round of pldgs of all Paris Agreement national members","https://www.ipcc.ch/sr15/","5c893adaf22dd4.66095516","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=policyinfluence&outcomeId=5c893adaf22dd4.66095516&grantRef=EP%2FP022820%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P022820/1","FD208F98-4650-44FF-B1AF-660C8CCD4EA8","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","F035D5C1-B521-4C5C-9863-55F870A682B5"
