"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Type","Current Stage of Development","Clinical Trial?","UKCRN/ISCTN ID","Year Development Stage Completed","Development Status","Description","Impact","Url","GTR Outcome URL","GTR OutcomeId","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"AHRC","AH/H038353/1","Fellowship","Products Interventions & Clinical Trials","University of the Arts London","Central Saint Martin's College","Tillotson","Jennifer","http://orcid.org/0000-0002-5747-4798","eScent smart mask","Therapeutic Intervention - Complementary","Initial development","",,"2021","Actively seeking support","Dr Tillotson has completed a concept project to develop a re-usable, enhanced FFP3 facemask that offers &quot;personalised protection assurance&quot; via a patented self-administered scent delivery system to help reduce mental distress. A UK patent application was filed in July 2021.

Her transformative tech company (Sensory Design &amp; Technology Ltd) - which was funded by a &pound;175,000 Innovate UK Sustainable Innovation Fund Award in 2020 - is leading a new category in the digital olfaction domain: wearable platform technology with the ability to create individual transformative wellbeing experiences through the development of a novel liquid dispense system. This project builds on her KT Fellowship with Philips Research.

According to the mental health charity, MIND, one in four people will experience a mental health problem of some kind each year in England, while one in six will experience a common mental health problem such as anxiety and depression in any given week.

Following the pandemic, rates of addiction and suicide are at an all-time high, and loneliness has reached epidemic proportions. According to the World Health Organisation, an estimated 500 million people globally suffer from anxiety and depression.

The wearing of facemasks certainly hasn't helped the situation. As many of us experienced first-hand during lockdown restrictions, facemasks are uncomfortable to wear. They retain moisture, irritate the skin and create psychological barriers, as well as triggering panic and breathing problems.

As the pandemic progressed, this had a negative psychological impact on NHS workers especially, with many experiencing PTSD, anxiety, depression, and burn-out. According to a BMA Survey of 7000 doctors during the pandemic, 44% of doctors said that they were suffering from depression, anxiety/stress, or other mental health condition made worse by their work.

On top of this, the use of one-time-use PPE is devastating ecosystems and polluting oceans. Approximately 129 billion disposable masks, mostly made from plastic microfibres, and 65 billion disposable gloves have been used every month during the pandemic, according to a study in the journal Environmental Science and Technology. 

This collective anxiety, combined with growing environmental emergencies, provides opportunities to build a more nurturing society with global consciousness. To that end, eScent partnered with The Imagination Factory and Anchored-IN to develop a re-usable enhanced FFP3 facemask which offers &quot;personal protective assurance&quot; - that is, a personalized and renewable scent system as a self-delivered biofeedback intervention for mental distress.

Protected by several awarded and pending patents originated from her AHRC funded projects at Central Saint Martins, eScent is a product concept that integrates hardware, software, and a subscription-based fragrance service as a catalyst to improve health, emotional wellbeing, and performance.

Dr Jenny Tillotson is on a mission to help humanity recover from the pandemic and to reconnect with our most primitive of senses - our sense of smell. eScent can be integrated into multiple different form factors, leading to many uses and benefits. This is just the start of what is going to be a very exciting 18 months as we miniaturise the delivery system and look forward to building partnerships in a variety of markets including the wellbeing, fashiontech, protection, entertainment, and psychedelic medicine sectors.

COVID continues to be a problem, despite vaccination. Masks do reduce viral transmission. PPE is more effective than other masks but is still only 98% protective when worn and of course, provides no protection when not worn. FFP3 masks are even more effective than surgical masks.

Outside its host cells, SARS-CoV2 is more vulnerable, even to substances (virus blockers) harmless to man, such as fucoidan (brown seaweed which is &quot;anti-flu&quot; and an anti inflammatory), carrageenan (red seaweed clinically proven to protect against SARS-CoV-2 infection in health care personnel treated with an iota-carrageenan nasal spray), liquorice and menthol.

eScent could therefore change the face of FFP3 masks and the utility of natural virus blocking properties in real-life scenarios. eScent is a wearable nebuliser that offers &quot;personal protection assurance&quot; via a patented liquid delivery system to help combat viruses.

Further work is needed to assess the effectiveness or otherwise of viral attachment inhibitors in vitro, then in vivo.","Interest in the eScent from mask manufacturers and the international algae community.
Interest from the NHS (ENT, neuroscience, psychology, oncology, wellbeing, Complementary Health, Digital Health)

Dr Tillotson is working with ENT/Allergy advisors Dr Glenis Scadding (Royal ENT Hospital / UCLH) and Prof Pete Smith (Queensland Allergy Service, Australia) to look at how we can enhance the protection of NHS staff. Dr Tillotson is exploring a combination approach: the use of an FFP3 mask plus automated intermittent use (via eScent) of a nasal virus blocker spray at donning and doffing (for example, algae nasal spray). This would provide continued protection during staff meal breaks, should stop virus colonisation of the nasal passages, and reduce viral transmission to others. In addition, the mask is reusable, reducing the vast amounts of waste currently being generated which is devastating ecosystems and polluting oceans.

eScent could change the face of FFP3 masks and the utility of natural virus blocking properties in real-life scenarios. Protected by six patents and funded by an InnovateUK &quot;Sustainable Innovation Fund&quot; Award, eScent is a wearable nebuliser that offers &quot;personal protection assurance&quot; via a patented liquid delivery system to help combat viruses.

Further work is needed to assess the effectiveness or otherwise of viral attachment inhibitors in vitro, then in vivo.

Currently licensing the technology to a mask manufacturer (supplier to the NHS)
A UK patent application was filed in July 2021.","https://vimeo.com/618962103","621739e5cd02d7.49619422","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=621739e5cd02d7.49619422&grantRef=AH%2FH038353%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/H038353/1","5E8ADEFB-3D0E-4C1C-91C2-197E5620A17D","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","A037C26F-2172-4927-91DA-921F67B7EF39","2A2702A0-A291-4E40-8EAE-040427E6FAD2"
"MRC","MC_PC_18046","Intramural","Products Interventions & Clinical Trials","University of Edinburgh",,"ffrench-Constant","Charles","","Connected asthma","Management of Diseases and Conditions","Early clinical assessment","",,"2020","Actively seeking support","A functioning prototype connected A4A+ system including connections between four existing smart devices (Findair smart inhaler, Polar fitness watch, Smart Asthma and MIR smart peak flow meters) and core self-management features (report sharing to practice, asthma action plan, customised asthma logs, contact links to Asthma UK resources, and environmental information such as air quality, pollen count and temperature).","Prototype under development",,"6231e1b12b0a34.69615455","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=6231e1b12b0a34.69615455&grantRef=MC_PC_18046","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MC_PC_18046","A8E5D858-FC67-4AC6-8377-C7931B78F617","C008C651-F5B0-4859-A334-5F574AB6B57C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","6E21A7D6-BE0F-45B5-9AAD-25FE1CE982B1"
"MRC","MR/N026977/1","Research Grant","Products Interventions & Clinical Trials","Newcastle University","Translational and Clinical Res Institute","Isaacs","John","","BIOlogical Factors that Limit sustAined Remission in rhEumatoid arthritis (BIO-FLARE)","Management of Diseases and Conditions","Initial development","",,"2018","Actively seeking support","Identifying pathways that underpin disease flare in RA.
IRAS ID for the trial is 234030.
Also see: https://gtr.ukri.org/projects?ref=MR%2FN026977%2F1","TBD","https://gtr.ukri.org/projects?ref=MR%2FN026977%2F1","5c7fa85aa97194.25623517","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=5c7fa85aa97194.25623517&grantRef=MR%2FN026977%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/N026977/1","8EF61C9C-FD87-4EA7-94A5-435BC3BBEAD4","C008C651-F5B0-4859-A334-5F574AB6B57C","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","57A37958-62F0-4123-94F1-B401A3343848"
"ESRC","ES/T002956/1","Research Grant","Products Interventions & Clinical Trials","University College London","Division of PALS","Joffe","Helene","","Changing Children's Risk Perceptions and Behaviors: A Climate Change Risk Program for Schools","Therapeutic Intervention - Psychological/Behavioural",,"",,"2020","Closed","Small climate change intervention conducted in schools with 10-11 year olds; cross cultural study - UK and Canada; funded by Society for Risk Analysis $20 000","A notable impact is that this will inform how the school-based intervention will be done in this grant. Since we discovered that a sense of control over their actions, social norms and incentives were more important for the children in terms of adopting more carbon neutral behaviours than the many of the decision making principles on which the intervention was based, we will conduct the intervention in Indonesia bearing in mind the more effective aspects of an intervention. Helene Joffe will also deliver a conference talk on this work.",,"604a3623852ea2.34575780","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=604a3623852ea2.34575780&grantRef=ES%2FT002956%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/T002956/1","A7B4E64A-FC8E-4C47-AD67-5F0FC1B71217","924BE15C-91F2-4AAD-941A-3F338324B6AE","3A5E126D-C175-4730-9B7B-E6D8CF447F83","7F449ADC-0997-496A-9B2F-039E86DA5207"
"MRC","MC_EX_MR/S022023/1","Fellowship","Products Interventions & Clinical Trials","MRC Laboratory of Molecular Biology",,"Rzechorzek","Nina","http://orcid.org/0000-0003-3209-5019","The RESET trial: can a novel intervention rapidly re-adjust the body clock to treat jet-lag in healthy volunteers and improve their sleep at high altitude?","Therapeutic Intervention - Drug","Early clinical assessment","Yes","ISRCTN","2022","On hold","Biological clocks regulate how our body works, and they must synchronize to our 24-hour world. Environmental timing cues feed into a 'master clock' in the brain, which then synchronizes clocks throughout the body. Light-dark cycles, meal times, and steroid hormones form the strongest cues, tuning our internal clocks to the day-night rhythm. Genetic variation determines how our body clocks align with this rhythm, thus resulting in different 'chronotypes' (i.e. 'morning larks' and 'night owls').

Annually, millions of people stretch the limits of their body clock by rapidly crossing multiple time zones. Temporary misalignment between an individual's body clock and local time in their destination produces 'jet lag', the symptoms of which subside as the body clock adapts to the new time zone. Disruption of our body clocks-as occurs with jet lag and shift work-has far-reaching health effects, playing a role in cancer, diabetes, heart disease, and dementia. If we could rapidly reset the body clock to better accommodate our modern lifestyles, this could have enormous health benefits.

An intense challenge is faced by visitors to high altitude, since exposure to a low-oxygen environment often coincides with jet lag. A prominent feature of both jet lag and ascent to high altitude is sleep disturbance. Most studies of sleep at altitude have failed to control for individual chronotype and body clock function-factors which could substantially modify the body's adaptation to a new time zone. Research on APEX 6 addresses an important knowledge gap; the impact of individual chronotype and jet lag on how the body copes with high altitude. The RESET trial builds on this by testing whether a multi-factorial intervention can accelerate resetting of body clocks and improve sleep function in healthy volunteers exposed to jet lag and high altitude. The trial is due to launch and complete in summer 2022.","Outcome of trial pending. The trial is being conducted by a group of undergraduate medical students during the APEX 6 Expedition to Bolivia. This represents an opportunity for these students to get hands-on clinical research training in the extreme high altitude environment. The research being conducted on the expedition is relevant to those who visit hypoxic environments but also to patients at sea level who are suffering from hypoxia.","https://www.altitude.org/","622ffb831584e3.84197952","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=622ffb831584e3.84197952&grantRef=MC_EX_MR%2FS022023%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MC_EX_MR/S022023/1","900CED36-3DC3-4F1C-B391-51717A06F146","C008C651-F5B0-4859-A334-5F574AB6B57C","AB7C0822-BBCB-4C61-85EC-5D13C7A31759","3F5A301B-D568-459C-9955-04286E602B5D"
"MRC","MR/R00420X/1","Research Grant","Products Interventions & Clinical Trials","University of Cambridge","Institute of Public Health","Parkes-Ratanshi","Rosalind","","ARTAccess app with stock management unit","Management of Diseases and Conditions","Wide-scale adoption","",,"2021","Under active development/distribution","The ARTAccess tool is now being rolled out nationally with 12,694 patients enrolled on the system.
The app is being supported by United States Government funding under the PEPFAR mechanism with a target of 168 health facilities by October 2022
1. Social Impact - So far, 44 health facilities are using the tool, which leads to decongestion of health facilities, less burn out of health workers 
2. Economic Impact - HIV patients can access their medication closer to their homes, and so they have less out of pocket health expenses for travel to health facilities. They have shorter waiting times and so have reduced loss of informal earnings whilst seeking health care.
3. Contribution to gender, inclusivity and exclusivity - 60% of PLHIV are female
4. Environmental sustainability - PLHIV can access medication near to home instead of long journey to health facilities","1. Social Impact -The app has pushed forward the move of PLHIV health records to a digital format. Alerts are received in the health facilities about PLHIV who have been identified with an issue or did not attend their appointment so they can be followed up more closely. 
2. Economic Impact - The development of the app has streamlined stock management of HIV medication in health facilities as all HIV medication stock is now managed on the app. This is leading to less loss of stock.",,"623242f0cf5c27.32863755","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=623242f0cf5c27.32863755&grantRef=MR%2FR00420X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/R00420X/1","036F7C00-51E3-4FD1-A8B2-C9503FEF4F5B","C008C651-F5B0-4859-A334-5F574AB6B57C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","A033FF1A-B391-4F85-9C9D-B38221C69A93"
"MRC","G0701632","Research Grant","Products Interventions & Clinical Trials","Newcastle University","Institute of Human Genetics","Pearce","Simon","http://orcid.org/0000-0001-8384-8063","RADS: rescue of addison's disease study","Therapeutic Intervention - Drug","Refinement.  Clinical","Yes",,"2012","Under active development/distribution","Patients with new onset Addison's disease were treated with immunotherapy. One had a sustained remission, giving proof of principle that the disease is plastic at presentation in some cases and that disease-modifying therapies may have a role.","This study demonstrated for the first time that autoimmune Addison's disease is a potentially remediable state.",,"kggNgc6XDPp","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=kggNgc6XDPp&grantRef=G0701632","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=G0701632","19283C9C-7DF5-475B-834A-28F3C9227A36","C008C651-F5B0-4859-A334-5F574AB6B57C","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","36631C24-4FA0-4C02-93AE-8293635A1209"
"ESRC","ES/F029624/1","Research Grant","Products Interventions & Clinical Trials","University of Southampton","School of Psychology","Yardley","Lucy","http://orcid.org/0000-0002-3853-883X","ECO- Eczema Care Online","Preventative Intervention - Physical/Biological risk modification","Initial development","",,"2018","Under active development/distribution","Web based intervention to address the needs of people with eczema in supporting their use of eczema treatments. The intervention is deisgned to meet the needs of carers of children with eczema, and teenagers and young adults who manage their own eczema.
Current phase
Funded by: National Insitute Health Research (NIHR PGfAR)","the intervention was developed using the Lifeguide intervention authoring software","https://www.southampton.ac.uk/medicine/academic_units/projects/eco.page","5c7e8a8686d881.92882061","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=5c7e8a8686d881.92882061&grantRef=ES%2FF029624%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/F029624/1","F48C00DE-E012-4AF7-A9E3-E9E2C80BC15C","924BE15C-91F2-4AAD-941A-3F338324B6AE","30A429E3-83B7-4E41-99C0-14A144F07DFE","C1576B58-A4CC-446C-BC4D-1A15D29AB988"
"MRC","MR/P023754/1","Research Grant","Products Interventions & Clinical Trials","University of Southampton","Clinical and Experimental Sciences","Elkington","Paul","http://orcid.org/0000-0003-0390-0613","PeRSo PPE respirator","Therapeutic Intervention - Medical Devices","Wide-scale adoption","",,"2020","Under active development/distribution","In the early stages of the COVID pandemic, we realised that PPE was going to be a critical issue. With engineers at the University of Southampton, we developed the Personal Respirator Southampton (PeRSo), and partnered with University Hospital Southampton and a local business to scale up production. The respirators provide better protection than standard PPE, are preferred by both the patients and staff, are reusable and sustainable. During the first wave, over 1,000 were deployed, and for the second wave over 3,500 were in use, all requested by staff members. Furthermore, over 20 NHS trusts across the country have taken up this innovation.
We are promoting the idea of widespread respirator use as an alternative PPE strategy nationally. I was awarded an MBE for this work in the 2020 Queen's Birthday Honours, and the work has received widespread positive coverage in the media, summarised on our website below.","The hospital functioned efficiently during the pandemic and respirator use was widespread","https://www.southampton.ac.uk/publicpolicy/support-for-policymakers/policy-projects/perso.page","604753121a6e79.43538461","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=604753121a6e79.43538461&grantRef=MR%2FP023754%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=MR/P023754/1","D46A4D76-ED8B-45BF-88B7-7C65BA9522E4","C008C651-F5B0-4859-A334-5F574AB6B57C","30A429E3-83B7-4E41-99C0-14A144F07DFE","F8B2FDCD-87E8-4DF1-95F8-691923BEB63A"
"EPSRC","EP/V029177/1","Research Grant","Products Interventions & Clinical Trials","University of Salford","Sch of Science,Engineering & Environment","Birtles","Richard","","provision of whole genome sequencing capability","Diagnostic Tool - Non-Imaging","Wide-scale adoption","",,"2021","Under active development/distribution","The project has established whole genome sequencing capability at the University of Gulu and applied it to characterising SARS-CoV2 strains circulating in northern Uganda. The project provided in situ training for Ugandan scientists on ONT-based sequencing technologies and the equipment and reagents to do the sequencing. The project also established a sustainable supply chain for ONT reagents into Uganda/Gulu. The project has attempted to sequence the genomes of all strains detected by the routine molecular diagnostic service run in the Gulu laboratory, resulting in almost 200 genomes submitted to GISAID to date. WGS is now carried out by Ugandan scientists. The project enhanced bioinformatic capability in Uganda, specifically training Ugandan scientists in the use of pipelines for analysis of SARS-CoV2 WGS data.","Training on ONT-based genomics has been delivered to scientists in Gulu who are not part of the COVID19 laboratory as a means of increasing awareness of the broad applicability of the technology. This has led to new collaborations with Gulu staff utilising ONT sequencing to address non-COVID19 questions, increasing the likelihood that this expertise will be sustained in northern Uganda.",,"623457b5457740.48494928","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=productintervention&outcomeId=623457b5457740.48494928&grantRef=EP%2FV029177%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/V029177/1","BD9690CD-621D-4E7E-BC1E-2771C516A286","798CB33D-C79E-4578-83F2-72606407192C","ED6ACD61-0140-4C05-B93D-2C6A42CA753B","5B1AF020-4A83-499F-A575-1B759C644468"
