"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Description","Type of Material","Software Developed?","Software Open Source?","Provided to Others?","Year Produced","Impact","Url","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"NERC","NE/R000123/1","Research Grant","Research Tools and Methods","National Oceanography Centre","Science and Technology","Horsburgh","Kevin","","Ecosystem service assessment","Questionnaires designed and implemented to fishers, aquaculture farmers and marine tourism operators in Da Nang Bay, Vietnam. These questionnaires","Model of mechanisms or symptoms - human","","","No","2020","The questionnaires characterised the three main marine sectors/ecosystem services from the marine environment in Da Nang city. These findings will be used to design ACCORD2 subsequent research and will be disseminated to academic and government partners DASI/DONRE to inform policy and move towards sustainable management. They have provided clear evidence on the need to research livelihood resilience to stressors (e.g. climate change, pollution) and policy on sustainable aquaculture (among others).",,"6037a6e4bfe3d3.56974791","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=6037a6e4bfe3d3.56974791&grantRef=NE%2FR000123%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/R000123/1","7E52DFF5-E7E8-42E8-BF21-5C9181D9B0AE","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","4DB630C7-7E13-4610-A1C3-29601903CEE3","B17B3FE8-113A-47B9-85C8-E0D3D59EFEB6"
"NERC","NE/K010425/1","Research Grant","Research Tools and Methods","University of Aberdeen","Inst of Biological and Environmental Sci","Smith","J.U.","","Wetland Ecosystem Service Survey Assessment","The ALTER Wetland Ecosystem Service (WES) survey assessment was developed to provide a biophysical baseline for wetland characteristics and properties, and a framework for monitoring and evaluation of the processes of wetland ecological change. The assessment is designed to capture localised, spatially located wetland condition data suitable for modelling wetland ecosystem services under land use, land management and climate change. The assessment draws upon a number of existing methods and tools, notably the Land Degradation Surveillance Framework (LDSF) (V&aring;gen et al. 2013), Wetland ecosystem service assessment (WET Eco services) (Kotze et al. 2008), National Soil Inventory of Scotland (Lilly et al. 2010), Ugandan National Wetland Inventory system (NWIS)(Henninger and Landsberg 2009) and Toolkit for Ecosystem Service Site-based Assessment (TESSA) (Peh et al. 2013). 
The WES assessment survey identifies soil, water and vegetation characteristics in geo-located sampled sites to estimate ecosystem service provision. Collected data is processed for appraising the current provision of wetland services due to wetland management and land uses, particularly C stocks, while establishing a baseline from which to monitor changes in ecosystem properties, functions and services. 
The ALTER WES survey was developed during field trials and implementation in wetland sites in Kabale District, Uganda in 2016. Wetland systems in Kabale are characterised by valley bottom, fluvial fed wetlands under a gradient of wetland land use change, including papyrus wetlands and wetland potato cultivation. This survey data was collected on smartphones using the open data kit (ODK) application. The objective of this work was to evaluate the anthropogenic influence on organic soil carbon stocks and ecosystem services across the wetland systems, and provide data for modelling land use and climate change scenarios.","Improvements to research infrastructure","","","Yes","2016","Discussion with Wetlands Management Department in Ministry of Water and Environment to adopt this methodology for future measurements of wetland condition.

POtential nationwide application of methodology across Uganda by MSc student to validate and improve methodology beyond the area it was originally implemented in.",,"58c01468c068a0.53604228","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=58c01468c068a0.53604228&grantRef=NE%2FK010425%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K010425/1","C6CA5E2B-F26C-4A6A-9E69-0BC033406F64","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","F7E13617-2678-475B-99E4-31479C92038D","1B6D154F-8C59-43EB-88A7-81F28EB7EA78"
"NERC","NE/K010301/1","Research Grant","Research Tools and Methods","Carbon Foundation of East Africa","Research","Farmer","Jenny","","Wetland Ecosystem Service Survey Assessment","The ALTER Wetland Ecosystem Service (WES) survey assessment was developed to provide a biophysical baseline for wetland characteristics and properties, and a framework for monitoring and evaluation of the processes of wetland ecological change. The assessment is designed to capture localised, spatially located wetland condition data suitable for modelling wetland ecosystem services under land use, land management and climate change. The assessment draws upon a number of existing methods and tools, notably the Land Degradation Surveillance Framework (LDSF) (V&aring;gen et al. 2013), Wetland ecosystem service assessment (WET Eco services) (Kotze et al. 2008), National Soil Inventory of Scotland (Lilly et al. 2010), Ugandan National Wetland Inventory system (NWIS)(Henninger and Landsberg 2009) and Toolkit for Ecosystem Service Site-based Assessment (TESSA) (Peh et al. 2013). 
The WES assessment survey identifies soil, water and vegetation characteristics in geo-located sampled sites to estimate ecosystem service provision. Collected data is processed for appraising the current provision of wetland services due to wetland management and land uses, particularly C stocks, while establishing a baseline from which to monitor changes in ecosystem properties, functions and services. 
The ALTER WES survey was developed during field trials and implementation in wetland sites in Kabale District, Uganda in 2016. Wetland systems in Kabale are characterised by valley bottom, fluvial fed wetlands under a gradient of wetland land use change, including papyrus wetlands and wetland potato cultivation. This survey data was collected on smartphones using the open data kit (ODK) application. The objective of this work was to evaluate the anthropogenic influence on organic soil carbon stocks and ecosystem services across the wetland systems, and provide data for modelling land use and climate change scenarios.","Improvements to research infrastructure","","","Yes","2016","Discussion with Wetlands Management Department in Ministry of Water and Environment to adopt this methodology for future measurements of wetland condition.

POtential nationwide application of methodology across Uganda by MSc student to validate and improve methodology beyond the area it was originally implemented in.",,"58c01468c068a0.53604228","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=58c01468c068a0.53604228&grantRef=NE%2FK010301%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K010301/1","5A22CADA-ABA8-44AE-88D4-AAC6BEFDE8C1","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","9FF77937-C094-48A1-B52E-472091827150","CF98C7D5-5B14-4433-AF04-225A1B75CF8E"
"ESRC","ES/S012257/1","Research Grant","Research Tools and Methods","Cardiff University","Sch of Psychology","Whitmarsh","Lorraine","","Co-production of an assessment toolkit for designing and prioritising city level climate actions","Local authorities are a key site for decision making on transitions to a low carbon society, and particularly given the increasing number climate emergency declarations, many are targeting rapid decarbonisation in their own operations and across their communities. The aim of this project is to work closely with the Greater Manchester Combined Authority (GMCA) to co-design a toolkit for evaluating the climate change mitigation and co-benefits potential of proposed authority led projects. The ability to adequately evaluate project proposals at the Executive Committee deliberation stage is identified by GMCA as a key barrier to delivery of their transformative Environment Plan. The toolkit will be co-designed with users and support both the design stage of proposed projects to enhance carbon reduction and co-benefits and give decision-makers a consistent way of comparing and evaluating projects. This project will compliment (though is not contingent upon) a PCAN fund proposal (currently shortlisted) on linking together project evaluation practices with authorities throughout the UK. Where the compatibility with proposed PCAN work can further leverage this work, this is indicated in the proposal.","Improvements to research infrastructure","","","No","2020","Deliverables: 
Toolkit and guidance document for local authority project evaluation. Whilst the final content of the toolkit will be shaped through stakeholder collaboration, we anticipate it will consist of a step by step guide, a simple form linked to an excel sheet to estimate potential carbon impacts, and a short video tutorial. The carbon element (which is the focus of this proposal) will ultimately sit within a wider package of toolkit elements that support embedding co-benefits in project design and evaluation (an output from the CAST cities project 3.4). Projects proposed as part of delivering the Greater Manchester Environment Plan will be our case study, but the toolkit will have general applicability to support better consideration of carbon impacts at key stages of local authority executive decision making. The toolkit will be co-developed with the Research &amp; Evaluation and Sustainability teams in GMCA and CAST researchers (Carly McLachlan and Angela Mae Minas). The trial with a wider representation of GMCA officers outside the Sustainability team will allow us to refine the toolkit for wider usage. The target user for this output is LA officers working across all briefs to ensure that carbon impact and co-benefits are considered across all areas of local authority decision-making. 


CAST working paper and blog on next steps for improving the evaluation of carbon and co-benefits in Local Authorities. The applicant will be the lead author of these outputs with CAST researchers and GMCA co-authors to further build collaboration. 


Workshop with local authority practitioners. Subject to complimentary PCAN funding will we extend the impact of this further through workshops with LA practitioners across the UK to iterate toolkit for wider application in different local authority settings, following an approach used to develop a carbon budget setting toolkit for local authorities - (www.carbonbudget.manchester.ac.uk). This will be led by the applicant with support from CAST researchers experienced in stakeholder engagement.",,"60127ea834b3d3.38645052","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=60127ea834b3d3.38645052&grantRef=ES%2FS012257%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/S012257/1","8A482C42-D021-4C9B-9997-A2A0D268001E","924BE15C-91F2-4AAD-941A-3F338324B6AE","9C10D78F-6430-4CA7-9528-B96B0762A4C6","CA804527-F81E-4D4E-9E42-0A16805FA9D2"
"NERC","NE/P016944/1","Research Grant","Research Tools and Methods","University of Exeter","Politics","Binner","Amy","","Natural Environment Valuation Tool","The first version of the Natural Environment Valuation (NEV) tool was developed as an offline integrated model. The tool provides an integrated platform for exploring ecosystem services flows and associated economic value delivered by the natural environment. The tool provides functionality for users to explore a range of ecosystem services, this grant funded initial development work on greenhouse gas sequestration from timber and recreation values related to land use. Following this proof of concept, additional funding has enabled the project team to substantially expand the remit of the tool to include food, timber, greenhouse gas sequestration, recreation, water quality, water quantity and biodiversity provided by the current composition of land use across England and Wales from 2020 out to the year 2060 based on mid-level projections of climate change from the IPCC (UKCIP09). The tool can be used at a variety of spatial scales including country, government office region, local authority, catchment and subcatchment, national parks, or the finest resolution which is a 2km grid cell level. 

Alter: Users are also able to use the tool to define scenarios which alter the current land use or prices. The tool predicts the response of land use and the flow of ecosystem services over time.
Optimise: The tool also includes an optimisation functionality which allows users to specify an objective (e.g. maximise economic value from woodlands, or maximise quantity outcomes such as a biodiversity metric) and a policy mechanism e.g. replacing agricultural land with new woodlands. The tool then calculates the optimal spatial locations to achieve the objective and returns a breakdown of the locations and changes in ecosystem service flows. Users can select which outputs they would like to view and have the option to download outputs or store their session.

The offline tool formed the basis for an online version, Natural Environment Valuation Online (NEVO) - recorded under software.","Model of mechanisms or symptoms - human","","","Yes","2018","We are in the process of working with several collaborators, including original project partners and new collaborations, to develop case studies for the use of NEVO. We are in the initial stages of exploring how these partners can use the tool to enhance their work, this includes:
- providing supplementary information/evidence and analysis
- providing a tool for retrospective analysis of projects
- supporting the development of funding mechanisms for projects
- enhancing engagement with stakeholders by facilitating real time analysis of land use scenarios","https://www.leep.exeter.ac.uk/nevo","5c877a993d9fd4.01940224","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=5c877a993d9fd4.01940224&grantRef=NE%2FP016944%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/P016944/1","E4DA172D-4F22-4458-879C-19BBFFCA54FD","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","961756BF-E31F-4A13-836F-0A09BA02385C","78CBD094-F724-428C-8E06-8470E5A7C1DD"
"NERC","NE/R00398X/1","Fellowship","Research Tools and Methods","Northumbria University","Fac of Engineering and Environment","Scott","Alister","","Nature tool the UK first environmental net gain tool July 2021","The NATURE Tool is a free user-friendly, easy to use Excel tool to assess the impact of land-use and management changes on natural capital performance. This will encourage both better decision-making and clearly demonstrate the results of positive sustainable action during development.

The NATURE Tool allows assessing up to 17 ecosystem services plus physical and mental health benefits through a scoring system indicating both, the direction and magnitude of project impacts. These scores are aggregated based on policy priorities resulting in an overall 'people score' for the project. 

The tool is free to use, applicable across the UK and designed for the application by non-specialists without requiring excessive data or time. The tool can be used across different project stages and at different scales. The minimum requirements are a defined site boundary, habitat data and data on the accessibility of greenspaces of the site.

The NATURE Tool can also be tailored to a local or corporate version, allowing the 'objective setter' to define policy priorities and natural capital objectives a project should achieve. This means that a local planning authority, for example, can create its own NATURE Tool version where natural capital priorities and objectives are pre-defined. Any applicable development project in that area then has clear and objectively measurable natural capital objectives to work towards.
Who should use the tool?

The NATURE Tool is aimed for all built environment professionals, planners and related stakeholders with a stake in projects that could affect natural capital such as through land-use or management changes. This includes most planning and development projects including housing and infrastructure. But it can also be used to assess the natural capital impact of conservation and afforestation projects, for example. Some examples of potential tool users can be found below.
Background

In the UK and beyond, there is a growing need for efficient ways to deliver built development such as housing and transport infrastructure in line with the goals of sustainable development. Widespread calls by sustainability leaders for a green recovery in response to Covid-19 have heightened this need. Over recent years, the ambition to secure environmental net-gain (ENG) from new developments have grown.ENG is an approach to development that aims to leave the natural environment in a measurably better state than beforehand. This environmental improvement ambition is the basis for HM Government's 25 Year Environment Plan.

Leaving the environment in 'a better state' must mean much more than net gain for biodiversity (species and habitats). Whilst this is important, evidence and advice presented by the Natural Capital Committee (an official advisor to HM Government) highlight that this ambition must involve protection and enhancement of the core contributions of natural features to wellbeing and prosperity.

These contributions - sometimes labelled ecosystem services - include regulation of air quality (such as through removal of particles from vehicle emissions), sequestration of carbon, mental and physical health benefits through access to natural outdoor spaces, and flood risk reduction. With the green recovery and 'build back better', now is the time to enable this ambition to be turned into project delivery. International assessments such as the IPBES global assessment report will ensure that ENG is promoted worldwide.

Sustainable land-use change will only be possible if natural capital is appropriately managed within land use planning and the built environment professions. While an increasing number of local planning authorities (LPAs) and developers recognise their obligations in relation to climate and nature, they often lack the time, resources and expertise to measure the impacts of proposals in relation to the impact on natural capital and the functionality of places for people.
Project Introduction

A key industry challenge for the built environment sector to be resolved was how natural capital impacts and net-gains for the environment can be measured and assessed objectively and efficiently. In response, WSP and the Ecosystems Knowledge Network (EKN), in collaboration with Northumbria University, have developed the Nature Assessment Tool for Urban and Rural Environments (short: the NATURE Tool) to enable built environment professionals to define and objectively assess, measure and manage to what extent new plans or developments achieve net-gains for the environment. While a variety of existing tools currently attempt to measure changes in ecosystem services throughout development, no tool currently situates this change within the context of net-gain. The project aim was to co-develop the NATURE Tool which answers the crucial environmental net-gain question as a new industry standard meeting needs in all four parts of the UK.

In June 2021, the first prototype of the tool was shared with industry partners for testing. Version 1.0 has been released on 27th July 2021 as a BETA version and is free to use. Our project partnership is in the process of testing the NATURE Tool at more than 30 projects across all 4 UK jurisdictions, covering different green infrastructure setting (urban to rural), project sizes and project types. The feedback from these tests will inform the development of the next NATURE Tool versions. Utilising the project partnership was essential for the tool to meet the requirements of the end-users - a tool developed by industry for industry. The NATURE Tool has been developed with partial funding from Innovate UK.

The NATURE Tool has three assessment pillars (asset, service flow and benefits) and results are summarised in two headline indicators, biodiversity and people. Within the NATURE Tool, biodiversity relates to impacts on wildlife and species resilience (this is captured primarily through BNG assessments). 'People' on the other hand relates to the impact of a development on people in the context of ecosystem services and health benefits.

Essentially, the tool user enters the habitat areas before and after an intervention as well as the level of accessibility of the site. The tool then automatically calculates natural capital performance and impact using six key indicators:

 Change Score - how will a project impact on the natural capital performance in relation to the baseline (pre-development)?
 Potential Score - to what extent has the maximum site potential for natural capital been achieved?
 Completeness Score - how complete is the assessment? This is defined as a measure of how detailed the entered habitat categories are and to what extent optional indicators were used.
 Policy Priority - the policy priority (high, medium and low) based on national policy or as defined by the objective setter. The policy priorities determine how ecosystem services and benefits are weighted when aggregated to an overall people (project) score.
 All Objectives Met? - will the project achieve the natural capital objectives as defined by the objective setter (see below)? Objectives can be defined for the Change Score, Potential Score and Completeness Score.
 Achievements - does the project achieve Net Gain (NG) and/or even a bronze, silver or gold 'excellence standard'? This helps you to highlight and communicate really positive natural capital impact.

The NATURE Tool can also be used to assess the natural capital baseline of a site. In this case, the tool calculates (per-ha) baseline scores as well as the potential scores only.","Improvements to research infrastructure","","","Yes","2021","the tool has been co developed with 38 partners and tested on a wide range of development and environmental applications. It was finally released in July 2021 and thus its impacts have yet to be fully realised. It provides the first UK tool to measure net environmental gain.","https://nature-tool.com/","6228b691d83b20.68647428","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=6228b691d83b20.68647428&grantRef=NE%2FR00398X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/R00398X/1","CF842AEF-EBA2-421B-BF74-36B62DDCF0D3","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","EF390CF0-ECD3-47D8-B9A8-7602AF319BEE","CC6423BB-AF63-4F29-BDD2-3B86D967509E"
"NERC","NE/H01182X/1","Research Grant","Research Tools and Methods","University of St Andrews","Geography and Sustainable Development","Teh","Yit Arn","","Automated static flux chamber method for greenhouse gases","Development of a new automated flux chamber method for measuring soil-plant-atmosphere exchanges of greenhouse gases at short (minutes, hours) timescales.","Improvements to research infrastructure","","","Yes","2010","Improved understanding of short-term responses of greenhouse gas fluxes to environmental variables.",,"5461ec052aeb99.94377651","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=5461ec052aeb99.94377651&grantRef=NE%2FH01182X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/H01182X/1","D868A78A-C859-4BC1-ADC9-6B3B669D7B87","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","C0E4FAD2-3C8B-410A-B6DF-3B9B9E433060","221E68A1-2DF4-4B4F-8E42-1C8569E2419A"
"EPSRC","EP/I033351/1","Research Grant","Research Tools and Methods","University of Cambridge","Engineering","Evans","Steve","","Sustainable business model archetypes","Abstract
Eco-innovations, eco-efficiency and corporate social responsibility practices define much of the current industrial sustainability agenda. While important, they are insufficient in themselves to deliver the holistic changes necessary to achieve long-term social and environmental sustainability. How can we encourage corporate innovation that significantly changes the way companies operate to ensure greater sustainability?

Sustainable business models (SBM) incorporate a triple bottom line approach and consider a wide range of stakeholder interests, including environment and society. They are important in driving and implementing corporate innovation for sustainability, can help embed sustainability into business purpose and processes, and serve as a key driver of competitive advantage.

Many innovative approaches may contribute to delivering sustainability through business models, but have not been collated under a unifying theme of business model innovation. The literature and business practice review has identified a wide range of examples of mechanisms and solutions that can contribute to business model innovation for sustainability. The examples were collated and analysed to identify defining patterns and attributes that might facilitate categorisation.

Sustainable business model archetypes are introduced to describe groupings of mechanisms and solutions that may contribute to building up the business model for sustainability. The aim of these archetypes is to develop a common language that can be used to accelerate the development of sustainable business models in research and practice. The archetypes are: Maximise material and energy efficiency; Create value from 'waste'; Substitute with renewables and natural processes; Deliver functionality rather than ownership; Adopt a stewardship role; Encourage sufficiency; Re-purpose the business for society/environment; and Develop scale-up solutions.","Improvements to research infrastructure","","","Yes","2014","The literature and practice of innovations for sustainability is vast but fragmented, with various conceptual papers and many potential innovative approaches that may contribute to business model innovation for sustainability. This research proposes a categorisation of &quot;sustainable business model archetypes&quot; to unify these disparate contributions that deliver sustainability from the literature and practice under a common theme.

The archetypes aim to: Categorise and explain business model innovations for sustainability; Provide mechanisms to assist the innovation process for embedding sustainability in business models (e.g. through case studies and workshops); Define a clearer research agenda for business models for sustainability; and Provide exemplars for businesses to de-risk the SBM innovation process.

The eight archetypes developed are:
1.
Maximise material and energy efficiency

2.
Create value from 'waste'

3.
Substitute with renewables and natural processes

4.
Deliver functionality, rather than ownership

5.
Adopt a stewardship role

6.
Encourage sufficiency

7.
Re-purpose the business for society/environment

8.
Develop scale-up solutions


The sustainable business model archetypes are viewed as a starting point to broaden and unify the research agenda for sustainable business models.","https://www.sciencedirect.com/science/article/pii/S0959652613008032","5aa653e5559754.90334829","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=5aa653e5559754.90334829&grantRef=EP%2FI033351%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I033351/1","55AB8CA6-FEC5-48D1-B3D8-13ED830934CC","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","68F9AC3F-225C-4FAD-A645-C2F5A9BBB85A"
"NERC","NE/L014246/1","Research Grant","Research Tools and Methods","University of Surrey","Centre for Environment & Sustainability","Sadhukhan","Jhuma","","Life Cycle Sustainability Assessment - methodology as well as software","A novel framework integrating dynamic simulation (DS), life cycle sustainability assessment (LCSA) and techno-economic assessment (TEA) of bioelectrochemical system (BES) has been developed to study for the first time wastewater treatment by removal of chemical oxygen demand (COD) by oxidation in anode and thereby harvesting electron and proton for metal and mineral recovery as well as carbon dioxide reduction reaction or reuse to produce products in cathode, overall resource recovery from waste, when all other technologies fail.","Improvements to research infrastructure","","","Yes","2018","The METEORR project has developed Life Cycle Assessment (LCA) (according to the standards 14040, 14041 and 14044, by the International Organisation for Standardization (ISO)) and Life Cycle Sustainability Assessment (LCSA) (ISO 26000 (Guidance on Social Responsibility) framework to provide an integrated way of assessing sustainability indicators of a system or a set of services and can be applied for sustainable resource recovery from waste (RRfW) systems. Sustainability and feasibility of a resource recovery strategy from wastes in a circular economy are governed by avoided environmental impacts and cost-effective transformation of an environmental contaminant into a valuable resource, e.g. as a coproduct by making use of an existing infrastructure as much as possible. Policy recommendations are detailed here: http://www.theibest.org/Life%20Cycle%20Sustainability%20Assessment%20(LCSA)%20-%20end%20of%20project%20report.pdf",,"5aa665026569e0.96695828","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=5aa665026569e0.96695828&grantRef=NE%2FL014246%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/L014246/1","B45DB07A-A707-4005-A8ED-D1F564C28853","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","67B34D05-3A52-4A09-8FF9-F2398D60E246","989E82E7-7E33-4A80-99D4-57158703E3C1"
"NERC","NE/I021276/1","Fellowship","Research Tools and Methods","University of Manchester","Earth Atmospheric and Env Sciences","Allen","Grant","http://orcid.org/0000-0002-7070-3620","Kriging of aircraft sampling for Langrangian flux calculation","New methods for Kriging of aircraft sampling to enable Langrangian flux calculation, e.g. for regional-scale emissions of greenhouse gases","Improvements to research infrastructure","","","Yes","2014","Regulatory reporting of greenhouse gas emissions for the UK. Air quality monitoring, modelling and prediction.",,"546497b2af1c76.78079145","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=researchmaterial&outcomeId=546497b2af1c76.78079145&grantRef=NE%2FI021276%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/I021276/1","154D30D7-62DE-4464-B258-12ED427B0FD6","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","68D0E3C9-9246-4CFC-B5E9-48584CF82993","8B6885F9-222E-490A-BE53-263C78C64796"
