"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Description","Type of Technology","Software Open Sourced?","Year Produced","Impact","Url","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"EPSRC","EP/N009746/1","Research Grant","Software and Technical Products","Newcastle University","Sch of Engineering","Yu","Eileen","http://orcid.org/0000-0002-6872-975X","Global Sustainability and Engineering analysis of Resource recovery Technologies","The software developed, Global Sustainability and Engineering analysis of Resource recovery Technologies (GSERT) at Surrey, applies life cycle sustainability assessment (LCSA) alongside techno-economic and policy analyses for design and decision making of bioelectrochemical systems (BES) for resource recovery from wastewaters (RRfW), e.g. COD removal thereby wastewater treatment in anode and functional nanomaterial, metal, mineral, salt, etc. recovery and carbon dioxide reuse in added value chemical in cathode.","Software","","2017","GSERT now includes social life cycle assessment (SLCA) of RRfW systems. GSERT in the current state of the art also includes life cycle impact assessment (LCIA) methods for environmental feasibility assessment.
1. ILCD 
2. CML method
3. USA Traci
4. Impact 2002+
5. Eco-Indicator 99
GSERT also carries out life cycle costing for aconomic feasibility assessment. 
The sustainability metrics included &quot;go beyond carbon to understand waste as a resource from the perspective of ecological rather than carbon outcomes&quot;. These are: savings in primary resources (fossils, land, water and abiotic), global warming, ozone depletion, acidification, urban smog, eutrophication, aquatic and terrestric ecotoxicity; and human health related impacts: human toxicity cancerous and non-cancerous, asthma, etc., potentials. Social country and sector specific indicators fall under human rights, working conditions, community impacts and governance categories. Our vision is to give an informed holistic decision on RRfW using the software, and have a global outreach via its web-based application. The software also explores country specific policy analysis for RRfW systems, including examples from other countries. GSERT has generated licensing interests amongst leading industries in the area of BES. Licensing will be pursued in collaboration with industries.","http://www.theibest.org/Life%20Cycle%20Sustainability%20Assessment%20(LCSA)%20-%20end%20of%20project%20report.pdf","5aa9d2c2a89ab1.42388164","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5aa9d2c2a89ab1.42388164&grantRef=EP%2FN009746%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/N009746/1","09120C40-14CF-44BF-BDC9-632E956A043C","798CB33D-C79E-4578-83F2-72606407192C","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","858A3AF3-4E29-4BCE-BBD0-D234CDC525CE"
"NERC","NE/L014246/1","Research Grant","Software and Technical Products","University of Surrey","Centre for Environment & Sustainability","Sadhukhan","Jhuma","","Global Sustainability and Engineering analysis of Resource recovery Technologies (GSERT)","The software developed, Global Sustainability and Engineering analysis of Resource recovery Technologies (GSERT) at Surrey, applies life cycle sustainability assessment (LCSA) alongside techno-economic and policy analyses for design and decision making of bioelectrochemical systems (BES) for resource recovery from wastewaters (RRfW), e.g. COD removal thereby wastewater treatment in anode and functional nanomaterial, metal, mineral, salt, etc. recovery and carbon dioxide reuse in added value chemical in cathode.","Software","","2018","GSERT now includes social life cycle assessment (SLCA) of RRfW systems. GSERT in the current state of the art also includes life cycle impact assessment (LCIA) methods for environmental feasibility assessment.
1. ILCD 
2. CML method
3. USA Traci
4. Impact 2002+
5. Eco-Indicator 99
GSERT also carries out life cycle costing for aconomic feasibility assessment. 
The sustainability metrics included &quot;go beyond carbon to understand waste as a resource from the perspective of ecological rather than carbon outcomes&quot;. These are: savings in primary resources (fossils, land, water and abiotic), global warming, ozone depletion, acidification, urban smog, eutrophication, aquatic and terrestric ecotoxicity; and human health related impacts: human toxicity cancerous and non-cancerous, asthma, etc., potentials. Social country and sector specific indicators fall under human rights, working conditions, community impacts and governance categories. Our vision is to give an informed holistic decision on RRfW using the software, and have a global outreach via its web-based application. The software also explores country specific policy analysis for RRfW systems, including examples from other countries. GSERT has generated licensing interests amongst leading industries in the area of BES. Licensing will be pursued in collaboration with industries.","http://www.theibest.org/Life%20Cycle%20Sustainability%20Assessment%20(LCSA)%20-%20end%20of%20project%20report.pdf","58c91812645b54.22020680","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=58c91812645b54.22020680&grantRef=NE%2FL014246%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/L014246/1","B45DB07A-A707-4005-A8ED-D1F564C28853","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","67B34D05-3A52-4A09-8FF9-F2398D60E246","989E82E7-7E33-4A80-99D4-57158703E3C1"
"NERC","NE/L014149/1","Research Grant","Software and Technical Products","University of Leeds","Civil Engineering","Purnell","Phil","","TESARREC™ software (Tool for techno-economic and sustainability analysis of resource recovery technologies for Circular economy)","A software tool for techno-economic and sustainability analysis of resource recovery technologies for circular economy (TESARREC™) has been developed at the University of Surrey (MeteoRR team) and is proceeding towards commercialisation. Initially focused on bioelectrochemical systems (Shemfe et al. 2018b), TESARREC™ will be expanding its capability to evaluate sustainability and design of a wide range of wastewater treatment, resource recovery from waste and (bio)remediation technologies for valorisation of waste streams into added value products. 
TESARREC™ has uniquely embedded life cycle sustainability assessment (LCSA) encompassing (environmental) life cycle assessment (LCA), (economic) life cycle costing (LCC) and social LCA (SLCA) methodologies, in accordance with the ISO 14040, 14041, 14044 and 26000 standards, to address an important market need by enabling firms to easily design and simulate sustainable process configurations and systems topologies including new innovations for reducing environmental footprints of their waste management facilities. TESARREC™ resolves an unmet market-need leading to benefits to both users and the environment.","Software","","2017","No impacts to report as yet.",,"5c828d55656592.84913916","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5c828d55656592.84913916&grantRef=NE%2FL014149%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/L014149/1","FF7802D3-E2D2-4329-B310-02174DEE5A26","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","83D87776-5958-42AE-889D-B8AECF16B468","20C41513-4169-4544-AAC7-D255A0731E24"
"EPSRC","EP/N009746/1","Research Grant","Software and Technical Products","Newcastle University","Sch of Engineering","Yu","Eileen","http://orcid.org/0000-0002-6872-975X","TESARREC™ (Tool for techno-economic and sustainability analysis of resource recovery technologies for Circular economy)","TESARREC™ (Tool for techno-economic and sustainability analysis of resource recovery technologies for Circular economy) supported by the numerous UKRI grants, NERC: NE/L014246/1, EPSRC: EP/N009746/1, NERC: NE/R013306/1, and NERC: &quot;Life Cycle Sustainability and Policy Analyses of Plausible Systems for Resource Recovery from Waste (RRfW)&quot; evaluates sustainability of BES using environmental: LCA, economic: LCC and social: SLCA criteria, in accordance with the ISO 14040, 14041, 14044 and 26000 methodologies.","Software","","2018","TESARREC™ UK Trademark: UK00003321198 includes Goods and Services under the Class: 9, 40 and 42. A few of this exhaustive list include: Computer software for use in evaluating the economic, environmental, social and policy implications of organic compounds productions from waste; Computer software for use in accessing datasets of metal and organic pollutant concentrations in residential, municipal and industrial wastewater streams; Computer software for use in optimising the operational, economic and environmental performances of biorefinery processes and resource recovery technologies. 
University of Surrey holds this IP and software.","https://www.youtube.com/watch?v=MR1HmiJOuH4&feature=youtu.be","5c74268ec201d7.24049892","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5c74268ec201d7.24049892&grantRef=EP%2FN009746%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/N009746/1","09120C40-14CF-44BF-BDC9-632E956A043C","798CB33D-C79E-4578-83F2-72606407192C","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","858A3AF3-4E29-4BCE-BBD0-D234CDC525CE"
"NERC","NE/P016944/1","Research Grant","Software and Technical Products","University of Exeter","Politics","Binner","Amy","","Natural Environment Valuation Online (NEVO) tool V1.0 (soft release)","The Natural Environment Valuation Online (NEV) tool provides a web-based integrated platform for exploring ecosystem services flows and associated economic value delivered by the natural environment. he tool provides functionality for users to explore a range of ecosystem services, this grant funded initial development work on greenhouse gas sequestration from timber and recreation values related to land use. Following this proof of concept, additional funding has enabled the project team to substantially expand the remit of the tool to include food, timber, greenhouse gas sequestration, recreation, water quality, water quantity and biodiversity provided by the current composition of land use across England and Wales from 2020 out to the year 2060 based on mid-level projections of climate change from the IPCC (UKCIP09). The tool can be used at a variety of spatial scales including country, government office region, local authority, catchment and subcatchment, national parks, or the finest resolution which is a 2km grid cell level. 

Alter: Users are also able to use the tool to define scenarios which alter the current land use or prices. The tool predicts the response of land use and the flow of ecosystem services over time.
Optimise: The tool also includes an optimisation functionality which allows users to specify an objective (e.g. maximise economic value from woodlands, or maximise quantity outcomes such as a biodiversity metric) and a policy mechanism e.g. replacing agricultural land with new woodlands. The tool then calculates the optimal spatial locations to achieve the objective and returns a breakdown of the locations and changes in ecosystem service flows. Users can select which outputs they would like to view and have the option to download outputs or store their session.","Webtool/Application","","2018","We are in the process of working with several collaborators, including original project partners and new collaborations, to develop case studies for the use of NEVO. We are in the initial stages of exploring how these partners can use the tool to enhance their work, this includes:
- providing supplementary information/evidence and analysis
- providing a tool for retrospective analysis of projects
- supporting the development of funding mechanisms for projects
- enhancing engagement with stakeholders by facilitating real time analysis of land use scenarios","http://www.leep.exeter.ac.uk/nevo","5c877ed7da94d7.50213618","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5c877ed7da94d7.50213618&grantRef=NE%2FP016944%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/P016944/1","E4DA172D-4F22-4458-879C-19BBFFCA54FD","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","961756BF-E31F-4A13-836F-0A09BA02385C","78CBD094-F724-428C-8E06-8470E5A7C1DD"
"EPSRC","EP/N009746/1","Research Grant","Software and Technical Products","Newcastle University","Sch of Engineering","Yu","Eileen","http://orcid.org/0000-0002-6872-975X","University of Surrey: TESARREC™ (Trademark: UK00003321198) https://tesarrec.web.app/sustainability","The University of Surrey software TESARREC™ (Trademark: UK00003321198) https://tesarrec.web.app/sustainability has been protected under the following classes of software and technical product.

Class 9

Computer software; Data processing software; Industrial process control software; Computer software for use in evaluating waste recycling and management; Computer software for use in evaluating the technical feasibility and life cycle sustainability of resource recovery from waste streams; Computer software for use in evaluating the techno-economic, environmental and social sustainability of recovery of metals, minerals, salts, and organic compounds from biorefinery processes and resource recovery technologies; Computer software for use in evaluating technical feasibility, life cycle assessment and sustainability of bioremediation and valorisation technologies present in waste streams; Computer software for use in evaluating the dynamic performance of bioremediation and valorisation technologies present in waste streams; Computer software for use in evaluating industrial, residential and municipal waste streams; Computer software for use in evaluating industrial, residential and municipal waste streams associated with metals, minerals, salts and organic compounds; Computer software for use in evaluation of organic compounds synthesized by carbon dioxide capture; Computer software for use in evaluating the dynamic performance of organic compounds productions by carbon dioxide capture; Computer software for use in evaluating technical feasibility and life cycle sustainability of organic compounds productions from carbon dioxide capture; Computer software for use in optimising recovery of metals, minerals, salts and organic compounds from waste streams; Computer software for use in evaluating the dynamic performance of recovery of metals, minerals, salts and organic compounds from waste streams; Computer software for use in waste management supply chain optimisation; Computer software for use in waste management, namely for managing the acquisition, sorting, reusing and recycling of waste to avoid landfill or disposal; Computer software for providing business models relating to waste management; Computer software for evaluation and management of biorefinery; Computer software for use in evaluating the technical feasibility, life cycle assessment and sustainability of biorefinery processes; Computer software for use in evaluating the technical feasibility, life cycle assessment and sustainability of biorefinery lignocellulosic platforms encompassing physical, mechanical, pre-treatment, biochemical, electrochemical, thermochemical and chemical unit operations; Computer software for use in evaluating the social and policy implications of recovery of metals, minerals, salts, and organic compounds from biorefinery processes and resource recovery technologies; Computer software for use in evaluating the social and policy implications of organic compounds productions from carbon dioxide capture; Computer software for use in accessing datasets of metal and organic pollutant concentrations in residential, municipal and industrial wastewater streams; Computer software for use in optimising the operational, economic and environmental performances of biorefinery processes and resource recovery technologies.

Class 40

Providing information relating to the recycling of waste; Consultancy relating to the destruction of waste and trash; Consultancy relating to the incineration of waste and trash; Consultancy relating to the recycling of waste and trash; Information, advice and consultancy services relating to the recycling of waste and trash. 

Class 42

Scientific and technological services; Data modelling services for industrial research and analysis; Industrial analysis and research; Scientific research and analysis; Scientific consultancy; Computer aided industrial research services; Computer aided industrial analysis services; Computer aided scientific research services; Computer aided scientific analysis services; Environmental consultancy services; Research relating to waste analysis; Advisory services relating to environmental protection; Advisory services relating to the safety of the environment; Advisory services relating to pollution control; Advisory services relating to environmental pollution; Providing online, non-downloadable software; Providing software on a global computer network.","Software","Yes","2020","Sadhukhan et al. at the Centre for Environment and Sustainability in the University of Surrey have created TESARREC™ (UK Trademark: 00003321198, 2015) to solve interdisciplinary sustainability problems by web-based software for use in deduction of default technical, economic, environmental and social life cycle performance evaluations of products and services for net zero greenhouse gas emissions (https://tesarrec.web.app/sustainability).","https://tesarrec.web.app/sustainability","5fc21883a05f57.13976401","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5fc21883a05f57.13976401&grantRef=EP%2FN009746%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/N009746/1","09120C40-14CF-44BF-BDC9-632E956A043C","798CB33D-C79E-4578-83F2-72606407192C","5E2B04DD-4A03-45ED-9892-61C5CCB8AC68","858A3AF3-4E29-4BCE-BBD0-D234CDC525CE"
"NERC","NE/L014246/1","Research Grant","Software and Technical Products","University of Surrey","Centre for Environment & Sustainability","Sadhukhan","Jhuma","","University of Surrey: TESARREC™ (Trademark: UK00003321198) https://tesarrec.web.app/sustainability","The University of Surrey software TESARREC™ (Trademark: UK00003321198) https://tesarrec.web.app/sustainability has been protected under the following classes of software and technical product.

Class 9

Computer software; Data processing software; Industrial process control software; Computer software for use in evaluating waste recycling and management; Computer software for use in evaluating the technical feasibility and life cycle sustainability of resource recovery from waste streams; Computer software for use in evaluating the techno-economic, environmental and social sustainability of recovery of metals, minerals, salts, and organic compounds from biorefinery processes and resource recovery technologies; Computer software for use in evaluating technical feasibility, life cycle assessment and sustainability of bioremediation and valorisation technologies present in waste streams; Computer software for use in evaluating the dynamic performance of bioremediation and valorisation technologies present in waste streams; Computer software for use in evaluating industrial, residential and municipal waste streams; Computer software for use in evaluating industrial, residential and municipal waste streams associated with metals, minerals, salts and organic compounds; Computer software for use in evaluation of organic compounds synthesized by carbon dioxide capture; Computer software for use in evaluating the dynamic performance of organic compounds productions by carbon dioxide capture; Computer software for use in evaluating technical feasibility and life cycle sustainability of organic compounds productions from carbon dioxide capture; Computer software for use in optimising recovery of metals, minerals, salts and organic compounds from waste streams; Computer software for use in evaluating the dynamic performance of recovery of metals, minerals, salts and organic compounds from waste streams; Computer software for use in waste management supply chain optimisation; Computer software for use in waste management, namely for managing the acquisition, sorting, reusing and recycling of waste to avoid landfill or disposal; Computer software for providing business models relating to waste management; Computer software for evaluation and management of biorefinery; Computer software for use in evaluating the technical feasibility, life cycle assessment and sustainability of biorefinery processes; Computer software for use in evaluating the technical feasibility, life cycle assessment and sustainability of biorefinery lignocellulosic platforms encompassing physical, mechanical, pre-treatment, biochemical, electrochemical, thermochemical and chemical unit operations; Computer software for use in evaluating the social and policy implications of recovery of metals, minerals, salts, and organic compounds from biorefinery processes and resource recovery technologies; Computer software for use in evaluating the social and policy implications of organic compounds productions from carbon dioxide capture; Computer software for use in accessing datasets of metal and organic pollutant concentrations in residential, municipal and industrial wastewater streams; Computer software for use in optimising the operational, economic and environmental performances of biorefinery processes and resource recovery technologies.

Class 40

Providing information relating to the recycling of waste; Consultancy relating to the destruction of waste and trash; Consultancy relating to the incineration of waste and trash; Consultancy relating to the recycling of waste and trash; Information, advice and consultancy services relating to the recycling of waste and trash. 

Class 42

Scientific and technological services; Data modelling services for industrial research and analysis; Industrial analysis and research; Scientific research and analysis; Scientific consultancy; Computer aided industrial research services; Computer aided industrial analysis services; Computer aided scientific research services; Computer aided scientific analysis services; Environmental consultancy services; Research relating to waste analysis; Advisory services relating to environmental protection; Advisory services relating to the safety of the environment; Advisory services relating to pollution control; Advisory services relating to environmental pollution; Providing online, non-downloadable software; Providing software on a global computer network.","Software","Yes","2020","Sadhukhan et al. at the Centre for Environment and Sustainability in the University of Surrey have created TESARREC™ (UK Trademark: 00003321198, 2015) to solve interdisciplinary sustainability problems by web-based software for use in deduction of default technical, economic, environmental and social life cycle performance evaluations of products and services for net zero greenhouse gas emissions (https://tesarrec.web.app/sustainability).","https://tesarrec.web.app/sustainability","5fc21883a05f57.13976401","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=5fc21883a05f57.13976401&grantRef=NE%2FL014246%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/L014246/1","B45DB07A-A707-4005-A8ED-D1F564C28853","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","67B34D05-3A52-4A09-8FF9-F2398D60E246","989E82E7-7E33-4A80-99D4-57158703E3C1"
"EPSRC","EP/K003593/1","Research Grant","Software and Technical Products","Imperial College London","Imperial College Business School","Mulligan","Catherine","","Han, J. - COPE: Crop disease detection software","Developers: Liangxiu Han and Muhammad Salman Haleem

The yields of crop plants are deleteriously affected by various diseases. Effective control measures
are dependent on symptom recognition and assessment of severity. Currently, these are achieved
by visual observation and estimation when crop walking which leads to inaccuracy and bias as well
as being costly and time consuming. In collaboration with our partner organisation who will
provide large-scale crop image datasets, this project aims to develop a novel diagnostic
software using image processing and machine learning approaches to both identify and measure
severity of diseases in wheat crops which will give growers more accurate information on which to
base decisions about control strategies.","Software","Yes","2015","This proposed work is extremely relevant to this call under the Digital Economy theme. Food is of
key importance in a sustainable society. Plant diseases are a major foe to global food security,
which have the potential to significantly decrease crop yields and increase postharvest losses,
especially in the face of climate change. Disease prevention and management are essential for the
sustainability of our society. This project aims to develop a software tool to effectively detect crop
diseases, reduce yield losses, improve food security and therefore achieve sustainability.",,"55a535877af203.80075382","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=55a535877af203.80075382&grantRef=EP%2FK003593%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K003593/1","CDC63D48-88DC-4C4F-8C7B-BEA9E51884BD","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","14B86238-52AC-4BCD-A3B4-3B20B17270C3"
"NERC","NE/M000206/1","Research Grant","Software and Technical Products","University of Cambridge","Zoology","Sutherland","William","","Cool Farm Tool Biodiversity Module","The Cool Farm Tool is an industry-led environmental decision-support tool used by members of the Cool Farm Alliance (www.coolfarmtool.org). The current focus is to develop a suite of tools according to the elements of farm-scale sustainability performance assessment identified by the Sustainable Agriculture Initiative Platform (http://www.saiplatform.org/). With additional support from a BESS Programme Knowledge Exchange grant (NE/M000206/1), we have developed a biodiversity module for the Cool Farm Tool. It uses a scoring system for farms to rapidly assess their overall management of biodiversity, based on rigorous, unbiased assessment of evidence for the effectiveness of specific actions (Dicks et al. (in prep for Environmental Modelling and Software). 
The tool has been integrated into the online Cool Farm Tool by the software company Anthesis Group, funded directly by the Cool Farm Alliance.","Webtool/Application","","2016","The Cool Farm Biodiversity module has so far been tested by Unilever, the Game and Wildlife Conservation Trust and FarmCare. Ultimately, this software tool will gather data and potentially improve on-farm biodiversity management on thousands of farms in European supply chains.

A New Zealand Government-funded project called 'The Sustainability Dashboard' is developing a New Zealand version of the tool.","http://www.coolfarmtool.org","56a116ab9e8062.50874038","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=56a116ab9e8062.50874038&grantRef=NE%2FM000206%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M000206/1","D299711A-F0ED-469F-9810-1FE7D6DB6BF0","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","D1774113-D5D2-4B7C-A412-66A90FE4B96F","9143EA68-3CD4-415A-81D6-AB06B8E3C734"
"NERC","NE/N014472/1","Fellowship","Software and Technical Products","University of East Anglia","Biological Sciences","Dicks","Lynn","","Cool Farm Tool Biodiversity Metric","The Cool Farm Tool is an industry-led environmental decision-support tool used by members of the Cool Farm Alliance (www.coolfarmtool.org). The current focus is to develop a suite of tools according to the elements of farm-scale sustainability performance assessment identified by the Sustainable Agriculture Initiative Platform (http://www.saiplatform.org/). With additional support from a BESS Programme Knowledge Exchange grant (NE/M000206/1), we have developed a biodiversity module for the Cool Farm Tool. It uses a scoring system for farms to rapidly assess their overall management of biodiversity, based on rigorous, unbiased assessment of evidence for the effectiveness of specific actions (Crowther et al. (in prep for Environmental Modelling and Software). 
The tool has been integrated into the online Cool Farm Tool by the software company Anthesis Group, funded directly by the Cool Farm Alliance.
As part of the SUFICA project (BB/R016429/1) a new module in the Biodiversity metric was created, for farms in the Mediterranean and Semi-Arid environments. This was designed and tested in partnership with farmers from Spain and Chile.","Webtool/Application","","2016","The Cool Farm Biodiversity module has so far been tested by Unilever, the Game and Wildlife Conservation Trust and FarmCare. Ultimately, this software tool will gather data and potentially improve on-farm biodiversity management on thousands of farms in European supply chains.

A New Zealand Government-funded project called 'The Sustainability Dashboard' is developing a New Zealand version of the tool.

In 2021, the Mediterrean and Semi-Arid version of the Cool Farm Biodiveristy metric it will be used by citrus suppliers to Tesco, to report their biodiversity management. This step is being overseen by AM Fresh Ltd.","http://www.coolfarmtool.org/biodiversity","56a116ab9e8062.50874038","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=softwareandtechnicalproduct&outcomeId=56a116ab9e8062.50874038&grantRef=NE%2FN014472%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/N014472/1","D6C8EE46-5CE4-458A-B46A-5CC428603307","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","88C5F7F9-8DCC-41C9-BC4F-F37DA01075C7","69BDD0C0-3AE5-43EC-9F4C-3B1AB85C9ADA"
