"Funding OrgName","Project Reference","ProjectCategory","Outcome Type","LeadRO Name","Department","PI Surname","PI First Name","PI Orcid iD","Company Name","Description","Year Established","Impact","Url","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"ESRC","ES/M006433/1","Research Grant","Spin Outs","Goldsmiths College","Politics","Montgomerie","Johnna","","Community Reinvest","Founded in 2014 by Jo Ram and Joel Benjamin (RA on Crafting an Alternative), Community Reinvest is a Community Interest Company (C.I.C.) LTD by guarantee and registered with Companies House in England and Wales. Community Reinvest believes that with divestment and reinvestment, it is possible to create flourishing low carbon, local economies. We exist to assist local authorities demonstrate civic leadership by divesting from fossil fuels and reinvesting funds in the local economy, in a manner that has clear social, economic and environmental benefits.","2015","Over the last year, we worked with 350.org, Platform, and Friends of the Earth to create a map tool and database that provides detailed investment information, including amounts invested in the top 200 fossil fuel companies, for all 80 UK local authority pension funds.","http://communityreinvest.org.uk/","56c1aa9c446ee5.87875114","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=spinout&outcomeId=56c1aa9c446ee5.87875114&grantRef=ES%2FM006433%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/M006433/1","C0B34244-54F0-4F6E-A881-CEDB69540409","924BE15C-91F2-4AAD-941A-3F338324B6AE","A9B1866C-EE3E-4D81-A83C-118745E9433E","06ECD0B2-70F0-43EF-A6BC-ECA9861FA4FC"
"EPSRC","EP/R014000/1","Research Grant","Spin Outs","University of Cambridge","Pathology","Ajioka","James","","Colorifix Ltd.","Colorifix has developed a new method to dye textiles where microbes are used to produce, deposit and fix pigments to fabric. 

The patent pending process can use engineered microbes

NB: Although the company was registered in 2016, we did not gain significant funding until 2018. It is at this point where the LCVD award (and Open Plant) award had positive impact on my profile for investors.","2016","The patent pending process can use engineered microbes The method developed by Colorifix is sustainable and can be made into a circular economy. Importantly, the production of pigments are from engineered microbes that are produced using synthetic biology methods developed in the UK, supported by RCUK (BBSRC, EPSRC). These include DNA assembly methods, LOOP and BASIC. Importantly the company also has engaged with DNA foundries in London and in Norwich (Earlham Institute). From an environmental standpoint, compared to conventional methods based on petrochemical dyes and dyeing: No hazardous chemicals (no taxes or fines for use/disposal) No extraction of pigment (80% cost of fermented products) 90% reduction of water use 30% reduction in energy use <1% dye waste (3x better than industry standard) Combines two processes: lower carbon footprint",,"5c8787bf2df0b3.10248553","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=spinout&outcomeId=5c8787bf2df0b3.10248553&grantRef=EP%2FR014000%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/R014000/1","B8C212FA-F497-44C4-9EB5-4F58FAE1C962","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","5F27D4AF-774C-4262-BA14-B106FF72F14E"
"BBSRC","BB/L014130/1","Research Grant","Spin Outs","University of Cambridge","Plant Sciences","Haseloff","James","","Colorifix","Colorifix has developed a new method to dye textiles where microbes are used to produce, deposit and fix pigments to fabric. 

The patent pending process can use engineered microbes","2016","The method developed by Colorifix is sustainable and can be made into a circular economy. Importantly, the production of pigments are mostly from engineered microbes that are produced using synthetic biology methods developed in the UK, supported by RCUK (BBSRC, EPSRC). These include DNA assembly methods, LOOP and BASIC. Importantly, the company also has engaged with DNA foundries in London and in Norwich (Earlham Institute). From an environmental standpoint, compared to conventional methods based on petrochemical dyes and dyeing: No hazardous chemicals (no taxes or fines for use/disposal) No extraction of pigment (80% cost of fermented products) 90% reduction of water use 30% reduction in energy use <1% dye waste (3x better than industry standard) Combines two processes: lower carbon footprint","https://colorifix.com/","5c8783b030e922.25935425","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=spinout&outcomeId=5c8783b030e922.25935425&grantRef=BB%2FL014130%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/L014130/1","35FA0CFF-67C8-4FD2-A5B8-BE1C7F76F318","2512EF1C-401B-4222-9869-A770D4C5FAC7","D1774113-D5D2-4B7C-A412-66A90FE4B96F","23F646D7-B863-42A3-B1DC-FC3BB268CDE4"
"BBSRC","BB/L013940/1","Research Grant","Spin Outs","University of Nottingham","School of Life Sciences","Minton","Nigel","","PHASE BIOLABS LTD","Phase Biolabs Ltd is a biotechnology and carbon recycling start-up launched developing carbon capture and utilisation (CCU) technology. We are tackling the problem of industrial greenhouse gas (GHG) emissions and the need for alternative low carbon and sustainable chemical manufacturing routes to traditional petroleum-based routes. 

Phase Biolabs is working with industrial partners to commercialise their gas fermentation platform to recycle waste carbon dioxide (CO2) emissions into sustainable ethanol before expanding into other product markets.","2020","Phase Biolabs is not a spin-out. It is a start-up by an SBRC PhD student","https://www.phasebiolabs.com/","6046694b738c28.11727097","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=spinout&outcomeId=6046694b738c28.11727097&grantRef=BB%2FL013940%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/L013940/1","320A74B3-120A-4DE7-BCE3-85D0959CD989","2512EF1C-401B-4222-9869-A770D4C5FAC7","936D002F-A8D1-4A93-AE5D-825ED0903D8D","CAB13A88-E7C2-42DB-973E-3D6A5E305AF7"
"EPSRC","1836514","Studentship","Spin Outs","Brunel University","Mech. Engineering, Aerospace & Civil Eng",,,"","WASE LIMITED","WASE provides decentralised wastewater treatment and biogas production plant, that are designed to treat wastewater for communities and industry. The system is modular allowing it to easily be scaled and adapt to the growing demand of wastewater treatment as communities and business grow. Our solution reduces the size and cost of wastewater treatment making it accessible to communities that are faced with poor sanitation and energy access, which stifles economic growth. 
We use a circular economy model to recover the valuable elements within wastewater that can be used locally. Most of our competitors focus on the removal of contaminants, with the recovery of one or two elements. We recover all the valuable elements; energy, nutrients and water. Additionally, our modular technology is designed to suit differing needs depending on the site and the customer. Our circular approach is the most sustainable option for decentralised sanitation that minimizes waste and reduces our customer's costs. The modularity means we can increase the capacity of the system from 10 users to 20,000+. The energy we produce is high quality, and the customer can choose how they utilise it, whether they convert the methane into electricity or use it for cooking, heating or cooling. 
The water crisis is the largest global threat due to the potential impact it has on society, along with energy price shocks and biodiversity loss. 2.3 billion people do not have adequate sanitation, 1.4 billion people lack access to electricity and 2.7 billion people do not have access to clean cooking facilities. The water-energy-food nexus highlights the links between these challenges and the need for solutions that address all three areas. Water, Sanitation and Hygiene (WASH) is often seen as a social issue; however, the world bank estimates that $169 billion is lost globally every year due to poor sanitation. Across 18 countries in Africa the World Bank estimates 20 million latrines are required to eliminate open defecation with the current population. Most countries are investing as little as 0.1% of GDP into sanitation services even though economic losses are around 1-2.5%. There are multiple issues surrounding sanitation service, creating bottle necks that are limiting investment into new services. One of the main issues is the cost of installing traditional pit latrines or centralised treatment that requires costly treatment and vast amounts of water. These issues are also present in refugee camps and across other continents such as Asia; India is losing an estimated $53.8 billion from poor sanitation. Think tanks and humanitarian agencies such as Chatham House and The Toilet Board Coalition are asking for private companies to enter the market and develop sustainable and affordable decentralised sanitation systems that treat wastewater adequately (REF). Decentralised treatment is not only an issue in developing communities but also in some areas of the EU, where countries like Scotland have rural communities with no centralised wastewater infrastructure (REF).
WASE carried out an initial assessment of sanitation and energy systems in developing communities, assessing the most suitable technologies in 2016. The study revealed an opportunity to recover resources from the waste in a sustainable way according to circular economy principles using Electro-Methanogenic Reactors (EMR). EMRs are an emerging technology that have shown promise for future wastewater treatment. The research has progressed to find multiple technologies within this field, with EMRs being the most commercially viable. The systems have typically been designed for industrialised communities using expensive catalysts and membranes, however, WASE is developing low cost electrode materials and removed the membranes, making the technology economically viable for developing and remote regions.","2017","WASE has won 4 awards including UK Energy Innovation Award, Shell Livewire, NACUE Entrepreneurship competition, Santander Universities Entrepreneur (Tech Catagory), and was a finalist in the MIAT prize, What Design Can Do, and Climate Launchpad. WASE is on the leading EU accelerator program Climate KIC, and is also part of the Exeter Velocities Nurture program. WASE has won grants from the UNWFP sprint program and Innovate UK 3 full-time jobs have been created, and 3 tempory positions with another 4 positions starting in June. WASE has built a pilot decentralised system in Ital with the UN and is now deploying the system in Kenya to treat the waste for 100 people in Daadad.","http://www.wase-tech.com","5c893c0e41fed0.20683176","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=spinout&outcomeId=5c893c0e41fed0.20683176&grantRef=1836514","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=1836514","9F315846-0A88-46D8-A46D-2D3AAD49D04C","798CB33D-C79E-4578-83F2-72606407192C","BECA2763-0902-40AA-8DB2-836A5731CF58",
"BBSRC","BB/L013940/1","Research Grant","Spin Outs","University of Nottingham","School of Life Sciences","Minton","Nigel","","DEEP BRANCH BIOTECHNOLOGY LTD","DEEP BRANCH technology takes carbon dioxide directly from industrial emissions and transforms it into single cell protein. This nutritious protein source acts as a more sustainable alternative to soy or fishmeal, the conventional protein sources for livestock and aquaculture feed. The Deep Branch Biotechnology co-founders met whilst at the University of Nottingham's Synthetic Biology Research Centre (SBRC). Whilst working together on ways to utilize gas fermentation for production of chemicals, the team discovered they had a shared desire to make a positive impact of the world. Pete and Bart left the SBRC to pursue new challenges in commercial and academic biotech, whilst Rob remained at to continue the work of his PhD. The team kept in touch and when in the summer of 2018 Bart proposed a new twist on how gas fermentation could be used for clean production of single cell protein, Pete and Rob were sold. They were able to go from idea to raising pre-seed funding within four months, and haven't looked back since.

DEEP BRANCH biological carbon recycling solution helps companies who want to reduce their carbon footprint without impacting negatively on operational costs. Unlike traditional carbon storage technology that simply collects carbon dioxide, we use it for something meaningful. Our biological process converts the carbon dioxide into sustainable protein, and unlike conventional biological methods, such as algae cultivation, it requires minimal labour and land, and no sunlight.","2018","n June 2019, Deep Branch Biotechnology and Drax Power Group announced their partnership as part of the BECCUS (BioEnergy Carbon Capture Utilisation & Storage) project. Drax are the UK's largest renewable energy producer and the partnership will see Deep Branch utilising carbon dioxide from Drax's flue gas at their renewable energy plant in Yorkshire (UK). Following full lab-scale validation of the Deep Branch Biotechnology process, this partnership represents the first real-world application of the technology. The partnership with Drax offers an opportunity to validate using carbon dioxide that is already generated in a sustainable fashion. Because Drax's biomass units are carbon neutral at the point of generation, the process creates extremely low-carbon protein. This pilot project represents a major step towards roll-out of a with the potential to generate large quantities of sustainable protein. By using this protein as animal feed, production of animal products becomes less environmentally impactful, whilst arable land conventionally used for soy production will be made available for other uses.","https://deepbranchbio.com/","5e53e212141d46.91317864","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=spinout&outcomeId=5e53e212141d46.91317864&grantRef=BB%2FL013940%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/L013940/1","320A74B3-120A-4DE7-BCE3-85D0959CD989","2512EF1C-401B-4222-9869-A770D4C5FAC7","936D002F-A8D1-4A93-AE5D-825ED0903D8D","CAB13A88-E7C2-42DB-973E-3D6A5E305AF7"
"EPSRC","EP/T02030X/1","Research Grant","Spin Outs","University of Cambridge","Chemical Engineering and Biotechnology","Stranks","Samuel","http://orcid.org/0000-0002-8303-7292","SUSTAIN/EDUCATION LTD","Sustain Education is a UK registered charity (Registered Charity Number 1197693). We are developing climate change teaching resources for primary school children to understand the impacts of climate change and the possible solutions.","2021","Currently running the modules in 14 schools across the UK, and planning to expand across the country in the coming year.","https://sustaineducation.org/","62312162376f71.26156094","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=spinout&outcomeId=62312162376f71.26156094&grantRef=EP%2FT02030X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/T02030X/1","83373711-3F07-4800-8054-E303421E8844","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","33A6087B-8F8C-431C-8E81-FFAD428B023E"
"EPSRC","EP/R023980/1","Research Grant","Spin Outs","University of Cambridge","Physics","Stranks","Samuel","http://orcid.org/0000-0002-8303-7292","SUSTAIN/EDUCATION LTD","Sustain Education is a UK registered charity (Registered Charity Number 1197693). We are developing climate change teaching resources for primary school children to understand the impacts of climate change and the possible solutions.","2021","Currently running the modules in 14 schools across the UK, and planning to expand across the country in the coming year.","https://sustaineducation.org/","62312162376f71.26156094","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=spinout&outcomeId=62312162376f71.26156094&grantRef=EP%2FR023980%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/R023980/1","AE2E299E-8613-416C-A89E-BF67B5F0197A","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","33A6087B-8F8C-431C-8E81-FFAD428B023E"
"EPSRC","EP/R023980/1","Research Grant","Spin Outs","University of Cambridge","Physics","Stranks","Samuel","http://orcid.org/0000-0002-8303-7292","SUSTAIN/EDUCATION LTD","Sustain Education is a UK registered charity (Registered Charity Number 1197693). We are developing climate change teaching resources for primary school children to understand the impacts of climate change and the possible solutions.","2021","Currently running the modules in 14 schools across the UK, and planning to expand across the country in the coming year.","https://sustaineducation.org/","62312162376f71.26156094","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=spinout&outcomeId=62312162376f71.26156094&grantRef=EP%2FR023980%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/R023980/1","AE2E299E-8613-416C-A89E-BF67B5F0197A","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","33A6087B-8F8C-431C-8E81-FFAD428B023E"
"BBSRC","BB/K00283X/1","Research Grant","Spin Outs","University of Nottingham","School of Life Sciences","Minton","Nigel","","DEEP BRANCH BIOTECHNOLOGY LTD","DEEP BRANCH technology takes carbon dioxide directly from industrial emissions and transforms it into single cell protein. This nutritious protein source acts as a more sustainable alternative to soy or fishmeal, the conventional protein sources for livestock and aquaculture feed. The Deep Branch Biotechnology co-founders met whilst at the University of Nottingham's Synthetic Biology Research Centre (SBRC). Whilst working together on ways to utilize gas fermentation for production of chemicals, the team discovered they had a shared desire to make a positive impact of the world. Pete and Bart left the SBRC to pursue new challenges in commercial and academic biotech, whilst Rob remained at to continue the work of his PhD. The team kept in touch and when in the summer of 2018 Bart proposed a new twist on how gas fermentation could be used for clean production of single cell protein, Pete and Rob were sold. They were able to go from idea to raising pre-seed funding within four months, and haven't looked back since.

DEEP BRANCH biological carbon recycling solution helps companies who want to reduce their carbon footprint without impacting negatively on operational costs. Unlike traditional carbon storage technology that simply collects carbon dioxide, we use it for something meaningful. Our biological process converts the carbon dioxide into sustainable protein, and unlike conventional biological methods, such as algae cultivation, it requires minimal labour and land, and no sunlight.","2018","n June 2019, Deep Branch Biotechnology and Drax Power Group announced their partnership as part of the BECCUS (BioEnergy Carbon Capture Utilisation & Storage) project. Drax are the UK's largest renewable energy producer and the partnership will see Deep Branch utilising carbon dioxide from Drax's flue gas at their renewable energy plant in Yorkshire (UK). Following full lab-scale validation of the Deep Branch Biotechnology process, this partnership represents the first real-world application of the technology. The partnership with Drax offers an opportunity to validate using carbon dioxide that is already generated in a sustainable fashion. Because Drax's biomass units are carbon neutral at the point of generation, the process creates extremely low-carbon protein. This pilot project represents a major step towards roll-out of a with the potential to generate large quantities of sustainable protein. By using this protein as animal feed, production of animal products becomes less environmentally impactful, whilst arable land conventionally used for soy production will be made available for other uses.","https://deepbranchbio.com/","5e53e212141d46.91317864","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=spinout&outcomeId=5e53e212141d46.91317864&grantRef=BB%2FK00283X%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/K00283X/1","7AB4A5CD-7F97-4E54-8A1A-FFBCD6F588E0","2512EF1C-401B-4222-9869-A770D4C5FAC7","936D002F-A8D1-4A93-AE5D-825ED0903D8D","CAB13A88-E7C2-42DB-973E-3D6A5E305AF7"
