"Project_no","Project.Title","Keyword","Keyword_hit"
"ERO_1","e chatzisymeon epsrc new horizons using wastewater as a resource to tackle climate change","climate change","1"
"ERO_2","anticipatory governance and democratic challenges: emerging norms and practices in  climate change mitigation","climate change","1"
"ERO_3","anticipatory governance and democratic challenges: emerging norms and practices in  climate change mitigation","climate change","1"
"ERO_4","changing food-scapes: how climate change alters trophic relationships between diatoms and copepods","climate change","1"
"ERO_5","mitigating climate change impacts on biodiversity via machine learning powered assessment","climate change","1"
"ERO_6","is phenology evolving in response to climate change?","climate change","1"
"ERO_7","taking an aesthetic stance in climate change adaptation: how people, communities and societies use stories in ethical decision-making and social transformation","climate change","1"
"ERO_8","detection and attribution of climate change and climate sensitivity using paleoclimatic observations  and simulations","climate change","1"
"ERO_9","project amaulik: exploring seabird-harvester-climate interactions to ensure inuit food security in the face of climate change","climate change","1"
"ERO_10","mechanism and data dual-driven model for prediction of time-dependent performance of corrosion affected prefabricated concrete structures considering climate change","climate change","1"
"ERO_11","co-designing holistic forest-based policy pathways for climate change mitigation","climate change","1"
"ERO_12","nature- and systems-based approaches to integrate urban planning, disaster risk management and climate change adaptation in latin american cities","climate change","1"
"ERO_13","ftma2:breeding for the future: optimising commercial breeding programmes to improve resilience of salmonid aquaculture to climate change","climate change","1"
"ERO_14","centre of expertise on climate change 2022 to 2025","climate change","1"
"ERO_15","city responses to climate change and migration","climate change","1"
"ERO_16","climate change adaptation strategies for a prosperous society","climate change","1"
"ERO_17","statistical methodology for identifying causes of damage of trees in german forests for mitigation of climate change effects","climate change","1"
"ERO_18","development of thin film composite membranes for the capture of greenhouse gases against climate change","climate change","1"
"ERO_19","application of genomic tools to breed for robustness to climate change in salmon aquaculture","climate change","1"
"ERO_20","selective breeding for robustness to climate change in atlantic salmon using genomic tools","climate change","1"
"ERO_21","reducing meat intake to prevent climate change and non-communicable diseases","climate change","1"
"ERO_22","simulated and observed length of seasons –impact of internal variability and climate change","climate change","1"
