"Academic.Year","Application.Date","Status","Project_ID","Project.Title","Project.Description","College","School","Sponsor.Type","Sponsor.Name","Country","Scheme.Name","PI.Name","PI.Dept","Click.here.for.Project","PropAcctNo","Application.Total","Direct_Cost","Indirect_Cost","Exceptions","Application.Funder.Contribution","Funder_Award_Reference","Collaboration.with.Other.Schools.","Lead.Organisation","Name_of_Call","Centre","ODA","GCRF","ISCF","Translational","Possible.GCRF.ODA","NHS_Involvement","NHS_Reference","Application.Period.Start","Application.Period.End","RFS","Business.Development.Executive","CoI_1","CoI_2","CoI_3","CoI_4","CoI_5","CoI_6","Partners.Detail","Core.Grant.","AI.Text.Flag.or.DDI.Tag","Tags...General","Tags...Research.Centres"
2022,2022-10-06,"Pending","12271022","mosaic: joined-up land use strategies tackling climate change and biodiversity loss",NA,"CSE","School of GeoSciences","EU - Government","european commission","BELGIUM","horizon europe - cl 5: climate, energy and mobility","Peter Alexander","SCHOOL OF GEOSCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=12271022",NA,225883,"180706.40","45176.60",NA,"225883.00",NA,"NO","University of Edinburgh","HORIZON-CL5-2022-D1-01-03-two-stage","GEO",NA,NA,NA,NA,"NoFlag","No",NA,2023-08-01,2026-07-31,"Hannah Chater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Application Indicative Submitted",NA
2022,2022-09-23,"Pending","13316592","mapping the impacts of climate change on respiratory health in nigeria: towards equitable and cost-effective national and subnational strategies",NA,"CMVM","Deanery of Molecular, Genetic and Population Health Sciences","UK - Research Council","medical research foundation","UNITED KINGDOM","general scheme","Davies Adeloye","CENTRE FOR GLOBAL HEALTH RSRCH","https://ed-rmas.worktribe.com/record.jx?recordid=13316592",NA,296030.95,"278930.96","17100.00",NA,"296030.95",NA,"NO","University of Edinburgh","Impact of Climate  Change on Health","CGH",NA,NA,NA,NA,"NoFlag","No",NA,2023-07-01,2026-06-30,"Hannah Wheeldon",NA,NA,NA,NA,NA,NA,NA,"University of West England,Collaborator,HEI,UNITED KINGDOM|Covenant University,Collaborator,School,NIGERIA|University of Lagos,Collaborator,HEI,NIGERIA|University of Abuja,Collaborator,HEI,NIGERIA",NA,"DDI Tag only","zDDI-Health_Social_Care","The Usher Institute of Population Health Sciences,Centre for Global Health Research"
2021,2022-05-09,"Unsuccessful","11949191","using wastewater as a resource to tackle climate change",NA,"CSE","School of Engineering","UK - Research Council","engineering and physical sciences research council","UNITED KINGDOM","standard","Efthalia Chatzisymeon","INST OF INFRASTRUCTURE & ENVIR","https://ed-rmas.worktribe.com/record.jx?recordid=11949191",NA,249999.7,"154656.57","95343.13",NA,"199999.76","EP/X017710/1","NO","University of Edinburgh","New Horizons","ENG",NA,NA,NA,NA,"NoFlag","No",NA,2022-10-01,2024-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2021,2022-04-22,"Pending","12581280","anticipatory governance and democratic challenges: emerging norms and practices in  climate change mitigation",NA,"CAHSS","School of Social and Political Science","EU - Government","european commission","BELGIUM","horizon europe - cl 2: culture, creativity and inclusive society","Steven Yearley","STIS","https://ed-rmas.worktribe.com/record.jx?recordid=12581280",NA,404524.35,"323619.48","80904.87",NA,"404524.35",NA,"YES","Uppsala University","HORIZON-CL2-2022-DEMOCRACY-01","SPS",NA,NA,NA,NA,"NoFlag","No",NA,2023-01-01,2027-12-31,"Elisabetta Spano",NA,"Afshin Mehrpouya, Business School",NA,NA,NA,NA,NA,"Uppsala University,Lead,HEI,SWEDEN",NA,NA,"Application Indicative Submitted",NA
2021,2022-03-10,"Unsuccessful","12502732","changing food-scapes: how climate change alters trophic relationships between diatoms and copepods",NA,"CSE","School of Biological Sciences","UK - Government","royal society","UNITED KINGDOM","newton international fellowship","Sinead Collins","INST OF EVOLUTIONARY BIOLOGY","https://ed-rmas.worktribe.com/record.jx?recordid=12502732",NA,79500,"79500.00","0.00",NA,"79500.00","NIF\R1\221526","NO","University of Edinburgh",NA,"BIO",NA,NA,NA,NA,"ODA","No",NA,2022-10-01,2024-09-30,"Charis Wilson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2021,2022-02-16,"Successful","11588951","mitigating climate change impacts on biodiversity via machine learning powered assessment",NA,"CSE","School of Informatics","Overseas - Industry","future earth international","CANADA","future earth international default scheme","Oisin Mac Aodha","SCHOOL OF INFORMATICS","https://ed-rmas.worktribe.com/record.jx?recordid=11588951","RB0993",99994.75,"90904.32","9090.43",NA,"99994.75","32","NO","University of Edinburgh",NA,"INF",NA,NA,NA,NA,"NoFlag","No",NA,2022-04-11,2023-04-01,"Hannah Chater",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AI Text Flag","-","Institute for Adaptive & Neural Computation"
2021,2022-01-18,"Pending","11937242","is phenology evolving in response to climate change?",NA,"CSE","School of Biological Sciences","UK - Research Council","natural environment research council","UNITED KINGDOM","standard grant","Josephine Pemberton","INST OF EVOLUTIONARY BIOLOGY","https://ed-rmas.worktribe.com/record.jx?recordid=11937242",NA,709944.8,"538531.30","171413.50",NA,"571555.84","NE/X000346/1","NO","University of Edinburgh",NA,"BIO",NA,NA,NA,NA,"NoFlag","No",NA,2022-09-01,2025-12-31,"Laura Bonsall",NA,"Loeske Kruuk, School of Biological Sciences",NA,NA,NA,NA,NA,"University of St Andrews,Collaborator,HEI,UNITED KINGDOM|University of Sheffield,Collaborator,HEI,UNITED KINGDOM|Moredun Research Institute,Collaborator,Industry,UNITED KINGDOM",NA,NA,"Award Indicative Successful",NA
2021,2021-12-07,"Pending","11905596","taking an aesthetic stance in climate change adaptation: how people, communities and societies use stories in ethical decision-making and social transformation",NA,"CAHSS","School of Health in Social Science","Overseas - Other","university of toronto","CANADA","general scheme","Alette Willis","COUNSELLING,PSYCHOTHERAPY &ASS","https://ed-rmas.worktribe.com/record.jx?recordid=11905596",NA,9920,"9920.00","0.00",NA,"9920.00",NA,"NO","University of Edinburgh","Joint Call for Collaborative Projects","HiSS",NA,NA,NA,NA,"NoFlag","No",NA,2022-01-01,2023-12-31,"Hannah Chater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2021,2021-12-02,"Successful","11931108","detection and attribution of climate change and climate sensitivity using paleoclimatic observations  and simulations",NA,"CSE","School of GeoSciences","UK - Government","royal society","UNITED KINGDOM","royal society wolfson fellowship","Gabi Hegerl","SCHOOL OF GEOSCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=11931108","R47650",123600,"123600.00","0.00",NA,"123600.00","RSWVF\R1\221018","NO","University of Edinburgh",NA,"GEO",NA,NA,NA,NA,"NoFlag","No",NA,2022-07-01,2024-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Award Indicative Successful",NA
2021,2021-11-11,"Unsuccessful","11193878","project amaulik: exploring seabird-harvester-climate interactions to ensure inuit food security in the face of climate change",NA,"CSE","School of Mathematics","UK - Research Council","natural environment research council","UNITED KINGDOM","standard grant","Ruth King","SCHOOL OF MATHEMATICS","https://ed-rmas.worktribe.com/record.jx?recordid=11193878",NA,55380.57,"42072.87","13307.70",NA,"44304.46",NA,"NO","University of Edinburgh","Canada Inuit Nunangat United Kingdom Arctic Research Programme","MAT",NA,NA,NA,NA,"NoFlag","No",NA,2022-04-01,2025-03-31,"Fiona King",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2021,2021-10-04,"Successful","11563943","mechanism and data dual-driven model for prediction of time-dependent performance of corrosion affected prefabricated concrete structures considering climate change",NA,"CSE","School of Engineering","UK - Government","royal society","UNITED KINGDOM","international exchanges","Yong Lu","INST OF INFRASTRUCTURE & ENVIR","https://ed-rmas.worktribe.com/record.jx?recordid=11563943","R47595",12000,"12000.00","0.00",NA,"12000.00","IEC\NSFC\211454","NO","University of Edinburgh","International Exchanges Scheme –Cost Share Programme 2021","ENG",NA,NA,NA,NA,"NoFlag","No",NA,2022-03-31,2024-03-30,"Abigail Steed",NA,"Hwa Kian Chai, School of Engineering",NA,NA,NA,NA,NA,"Southeast University,Collaborator,HEI,CHINA",NA,NA,"Award Indicative Successful",NA
2021,2021-09-13,"Pending","11274593","co-designing holistic forest-based policy pathways for climate change mitigation",NA,"CSE","School of GeoSciences","UK - Research Council","ukri (formerly rcuk)","UNITED KINGDOM","horizon europe guarantee - ifs","Peter Alexander","SCHOOL OF GEOSCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=11274593",NA,136000,"108800.00","27200.00",NA,"136000.00",NA,"NO","University of Edinburgh","Climate sciences and responses (HORIZON-CL5-2021-D1-01)","GEO",NA,NA,NA,NA,"NoFlag","No",NA,2022-09-01,2027-02-28,"Hannah Chater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Award Indicative Successful,P&M Transition - Award Setup",NA
2021,2021-09-10,"Pending","11358210","nature- and systems-based approaches to integrate urban planning, disaster risk management and climate change adaptation in latin american cities","NERC COP26 Adaptation and Resilience Project Scoping Call","CAHSS","Edinburgh College of Art","UK - Research Council","natural environment research council","UNITED KINGDOM","standard grant","Maria Soledad Garcia Ferrari","ARCHITECTURE & LANDSCAPE ARCHI","https://ed-rmas.worktribe.com/record.jx?recordid=11358210",NA,10965,"7638.00","3327.00",NA,"8772.00",NA,"NO","Heriot-Watt University","NERC COP26 Adaptation and Resilience Project Scoping Call","ECA",NA,NA,NA,NA,"NoFlag","No",NA,2021-10-01,2022-03-31,"Emma Giles",NA,NA,NA,NA,NA,NA,NA,"Heriot-Watt University,Lead,HEI,UNITED KINGDOM",NA,NA,"-",NA
2021,2021-08-23,"Successful","11229408","ftma2:breeding for the future: optimising commercial breeding programmes to improve resilience of salmonid aquaculture to climate change",NA,"CMVM","Royal (Dick) School of Veterinary Studies","UK - Research Council","biotechnology and biological sciences research council","UNITED KINGDOM","flexible interchange programme","Ross Houston","ROSLIN INSTITUTE","https://ed-rmas.worktribe.com/record.jx?recordid=11229408","R47149",15710,"15710.00","0.00",NA,"15710.00","11229408(BB/S50791X/1)","NO","University of Edinburgh","Flexible Talent Mobility Award 2018","Roslin",NA,NA,NA,NA,"NoFlag","No",NA,2021-08-01,2022-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DDI Tag only","Roslin ISPG 17/22 – Programme 2,Roslin ISPG 17/22 - N/A,DDI Hub - AgriTech Hub (Easter Bush)","The Roslin Institute"
2020,2021-06-15,"Successful","10940500","centre of expertise on climate change 2022 to 2025",NA,"CSE","School of GeoSciences","UK - Government","scottish government","UNITED KINGDOM","general scheme","Dave Reay","SCHOOL OF GEOSCIENCES","https://ed-rmas.worktribe.com/record.jx?recordid=10940500","RA6024",8385724.85,"8271986.89","113737.97",NA,"8385724.85","Case/53465","NO","University of Edinburgh",NA,"GEO",NA,NA,NA,NA,"NoFlag","No",NA,2022-04-01,2025-03-31,"Ina Lindsay",NA,NA,NA,NA,NA,NA,NA,"University of Strathclyde,Collaborator,HEI,UNITED KINGDOM|University of Aberdeen,Collaborator,HEI,UNITED KINGDOM|James Hutton Institute LBG, The,Collaborator,Industry,UNITED KINGDOM",NA,NA,"Award Indicative Successful",NA
2020,2021-06-02,"Pending","10909365","city responses to climate change and migration",NA,"CAHSS","Edinburgh College of Art","UK - Research Council","british academy","UNITED KINGDOM","ba/leverhulme small research grants","Aidan Mosselson","ARCHITECTURE & LANDSCAPE ARCHI","https://ed-rmas.worktribe.com/record.jx?recordid=10909365",NA,10000,"10000.00","0.00",NA,"10000.00","SRG21\210891","NO","University of Edinburgh","BA/Leverhulme Small Research Grants","ECA",NA,NA,NA,NA,"NoFlag","No",NA,2022-03-31,2024-03-30,"Emma Giles",NA,NA,NA,NA,NA,NA,NA,"University of Oxford,Collaborator,HEI,UNITED KINGDOM",NA,NA,"-",NA
2020,2021-03-29,"Pending","10686604","climate change adaptation strategies for a prosperous society",NA,"CMVM","Royal (Dick) School of Veterinary Studies","Overseas - Other","new zealand ministry of business, innovation and employment","NEW ZEALAND","new zealand ministry of business, innovation and employment default scheme","Dominic Moran","GLOBAL ACADEMY AGRICULTURE &FS","https://ed-rmas.worktribe.com/record.jx?recordid=10686604",NA,162494.85,"110685.62","51809.23",NA,"162494.85",NA,"NO","Lincoln University NZ",NA,"Roslin",NA,NA,NA,NA,"NoFlag","No",NA,2021-10-01,2026-09-30,NA,NA,NA,NA,NA,NA,NA,NA,"Lincoln University NZ,Lead,HEI,NEW ZEALAND",NA,NA,"Roslin ISPG 17/22 - N/A","Global Academy of Agriculture and Food Security"
2020,2021-03-22,"Unsuccessful","10750416","statistical methodology for identifying causes of damage of trees in german forests for mitigation of climate change effects",NA,"CSE","School of Mathematics","UK - Charity","royal society of edinburgh","UNITED KINGDOM","research grant","Nicole Augustin","SCHOOL OF MATHEMATICS","https://ed-rmas.worktribe.com/record.jx?recordid=10750416",NA,21152.86,"21152.86","0.00",NA,"21152.86",NA,"NO","University of Edinburgh","reboot","MAT",NA,NA,NA,NA,"NoFlag","No",NA,2021-06-01,2021-11-30,"Fiona King",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA
2020,2021-01-21,"Successful","10650699","development of thin film composite membranes for the capture of greenhouse gases against climate change",NA,"CSE","School of Engineering","UK - Charity","royal society of edinburgh","UNITED KINGDOM","joint project","Maria-Chiara Ferrari","INSTI OF MATERIALS & PROCESSES","https://ed-rmas.worktribe.com/record.jx?recordid=10650699","R47105",6000,"6000.00","0.00",NA,"6000.00","10650699","NO","University of Edinburgh","Joint Projects with National Research Council of Italy (CNR)","ENG",NA,NA,NA,NA,"NoFlag","No",NA,2021-04-01,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DDI Tag only","Award Indicative Successful,DDI Hub - AgriTech Hub (Easter Bush)",NA
