"Funding OrgName","ProjectReference.x","ProjectCategory.x","Outcome Type","LeadRO Name","Department.x","PI Surname","PI First Name","PI Orcid iD","Outcome Title","Description","Type of Art","Year Produced","Impact","Url","GTR OutcomeId","GTR Outcome URL","GTRProjectUrl.x","ProjectId","FundingOrgId.x","LeadROId.x","PIId.x","Collaboration Name","Parent Org","Parent Org Dept","Sector","Country","PI Contribution","Partner Contribution","Year Collaboration Started","Form of Engagement Activity","Part of Official Scheme?","Type of Presentation","Geographical Reach","Primary Audience","Years(s)","Results/Impact","Further Funding Org","Further Funding Dept","Currency","Amount","Fund Start Date","Fund End Date","Impact Types","Year","Protection","IP Reference","Year Protection Granted","Licensed?","Exploitation Route","Sectors","URL","Influence","Type of Influence","Guideline Title","Geographic Reach","Type","Current Stage of Development","Clinical Trial?","UKCRN/ISCTN ID","Year Development Stage Completed","Development Status","Type of Material","Provided to Others?","Software Developed?","Software Open Source?","Type of Technology","Software Open Sourced?","Company Name","Year Established","FundingOrgName","ProjectReference.y","LeadROName","Department.y","ProjectCategory.y","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","GTRProjectUrl.y","FundingOrgId.y","LeadROId.y","PIId.y","School","College"
"EPSRC","EP/I001239/1","Other Grant","Artistic and Creative Products","University of Edinburgh","Sch of Biological Sciences","Ingram","David","http://orcid.org/0000-0002-8669-8942","The Trouble with Waves","Why is wave energy taking so long to develop? Professor David Ingram of Edinburgh University and journalist Lesley Riddoch explore and explain some of the challenges facing renewable marine energy. Olympic athletes, shipwrecks, long distance swimmers and seals with transponders show some of the problems.","Artistic/Creative Exhibition",2011,"This short documentary was developed to enthuse School children and the general public about the issues related to marine energy. It is supported by educational materials and experiments for use by science teachers in the classroom.","http://www.youtube.com/watch?v=s6hpkPKwfTI","54523124776012.98320961","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=54523124776012.98320961&grantRef=EP%2FI001239%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I001239/1","4F960B6A-C84E-4677-A5CA-24E61C5CA802","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","84C37D08-5E98-4B96-B492-E9186362425E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPSRC","EP/I001239/1","University of Edinburgh","Sch of Biological Sciences","Other Grant","Ingram","David","Mark","http://orcid.org/0000-0002-8669-8942",NA,NA,NA,NA,"Partnership for Public Engagement: Facts about Wave and Tidal Energy","30/09/2010","29/06/2011",19997,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I001239/1","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","84C37D08-5E98-4B96-B492-E9186362425E","School of Biological Sciences","College of Science and Engineering"
"EPSRC","EP/P008682/1","Research Grant","Artistic and Creative Products","University of Edinburgh","Sch of Engineering","Wallace","Robin",NA,"Manufacturability considerations in design optimisation of wave energy converters","Figures of paper published in Renewable Energy on &quot;Manufacturability considerations in design optimisation of wave energy converters&quot;.","Image",2022,NA,"https://figshare.com/articles/figure/Manufacturability_considerations_in_design_optimisation_of_wave_energy_converters/18551267/1","61ebeffe1302b8.14497628","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=61ebeffe1302b8.14497628&grantRef=EP%2FP008682%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P008682/1","F909C794-CDEB-4BC9-9E33-45053372DF70","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","9CC11928-89DC-43D7-878F-CA93578BDFEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPSRC","EP/P008682/1","University of Edinburgh","Sch of Engineering","Research Grant","Wallace","Robin",NA,NA,NA,NA,NA,NA,"United Kingdom Centre for Marine Energy Research","01/12/2016","30/05/2019",1517202,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P008682/1","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","9CC11928-89DC-43D7-878F-CA93578BDFEA","School of Engineering","College of Science and Engineering"
"EPSRC","EP/P008682/1","Research Grant","Artistic and Creative Products","University of Edinburgh","Sch of Engineering","Wallace","Robin",NA,"Manufacturability considerations in design optimisation of wave energy converters","Figures of paper published in Renewable Energy on &quot;Manufacturability considerations in design optimisation of wave energy converters&quot;.","Image",2022,NA,"https://figshare.com/articles/figure/Manufacturability_considerations_in_design_optimisation_of_wave_energy_converters/18551267","61ebeffde8a591.70695505","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=61ebeffde8a591.70695505&grantRef=EP%2FP008682%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P008682/1","F909C794-CDEB-4BC9-9E33-45053372DF70","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","9CC11928-89DC-43D7-878F-CA93578BDFEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPSRC","EP/P008682/1","University of Edinburgh","Sch of Engineering","Research Grant","Wallace","Robin",NA,NA,NA,NA,NA,NA,"United Kingdom Centre for Marine Energy Research","01/12/2016","30/05/2019",1517202,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P008682/1","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","9CC11928-89DC-43D7-878F-CA93578BDFEA","School of Engineering","College of Science and Engineering"
"AHRC","AH/S005927/1","Research Grant","Artistic and Creative Products","University of Edinburgh","Sch of Literature Languages & Culture","Keown","Michelle","http://orcid.org/0000-0002-1292-1515","Jerakiaarlap: A Marshall Islands Epic","Jerakiaarlap is a four-part graphic novel featuring adaptations of two traditional Marshallese stories focused on navigation and voyaging; an adaptation of Kathy Jetnil-Kijiner's poem 'Monster' (which focused on the impact of nuclear radiation poisoning on Marshallese women's mental and reproductive health); and a futuristic 'cli-fi' narrative by project artist Solomon Enos posited biotechnological solutions to environmental problems including rising sea levels/climate change.","Creative Writing",2019,"The graphic novel was only delivered to Majuro in early 2020, and co-I Shari Sabeti will be travelling to Majuro in May (delayed from early 2020 due to a dengue fever outbreak in the RMI) to launch the graphic novel and run CPD events with teachers/students focused on how to use the graphic novel. We also received funds from the GCRF global impact accelerator account to translate the novel into Marshallese and are seeking further funding to have 500 copies published in Marshallese.",NA,"5e5e8ff265c188.87604677","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=5e5e8ff265c188.87604677&grantRef=AH%2FS005927%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/S005927/1","D5C739B9-8AEE-467F-9BCE-D6EE928E5AC5","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","2DB7ED73-8E89-457A-A395-FAC12F929C1A","EA60A917-3A7F-4366-B95D-4C1DCF41EA37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AHRC","AH/S005927/1","University of Edinburgh","Sch of Literature Languages & Culture","Research Grant","Keown","Michelle","Maria","http://orcid.org/0000-0002-1292-1515",NA,NA,NA,NA,"Navigating Futures: arts education as a route to youth empowerment and pedagogical innovation","01/02/2019","31/01/2020",83032,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=AH/S005927/1","1291772D-DFCE-493A-AEE7-24F7EEAFE0E9","2DB7ED73-8E89-457A-A395-FAC12F929C1A","EA60A917-3A7F-4366-B95D-4C1DCF41EA37","School of Literatures, Languages & Culture","College of Arts, Humanities & Social Sciences"
"ESRC","ES/P004725/1","Research Grant","Artistic and Creative Products","University of Edinburgh","Sch of Literature Languages & Culture","Keown","Michelle","http://orcid.org/0000-0002-1292-1515","Jerakiaarlap: A Marshall Islands Epic","Jerakiaarlap is a four-part graphic novel featuring adaptations of two traditional Marshallese stories focused on navigation and voyaging; an adaptation of Kathy Jetnil-Kijiner's poem 'Monster' (which focused on the impact of nuclear radiation poisoning on Marshallese women's mental and reproductive health); and a futuristic 'cli-fi' narrative by project artist Solomon Enos posited biotechnological solutions to environmental problems including rising sea levels/climate change.","Creative Writing",2019,"The graphic novel was only delivered to Majuro in early 2020, and co-I Shari Sabeti will be travelling to Majuro in May (delayed from early 2020 due to a dengue fever outbreak in the RMI) to launch the graphic novel and run CPD events with teachers/students focused on how to use the graphic novel. We also received funds from the GCRF global impact accelerator account to translate the novel into Marshallese and are seeking further funding to have 500 copies published in Marshallese.",NA,"5e5e8ff265c188.87604677","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=5e5e8ff265c188.87604677&grantRef=ES%2FP004725%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/P004725/1","18A73C30-A532-406B-8FA3-5CB837FF1BF2","924BE15C-91F2-4AAD-941A-3F338324B6AE","2DB7ED73-8E89-457A-A395-FAC12F929C1A","EA60A917-3A7F-4366-B95D-4C1DCF41EA37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESRC","ES/P004725/1","University of Edinburgh","Sch of Literature Languages & Culture","Research Grant","Keown","Michelle","Maria","http://orcid.org/0000-0002-1292-1515",NA,NA,NA,NA,"From displacement to development: arts education as a means to build cultural resilience and community-led arts production in the Marshall Islands","01/11/2016","29/04/2018",250823,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=ES/P004725/1","924BE15C-91F2-4AAD-941A-3F338324B6AE","2DB7ED73-8E89-457A-A395-FAC12F929C1A","EA60A917-3A7F-4366-B95D-4C1DCF41EA37","School of Literatures, Languages & Culture","College of Arts, Humanities & Social Sciences"
"NERC","NE/M016323/1","Research Grant","Artistic and Creative Products","University of Edinburgh","Sch of Geosciences","Myers-Smith","Isla H.",NA,"Arctic from Above Photography Exhibition","We present photographs of Arctic tundra landscapes and the plants and wildlife that inhabit them captured as a part of scientific research expeditions to the rapidly warming Arctic. 

Images include landscapes captured from above using drones that are a part of scientific datasets used to model the 3D structure of the tundra environment.

This work represents the interface between science and art where the process of data collection has produced imagery that both communicates global change and captures the beauty in remote Arctic ecosystems.

Artist bios:

Jeff Kerby is postdoctoral researcher at the Neukom Institute at Dartmouth College, USA where he focuses on studying arctic ecology. He has worked extensively on conservation and ecology related drone projects in Africa, South America, and the Arctic.&nbsp; He is also an avid natural history photographer and recently had his first photo feature published in National Geographic magazine (April 2017).
http://www.nationalgeographic.com/explorers/bios/jeff-kerby/

Sandra Angers-Blondin is a PhD student at the University of Edinburgh where she studies the climate sensitivity of tundra shrub growth. &nbsp;She has worked across Arctic tundra ecosystems in Northern Quebec and the Yukon Territory. &nbsp;She is a keen photographer and recently has won the British Ecological Society Photographic Contest and featured in Nature Sauvage magazine.
https://www.instagram.com/sandra.angers.b/

Anne Bjorkman is a postdoctoral research at Aarhus University in Denmark where she studies biodiversity changes in tundra ecosystems. She has worked in high arctic ecosystems including on Ellesmere Island in the Canadian Arctic. She is an enthusiastic photographer of landscapes and plants. Her work was recently published in the book &quot;Woolly Bear of the North&quot;.
http://annebjorkman.com/

Team Shrub is a research group at the University of Edinburgh working to understand how global change alters tundra ecosystems. &nbsp;The research group is led by Isla Myers-Smith and includes the three exhibiting photographers Kerby, Angers-Blondin and Bjorkman and other researchers. &nbsp;Our research is funded by the Natural Environment Research Council of the UK. We hope to engage the public directly through photography and other media with Arctic ecosystems undergoing climate and environmental change - connecting the seeming distant Arctic to our daily lives.
https://teamshrub.com/","Artistic/Creative Exhibition",2017,"The Arctic from Above exhibit was visited by 4000+ visitors during the Edinburgh International Science Festival in April - May 2017.","https://www.summerhall.co.uk/visual-arts/arctic-from-above/","5aa6cd73c9c7f0.50224351","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=5aa6cd73c9c7f0.50224351&grantRef=NE%2FM016323%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M016323/1","F7BAD612-4C63-4688-ACD5-9E649C6BCD98","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","D99AA413-09E8-48C9-8432-CDDF8E88A012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NERC","NE/M016323/1","University of Edinburgh","Sch of Geosciences","Research Grant","Myers-Smith","Isla H.",NA,NA,NA,NA,NA,NA,"Climate as a driver of shrub expansion and tundra greening","30/04/2015","29/04/2018",533956,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M016323/1","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","D99AA413-09E8-48C9-8432-CDDF8E88A012","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/P008682/1","Research Grant","Artistic and Creative Products","University of Edinburgh","Sch of Engineering","Wallace","Robin",NA,"Hull geometry optimisation of wave energy converters: On the choice of the objective functions and the optimisation formulation","Figures of paper published in Applied Energy on &quot;Hull geometry optimisation of wave energy converters: On the choice of the objective functions and the optimisation formulation&quot;.","Image",2021,NA,"https://figshare.com/articles/figure/Hull_geometry_optimisation_of_wave_energy_converters_On_the_choice_of_the_objective_functions_and_the_optimisation_formulation/14721213","61ebefa8a80d88.30827823","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=61ebefa8a80d88.30827823&grantRef=EP%2FP008682%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P008682/1","F909C794-CDEB-4BC9-9E33-45053372DF70","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","9CC11928-89DC-43D7-878F-CA93578BDFEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPSRC","EP/P008682/1","University of Edinburgh","Sch of Engineering","Research Grant","Wallace","Robin",NA,NA,NA,NA,NA,NA,"United Kingdom Centre for Marine Energy Research","01/12/2016","30/05/2019",1517202,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P008682/1","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","9CC11928-89DC-43D7-878F-CA93578BDFEA","School of Engineering","College of Science and Engineering"
"NERC","NE/M000346/1","Research Grant","Artistic and Creative Products","University of Edinburgh","Sch of Geosciences","Bromiley","Geoffrey",NA,"Work with artist Matthew C. Wilson","Along the lines of the theme of the consortium, Matthew and I formulated a project based on the concept of habitable other Earth's. We conducted experiments to simulate to the interior of an Earth-twin exoplanet saturated in carbonic acid. The starting mix was based on a model for the composition of the 'rocky' part of the Earth, known as 'pyrolite'. Pyrolite is a useful model for the composition of the Earth at depths of hundreds of kilometres. As such, this composition allows us to explore, through high pressure and high temperature experiments, the interior of an Earth-like exoplanet. In contrast to the Earth, however, we modified this pyrolite model so that it was saturated in carbonic acid. Carbonic acid is formed by the reaction of H2O with CO2 (water with carbon dioxide). On the surface of the Earth, water dissolves small amounts of carbon dioxide; surface water is very weak carbonic acid. Industrially elevated atmospheric carbon dioxide levels increase water acidity, which has severe effects on marine ecosystems. We are literally acidifying the planet we live on. Our model exoplanet explores an extreme outcome of this: an Earth-like planet catastrophically altered by millennia of industrialisation, and saturated in carbonic acid.
The starting mix was prepared by combining powdered oxides, hydroxides and carbonates of various elements. Small amounts of this mix were packed into platinum capsules which were then welded shut. Experiments were performed using a piston-cylinder apparatus at pressures of 2 GPa (approximately 20,000 times atmospheric pressure, equivalent to a depth of approximately 65 km). One experiment was run at 1000 degrees C, and one at 1400 degrees C, both for 48 hours to allow reaction to occur. These temperatures were chosen to investigate 'normal' or 'stable' regions of a planet saturated in carbonic acid, and regions where heating resulted in melting and production of magma, respectively.
 
We saw some really interesting things when we observed the recovered samples using a scanning electron microscope. The lower temperature experiments contain the same combination of minerals we would expect to find at equivalent depth in the Earth, although in a more oxidised form. Pressure promotes formation of carbonic acid. However, at high pressure and temperature this acid oxidises rocks; it literally pumps extra oxygen into the minerals. In some ways this is similar to the use of carbonic acid as a restorative gas (i.e. what you told me about James Watt and his invalid son). The higher temperature experiment has a combination of 'rock' and magma (liquid rock); the conditions we used provide a snapshot of a volcanic process where heat and carbonic acid cause the planet to melt. Once again, carbonic acid has oxidised the material. The magma is quenched to glass imperfectly, so that we capture small crystals starting to form, and bubbles of carbon dioxide forming. Textures suggest that this magma had a very unusual composition; carbonic acid was fully dissolved in the melt, but was slowly released as carbon dioxide and then water as the magma crystallised. 
 
In our hypothetic exoplanet, carbon dioxide and water and forced together deep within the planet to form a highly concentrated acid. However, this acid oxidises the planet, in the same way that iron rusts on the surface of the Earth. Volcanic activity on our exoplanet returns carbonic acid to the surface as both water and carbon dioxide, also producing unusual carbonatite volcanoes, similar to Ol Doinyo Lengai in Tanzania (https://en.wikipedia.org/wiki/Ol_Doinyo_Lengai).","Artwork",2019,"-vdrome film &quot;Geological evidences&quot;; this platform provides give high profile to short films; curators include the Tate Modern's film curator: https://www.vdrome.org/matthew-c-wilson
-exhibition as part of the Amsterdam Art weekend (21-24 November 2019); exhibition of a series of infused aluminum prints &quot;Factitious Earths&quot;: https://www.matthewcwilson.com/work/factitious-earths
-Talk and presentation, follwoed by discussion and reception event, in collaboration with the Talbot Rice Gallery, Edinburgh by Matthew C. Wilson and Geoff Bromiley: Geological evidences (https://www.matthewcwilson.com/film-video).",NA,"5e6910e489c1d3.75556742","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=5e6910e489c1d3.75556742&grantRef=NE%2FM000346%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M000346/1","EC80C34C-8621-47C9-8BF4-61FCA544E5CA","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","A4F47042-8146-4B32-8E03-7C78CC6FE7EB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NERC","NE/M000346/1","University of Edinburgh","Sch of Geosciences","Research Grant","Bromiley","Geoffrey","David",NA,NA,NA,NA,NA,"The Volatile Legacy of the Early Earth","29/09/2014","14/06/2021",276990,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M000346/1","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","A4F47042-8146-4B32-8E03-7C78CC6FE7EB","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/P008682/1","Research Grant","Artistic and Creative Products","University of Edinburgh","Sch of Engineering","Wallace","Robin",NA,"Hull geometry optimisation of wave energy converters: On the choice of the objective functions and the optimisation formulation","Figures of paper published in Applied Energy on &quot;Hull geometry optimisation of wave energy converters: On the choice of the objective functions and the optimisation formulation&quot;.","Image",2021,NA,"https://figshare.com/articles/figure/Hull_geometry_optimisation_of_wave_energy_converters_On_the_choice_of_the_objective_functions_and_the_optimisation_formulation/14721213/1","61ebefab1c74a4.55487739","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=61ebefab1c74a4.55487739&grantRef=EP%2FP008682%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P008682/1","F909C794-CDEB-4BC9-9E33-45053372DF70","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","9CC11928-89DC-43D7-878F-CA93578BDFEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPSRC","EP/P008682/1","University of Edinburgh","Sch of Engineering","Research Grant","Wallace","Robin",NA,NA,NA,NA,NA,NA,"United Kingdom Centre for Marine Energy Research","01/12/2016","30/05/2019",1517202,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P008682/1","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","9CC11928-89DC-43D7-878F-CA93578BDFEA","School of Engineering","College of Science and Engineering"
"NERC","NE/H024964/1","Research Grant","Artistic and Creative Products","University of Edinburgh","Sch of Geosciences","Nienow","Peter",NA,"Science advisor for the documentary film 'Aquarela'","A film by Aconite Productions and iconic Russian director Victor Kossakovsky about the power, beauty and potentially destructive nature of water in all its forms - with the inevitable links to climate change and environmental warnings. I acted as a scientific (and location) advisor for the glacier and iceberg content of the documentary filmed in Greenland, I am in the credits as a Science Advisor and was invited to the film premier (attending the UK premiere in Glasgow).","Film/Video/Animation",2018,"The film premiered at the Venice International film festival. In the UK, it premiered at the Glasgow film festival in Feb 2019.","https://www.scottishfield.co.uk/culture/whatson/enjoy-the-wonders-of-nature-in-the-winter/","5c87ea394c3e53.40651839","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/resources/outcome.html#?type=artisticandcreativeproduct&outcomeId=5c87ea394c3e53.40651839&grantRef=NE%2FH024964%2F1","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/H024964/1","02EA0B69-1698-43B3-886B-7610ABD2E220","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","15A3ADAD-7A7E-4D6F-B087-25991DFD93E0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NERC","NE/H024964/1","University of Edinburgh","Sch of Geosciences","Research Grant","Nienow","Peter","William",NA,NA,NA,NA,NA,"Investigating meltwater flow beneath the Greenland Ice Sheet using a multi-tracer approach","31/08/2010","30/08/2014",13428,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/H024964/1","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","15A3ADAD-7A7E-4D6F-B087-25991DFD93E0","School of Geosciences","College of Science and Engineering"
