"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId","School","College"
"NERC","NE/F017448/1","University of Edinburgh","Sch of Geosciences","Research Grant","Hinton","Richard",NA,NA,NA,NA,NA,NA,"Past records of ocean acidification - the Palaeogene hyperthermals","31/08/2008","30/08/2010",53991,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/F017448/1","068E305E-A8FF-47C7-8C95-8262E31B6476","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","232F42D1-3D9C-42C9-A2F3-6DF5A9CDA224","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/F034520/1","University of Edinburgh","Sch of Geosciences","Research Grant","Brown","Nigel","Leslie",NA,NA,NA,NA,NA,"Carbon Capture from Power Plant and Atmosphere","30/09/2008","30/03/2014",3452949,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F034520/1","D5F6BCE8-EDDF-4DCC-9926-B6732F7B7D81","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","D824B994-EA09-4031-82BB-2F93191A525A","School of Geosciences","College of Science and Engineering"
"NERC","NE/P018920/1","University of Edinburgh","Sch of Geosciences","Research Grant","Williams","Mathew",NA,"http://orcid.org/0000-0001-6117-5208",NA,NA,NA,NA,"Soils Research to deliver Greenhouse Gas REmovals and Abatement Technologies (Soils-R-GGREAT)","19/06/2017","18/06/2021",315949,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/P018920/1","756FF7C8-D406-4FE8-8294-787C2A6CE7BA","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","B5BB39B9-0CFA-4514-8973-73C327F59EFE","School of Geosciences","College of Science and Engineering"
"NERC","NE/K000292/1","University of Edinburgh","Sch of Geosciences","Research Grant","Williams","Mathew",NA,"http://orcid.org/0000-0001-6117-5208",NA,NA,NA,NA,"Carbon Cycling Linkages of Permafrost Systems [CYCLOPS]","31/07/2012","31/01/2016",280484,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K000292/1","542122E7-417B-4B9E-8727-89AE2E100500","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","B5BB39B9-0CFA-4514-8973-73C327F59EFE","School of Geosciences","College of Science and Engineering"
"BBSRC","BB/I009183/2","University of Edinburgh","Royal (Dick) School of Veterinary Scienc","Research Grant","Baggs","Liz",NA,NA,NA,NA,NA,NA,"Linkages between plant functional diversity soil biological communities and ecosystem services in agricultural grassland","01/02/2017","31/10/2017",80029,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/I009183/2","909933C7-D715-49A7-9438-B9808CC51B22","2512EF1C-401B-4222-9869-A770D4C5FAC7","2DB7ED73-8E89-457A-A395-FAC12F929C1A","981E5899-8B3C-450B-9AC8-B594EFB06DE0","Royal (Dick) School of Veterinary Science","College of Medicine & Veterinary Medicine"
"NERC","NE/V007149/1","University of Edinburgh","Sch of Geosciences","Research Grant","Arnold","Tim",NA,"http://orcid.org/0000-0001-9097-8907",NA,NA,NA,NA,"POLYGRAM: POLYisotopologues of GReenhouse gases: Analysis and Modelling","14/11/2020","13/11/2024",575808,NA,"Scotland","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/V007149/1","94E20BD5-F484-442E-BB54-438AAFA4E7EE","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","6B97D069-10F8-4163-BC57-2DF4108D3E29","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/G02037X/1","University of Edinburgh","Sch of Engineering","Other Grant","Erskine","Patricia","Una",NA,NA,NA,NA,NA,"Carbon Capture and Storage Interactive: CCSI - Edinburgh","01/02/2009","30/05/2011",93338,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G02037X/1","EBE11534-B81C-4A61-A128-8C6D7C1E2792","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","84F09ED7-F54C-4835-B1BC-E0B93FBAF854","School of Engineering","College of Science and Engineering"
"NERC","NE/F020422/1","University of Edinburgh","Sch of Geosciences","Research Grant","McLeod","Andrew","Robert",NA,NA,NA,NA,NA,"Mechanisms for aerobic methane production from terrestrial vegetation","01/02/2009","18/01/2013",389751,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/F020422/1","E716FADC-EFD9-46AA-86B9-0375F6983CE2","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","980292F0-F7E1-4A6E-B32D-F6FA93A97591","School of Geosciences","College of Science and Engineering"
"NERC","NE/G00725X/1","University of Edinburgh","Sch of Geosciences","Research Grant","Mencuccini","Maurizio",NA,NA,NA,NA,NA,NA,"Impacts of nitrogen deposition on the forest carbon cycle: from ecosystem manipulations to national scale predictions","31/08/2009","30/08/2015",599577,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/G00725X/1","FB0675AE-D0C0-47F9-B6BB-855F31856C9C","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","FB0B2BC3-CB97-4DCD-92BB-C8CA26FFBE6C","School of Geosciences","College of Science and Engineering"
"NERC","NE/K009028/2","University of Edinburgh","School of Geosciences","Fellowship","Hennige","Sebastian",NA,NA,NA,NA,NA,NA,"Coral pH regulation and climate change: using novel tissue cultures to assess the future of key habitat forming species","17/10/2016","16/10/2018",237683,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K009028/2","C647F054-DD31-4676-BC53-C71D81FF2C50","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","B22C6DE9-20EC-4ADE-855B-EDE7B7207721","School of Geosciences","College of Science and Engineering"
"NERC","NE/S003819/1","University of Edinburgh","Sch of Geosciences","Research Grant","Arnold","Tim",NA,"http://orcid.org/0000-0001-9097-8907",NA,NA,NA,NA,"Detection and Attribution of Regional greenhouse gas Emissions in the UK (DARE-UK)","01/02/2019","31/01/2023",616947,NA,"Scotland","Active","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/S003819/1","FF218F0B-2D42-440F-BE57-FFC5BE2422F4","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","6B97D069-10F8-4163-BC57-2DF4108D3E29","School of Geosciences","College of Science and Engineering"
"EPSRC","EP/I016686/1","University of Edinburgh","Sch of Chemistry","Research Grant","Campbell","Eleanor","Elizabeth","http://orcid.org/0000-0002-4656-3218",NA,NA,NA,NA,"Nanotubes for Carbon Capture","01/11/2010","29/04/2012",201025,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I016686/1","DEECFDE2-79FE-4F10-A502-3A34069F5E70","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","ECF2983C-5870-41FD-9DCD-60465998844E","School of Chemistry","College of Science and Engineering"
"NERC","NE/F017294/1","University of Edinburgh","Sch of Geosciences","Research Grant","Nichol","Caroline","Jane",NA,NA,NA,NA,NA,"Remote sensing of solar induced fluorescence and the Photochemical Reflectance Index (PRI) for carbon uptake in two contrasting forest ecosystem types","30/09/2008","31/01/2014",415500,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/F017294/1","28D60D46-EFF0-4FB8-A4A8-2DAC0D34294D","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","2F433965-C425-45D8-9C0B-08866BBD5651","School of Geosciences","College of Science and Engineering"
"NERC","NE/M007650/1","University of Edinburgh","Sch of Law","Research Grant","Morgera","Elisa",NA,NA,NA,NA,NA,NA,"Sharing the benefits of sustainable fisheries: from global to local legal approaches to marine ecosystem services for poverty alleviation","31/08/2015","30/08/2016",117190,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/M007650/1","0D55096E-9851-4A26-9B62-D301CF35E37F","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","8100DA17-E142-4073-9536-FAE41FB791FB","School of Law","College of Arts, Humanities & Social Sciences"
"NERC","NE/K002449/1","University of Edinburgh","Sch of Geosciences","Research Grant","Palmer","Paul",NA,NA,NA,NA,NA,NA,"Greenhouse gAs Uk and Global Emissions (GAUGE)","01/03/2013","31/10/2017",744321,NA,"Scotland","Closed","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=NE/K002449/1","E1AEEFE4-5F28-4724-AFC2-A28C06DB334B","8A03ED41-E67D-4F4A-B5DD-AAFB272B6471","2DB7ED73-8E89-457A-A395-FAC12F929C1A","F64F8711-B1DE-406B-B648-5A427216B839","School of Geosciences","College of Science and Engineering"
